Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Узбекской ж.д. (код дороги 73),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 73-001 ""ХОДЖАДАВЛЕТ (ЭКСП.) - БУХАРА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ходжадавлет (эксп.),до ст. Бухара I,,,,,,,,,,,
  7.,741810 .,ОП Ост. Пункт 162 км,  41  км ,  26  км ,,,,,,,,,,,
  8.,741908 .,Пайтуг,  42  км ,  25  км ,,,,,,,,,,,
  9.,741914 .,ОП Куйган Яр,  49  км ,  18  км ,,,,,,,,,,,
 10.,742003 .,Андижан II,  58  км ,   9  км ,,,,,,,,,,,
 11.,743604 .,Андижан I,  67  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 73-016 ""КОКАНД I - МАРГИЛАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Коканд I,до ст. Маргилан,,,,,,,,,,,
  1.,740004 .,Коканд I,   0  км ,  70  км ,,,,,,,,,,,
  2.,742207 .,Какир,  11  км ,  59  км ,,,,,,,,,,,
  3.,742300 .,Фуркат,  25  км ,  45  км ,,,,,,,,,,,
  4.,742315 .,Михнатабад (рзд),  38  км ,  32  км ,,,,,,,,,,,
  5.,742404 .,Алтыарык,  51  км ,  19  км ,,,,,,,,,,,
  6.,742419 .,Файзабад,  61  км ,   9  км ,,,,,,,,,,,
  7.,742508 .,Маргилан,  70  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 73-017 ""МАРГИЛАН - АНДИЖАН I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Маргилан,до ст. Андижан I,,,,,,,,,,,
  1.,742508 .,Маргилан,   0  км ,  66  км ,,,,,,,,,,,
  2.,743209 .,Ахунбабаева,   4  км ,  62  км ,,,,,,,,,,,
  3.,743214 .,Акбарабад,  18  км ,  48  км ,,,,,,,,,,,
  4.,743303 .,Кува,  34  км ,  32  км ,,,,,,,,,,,
  5.,743318 .,Каратепе,  41  км ,  25  км ,,,,,,,,,,,
  6.,743407 .,Ассаке,  49  км ,  17  км ,,,,,,,,,,,
  7.,743708 .,Ахтачи,  58  км ,   8  км ,,,,,,,,,,,
  8.,743604 .,Андижан I,  66  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 73-018 ""ТУКИМАЧИ - АНГРЕН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
