Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Белорусской ж.д. (код дороги 13),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 13-001 ""ГРОДНО - МОСТЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
  8.,136605 .,Беняконе (эксп.),  45  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 13-012 ""ЛИДА - МОЛОДЕЧНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лида,до ст. Молодечно,,,,,,,,,,,
  1.,137608 .,Лида,   0  км , 128  км ,,,,,,,,,,,
  2.,138009 .,Гутно,   9  км , 119  км ,,,,,,,,,,,
  3.,162347 .,ОП Цверма,  14  км , 114  км ,,,,,,,,,,,
  4.,138013 .,ОП Кирьяновцы,  19  км , 109  км ,,,,,,,,,,,
  5.,162332 .,ОП Князюковцы,  23  км , 105  км ,,,,,,,,,,,
  6.,162309 .,Гавья,  29  км ,  99  км ,,,,,,,,,,,
  7.,162313 .,ОП Березовцы,  34  км ,  94  км ,,,,,,,,,,,
  8.,162328 .,ОП Лобачи,  43  км ,  85  км ,,,,,,,,,,,
  9.,162402 .,Юратишки,  49  км ,  79  км ,,,,,,,,,,,
 10.,162417 .,ОП Довгердишки,  54  км ,  74  км ,,,,,,,,,,,
 11.,162421 .,ОП Яхимовщина,  59  км ,  69  км ,,,,,,,,,,,
 12.,162436 .,ОП Войгяны,  64  км ,  64  км ,,,,,,,,,,,
 13.,162440 .,Богданов-стык,  68  км ,  60  км ,,,,,,,,,,,
 14.,162506 .,Богданов,  70  км ,  58  км ,,,,,,,,,,,
 15.,162510 .,ОП Мельковщизна,  77  км ,  51  км ,,,,,,,,,,,
 16.,162525 .,ОП Ластоянцы,  81  км ,  47  км ,,,,,,,,,,,
 17.,162530 .,ОП Листопады,  87  км ,  41  км ,,,,,,,,,,,
 18.,162607 .,Воложин,  92  км ,  36  км ,,,,,,,,,,,
 19.,162614 .,ОП Шипуличи,  97  км ,  31  км ,,,,,,,,,,,
 20.,162633 .,ОП Березинское, 103  км ,  25  км ,,,,,,,,,,,
 21.,162351 .,ОП Литва, 106  км ,  22  км ,,,,,,,,,,,
 22.,162703 .,Полочаны, 109  км ,  19  км ,,,,,,,,,,,
 23.,162718 .,ОП Сечки, 115  км ,  13  км ,,,,,,,,,,,
 24.,162807 .,Каледино, 122  км ,   6  км ,,,,,,,,,,,
 25.,162900 .,Молодечно, 128  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 13-014 ""ГУДОГАЙ (ЭКСП.) - МОЛОДЕЧНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гудогай (эксп.),до ст. Молодечно,,,,,,,,,,,
  1.,164107 .,Гудогай (эксп.),   0  км ,  80  км ,,,,,,,,,,,
  2.,163034 .,Гудогай-стык,   8  км ,  72  км ,,,,,,,,,,,
  3.,163000 .,Гудогай,   9  км ,  71  км ,,,,,,,,,,,
  4.,163021 .,ОП Каменка,  14  км ,  66  км ,,,,,,,,,,,
  5.,163015 .,ОП Скрестины,  18  км ,  62  км ,,,,,,,,,,,
  6.,163104 .,Ошмяны,  23  км ,  57  км ,,,,,,,,,,,
  7.,163208 .,Солы,  31  км ,  49  км ,,,,,,,,,,,
