Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов, производящих ПЕРЕВАЛКУ грузов с железных дорог на морской транспорт и обратно",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,ж.д. Станция,Дорога,Расстояния до ТП,,,,,,,,,,,,,,
,"""Стар-Трейд""",,,,,,,,,,,,,,,,,,,
   71.,Морской порт Находка ООО,"§ 1, 7",-,985609  Мыс Астафьева,96  Д-Вост (Р),Находка (984502) - 21 км,,,,,,,,,,,,,,
,Порт Ливадия,,,,,,,,,,,,,,,,,,,
   72.,"Морской порт Находка, ООО","§ 1,2,3,4",,984502  Находка,96  Д-Вост (Р),,,,,,,,,,,,,,,
,"""ГЕЙЗЕР""",,,,,,,,,,,,,,,,,,,
   73.,"Морской порт Находка, ООО","§ 1,7",,985906  Находка-Восточная,96  Д-Вост (Р),"Угловая (982206) - 182 км, Находка (984502) - 18 км",,,,,,,,,,,,,,
,"""Терминал Врангеля""",,,,,,,,,,,,,,,,,,,
   74.,Морской порт Новороссийск,"§ 1,7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
,"ООО ""Гольфстрим""",,,,,,,,,,,,,,,,,,,
   75.,Морской порт Новороссийск,"§ 1, 7",,520901  Новороссийск,51  С-Кав (Р),,,,,,,,,,,,,,,
,ООО Трансстрой,,,,,,,,,,,,,,,,,,,
   76.,Морской порт Посьет АО,"§ 1,5,6,7",,986705  Кипарисово,96  Д-Вост (Р),"Надеждинская (986508) - 18 км, Барановский (988402) - 27 км",,,,,,,,,,,,,,
,"""Торговый порт Посьет""",,,,,,,,,,,,,,,,,,,
   77.,Морской порт Посьет АО,"§ 1,5,6,7",,987708  Посьет,96  Д-Вост (Р),"Хасан (эксп.) (987106) - 68 км, Барановский (988402) - 195 км",,,,,,,,,,,,,,
,"""Торговый порт Посьет""",,,,,,,,,,,,,,,,,,,
   78.,Морской порт Посьет АО,"§ 1,5,6,7",,982403  Артем-Приморский I,96  Д-Вост (Р),"Угловая (982206) - 9 км, Находка (984502) - 155 км",,,,,,,,,,,,,,
,"""Торговый порт Посьет""",,,,,,,,,,,,,,,,,,,
   79.,Морской порт Посьет АО,"§ 1,5,6,7",,988306  Уссурийск,96  Д-Вост (Р),"Дубининский (977000) - 18 км, Барановский (988402) - 23 км, Воздвиженский (988700) - 18 км",,,,,,,,,,,,,,
,"""Торговый порт Посьет""",,,,,,,,,,,,,,,,,,,
   80.,Морской порт,"1,7",,510702  Заречная,51  С-Кав (Р),"Батайск (510007) - 8 км, Ростов-Главный (510204) - 2 км",,,,,,,,,,,,,,
,"Ростов-на-Дону ООО ""КТК ПОРТ""",,,,,,,,,,,,,,,,,,,
   81.,Морской порт,1,,510702  Заречная,51  С-Кав (Р),"Батайск (510007) - 8 км, Ростов-Главный (510204) - 2 км",,,,,,,,,,,,,,
,"Ростов-на-Дону ООО ""Порт Эльдако""",,,,,,,,,,,,,,,,,,,
   82.,Морской порт,1,,510702  Заречная,51  С-Кав (Р),"Батайск (510007) - 8 км, Ростов-Главный (510204) - 2 км",,,,,,,,,,,,,,
,"Ростов-на-Дону ООО ""СК ""Барк""",,,,,,,,,,,,,,,,,,,
