Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Донецкой ж.д. (код дороги 48),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 48-001 ""ЧАПЛИНО (Приднепровской ж.д.) - ПОКРОВСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чаплино,до ст. Покровск,,,,,,,,,,,
  1.,483806 .,Ларино,   0  км ,  27  км ,,,,,,,,,,,
  2.,483613 .,ОП Ост. Пункт 11 км,   3  км ,  24  км ,,,,,,,,,,,
  3.,483609 .,Менчугово,   6  км ,  21  км ,,,,,,,,,,,
  4.,483257 .,ОП Ост. пункт 39 км,   7  км ,  20  км ,,,,,,,,,,,
  5.,483261 .,ОП Ост. пункт 41 км,   9  км ,  18  км ,,,,,,,,,,,
  6.,483219 .,ОП Ост. Пункт 18 км,  10  км ,  17  км ,,,,,,,,,,,
  7.,483276 .,ОП Ост. пункт 44 км,  12  км ,  15  км ,,,,,,,,,,,
  8.,483204 .,Моспино,  14  км ,  13  км ,,,,,,,,,,,
  9.,483280 .,ОП Ост. пункт 49 км,  17  км ,  10  км ,,,,,,,,,,,
 10.,483242 .,ОП Ост. пункт 53 км,  21  км ,   6  км ,,,,,,,,,,,
 11.,483238 .,ОП О. П. ПМС-191 км,  25  км ,   2  км ,,,,,,,,,,,
 12.,487807 .,Иловайск,  27  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 48-014 ""МОСПИНО - МАКЕЕВКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Моспино,до ст. Макеевка,до ст. Ларино,,,,,,,,,,
  1.,483204 .,Моспино,   0  км ,  21  км ,  14  км ,,,,,,,,,,
  2.,483223 .,ОП Ост. Пункт 5 км,   5  км ,  16  км ,  19  км ,,,,,,,,,,
  3.,483327 .,ОП Рясное,  10  км ,  11  км ,  24  км ,,,,,,,,,,
  4.,483312 .,ОП Ост. Пункт 14 км,  13  км ,   8  км ,  27  км ,,,,,,,,,,
  5.,483416 .,ОП Ливенка,  16  км ,   5  км ,  30  км ,,,,,,,,,,
  6.,483505 .,Макеевка,  21  км ,   0  км ,  35  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 48-015 ""МЕНЧУГОВО - НОВЫЙ СВЕТ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Менчугово,до ст. Новый Свет,до ст. Ларино,,,,,,,,,,
  1.,483609 .,Менчугово,   0  км ,   8  км ,   6  км ,,,,,,,,,,
  2.,483628 .,ОП Ост. Пункт 4 км,   4  км ,   4  км ,  10  км ,,,,,,,,,,
  3.,483632 .,ОП Ост. Пункт 5 км,   5  км ,   3  км ,  11  км ,,,,,,,,,,
  4.,483702 .,Новый Свет,   8  км ,   0  км ,  14  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 48-016 ""ЛАРИНО - ЯСИНОВАТАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ларино,до ст. Ясиноватая,,,,,,,,,,,
  1.,483806 .,Ларино,   0  км ,  33  км ,,,,,,,,,,,
  2.,483810 .,ОП Широкий,   3  км ,  30  км ,,,,,,,,,,,
  3.,483903 .,Чумаково,  11  км ,  22  км ,,,,,,,,,,,
  4.,483825 .,ОП Заперевальная,  12  км ,  21  км ,,,,,,,,,,,
  5.,484009 .,Мушкетово,  15  км ,  18  км ,,,,,,,,,,,
  6.,484103 .,Донецк II,  19  км ,  14  км ,,,,,,,,,,,
  7.,484118 .,ОП Щегловка,  23  км ,  10  км ,,,,,,,,,,,
  8.,484207 .,Кальмиус,  25  км ,   8  км ,,,,,,,,,,,
  9.,480013 .,ОП Ост. Пункт 3 км,  30  км ,   3  км ,,,,,,,,,,,
 10.,480009 .,Ясиноватая,  33  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 48-017 ""ЯСИНОВАТАЯ - ДОНЕЦК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ясиноватая,до ст. Донецк,,,,,,,,,,,
  1.,480009 .,Ясиноватая,   0  км ,  14  км ,,,,,,,,,,,
  2.,480028 .,ОП Ясиноватая Горка,   1  км ,  13  км ,,,,,,,,,,,
  3.,480032 .,Ясиноватая-Пассажирская,   2  км ,  12  км ,,,,,,,,,,,
  4.,480282 .,ОП Ост. пункт 12 км,   4  км ,  10  км ,,,,,,,,,,,
  5.,480307 .,Донецк-Северный,   7  км ,   7  км ,,,,,,,,,,,
  6.,480403 .,Донецк,  14  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 48-018 ""ДОНЕЦК - РУТЧЕНКОВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Донецк,до ст. Рутченково,,,,,,,,,,,
  1.,480403 .,Донецк,   0  км ,  10  км ,,,,,,,,,,,
