Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южно-Уральской ж.д. (код дороги 80),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 80-001 ""КРОПАЧЕВО - БЕРДЯУШ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кропачево,до ст. Бердяуш,,,,,,,,,,,
 14.,801759 .,ОП Ост. Пункт 96 км,  56  км ,  57  км ,,,,,,,,,,,
 15.,801744 .,Кунашак,  60  км ,  53  км ,,,,,,,,,,,
 16.,801734 .,ОП Ост. Пункт 86 км,  66  км ,  47  км ,,,,,,,,,,,
 17.,801725 .,Кунтуды (рзд),  71  км ,  42  км ,,,,,,,,,,,
 18.,801778 .,ОП Ост. Пункт 73 км,  77  км ,  36  км ,,,,,,,,,,,
 19.,801710 .,ОП Маяк,  78  км ,  35  км ,,,,,,,,,,,
 20.,801782 .,Тахталым,  85  км ,  28  км ,,,,,,,,,,,
 21.,801617 .,ОП Комкуль,  90  км ,  23  км ,,,,,,,,,,,
 22.,801602 .,Трудовой (рзд),  97  км ,  16  км ,,,,,,,,,,,
 23.,801528 .,ОП Серкино,  99  км ,  14  км ,,,,,,,,,,,
 24.,801621 .,ОП Мурино (пп), 103  км ,  10  км ,,,,,,,,,,,
 25.,801513 .,ОП Маян, 108  км ,   5  км ,,,,,,,,,,,
 26.,801509 .,Нижняя, 113  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 80-009 ""ЧУРИЛОВО - КУРГАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чурилово,до ст. Курган,,,,,,,,,,,
  1.,801104 .,Чурилово,   0  км , 249  км ,,,,,,,,,,,
  2.,801020 .,ОП Ост. Пункт 2111 км,   1  км , 248  км ,,,,,,,,,,,
  3.,801000 .,Потанино,   6  км , 243  км ,,,,,,,,,,,
  4.,829716 .,ОП Северный Рудник,  11  км , 238  км ,,,,,,,,,,,
  5.,829720 .,Козырево,  14  км , 235  км ,,,,,,,,,,,
  6.,829646 .,ОП Союз,  19  км , 230  км ,,,,,,,,,,,
  7.,829631 .,ОП Ванюши,  24  км , 225  км ,,,,,,,,,,,
  8.,829627 .,ОП Машиностроитель-1,  28  км , 221  км ,,,,,,,,,,,
  9.,829612 .,ОП Анфалово,  31  км , 218  км ,,,,,,,,,,,
 10.,829650 .,Чернявская,  35  км , 214  км ,,,,,,,,,,,
 11.,809523 .,ОП Восточный,  37  км , 212  км ,,,,,,,,,,,
 12.,829519 .,ОП Ост. Пункт 2151 км,  41  км , 208  км ,,,,,,,,,,,
 13.,829504 .,Каясан,  47  км , 202  км ,,,,,,,,,,,
 14.,829449 .,Пивкино (обп),  56  км , 193  км ,,,,,,,,,,,
 15.,829434 .,ОП Алакуль,  64  км , 185  км ,,,,,,,,,,,
 16.,829425 .,ОП Ост. Пункт 2178 км,  69  км , 180  км ,,,,,,,,,,,
 17.,829415 .,ОП Борки,  73  км , 176  км ,,,,,,,,,,,
