Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
  574.,Корткерос,"§3,4",,Вычегда,П,3,,,,,,,,,,,,,,
  575.,Корчева,§7,,Волга,О,,,,,,,,,,,,,,,
  576.,Коряжма,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
  577.,Костенки,"§4,5",,Дон,ОП,,,,,,,,,,,,,,,
,,"Хлебные грузы, отправляемые из Костенки, переваливаются с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  578.,Кострома,"§1,2,3,4",,Волга,ОП,10,,,,,,,,,,,,,,
  579.,Котельнич,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  580.,Котлас,"§1,2,5",,Северная Двина,ОП,5,,,,,,,,,,,,,,
  581.,Котловка,§7,,Кама,О,,,,,,,,,,,,,,,
  582.,Котяевка,§4,,Кигач,ОП,,,,,,,,,,,,,,,
  583.,Кочетовская,§4,,Дон,ОП,,,,,,,,,,,,,,,
  584.,Кошница,"§4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  585.,Красавино,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
  586.,Красная Горка,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  587.,Красноборск,"§1,3,4",,Северная Двина,ОП,3,,,,,,,,,,,,,,
  588.,Красновидово,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  589.,Красновишерск,"§1,4",,Вишера,ОП,,,,,,,,,,,,,,,
  590.,Красногорье,§4,,Унжа,ОП,,,,,,,,,,,,,,,
  591.,Краснодонецкая,§4,,Северский Донец,ОП,,,,,,,,,,,,,,,
  592.,Красное,§4,,Косьва,П,,,,,,,,,,,,,,,
  593.,Краснокамск,"§1,4,7",,Кама,ОП,,,,,,,,,,,,,,,
  594.,Краснокутск,"§1,2,4",,Иртыш,ОП,3,,,,,,,,,,,,,,
  595.,Красноселькуп,"§4,5",,Таз,ОП,5,,,,,,,,,,,,,,
  596.,Красноярово,§7,,Зея,О,,,,,,,,,,,,,,,
  597.,Красноярск,§3,,Енисей,ОП,5,,,,,,,,,,,,,,
  598.,Красноярск (Енисей),"§1,2,7",,Енисей,ОП,10,,,,,,,,,,,,,,
  599.,Красноярск (Злобино),"§1,2,3,4,7",,Енисей,ОП,100,,,,,,,,,,,,,,
  600.,Красноярская,§4,,Цимлянское водохранилище,ОП,,,,,,,,,,,,,,,
  601.,Красный Берег,§4,Верхнеднепровский,Сож,ОП,,,,,,,,,,,,,,,
  602.,Красный Бор,"§1,4,7",,Кама,ОП,,,,,,,,,,,,,,,
  603.,Красный Водник,§4,,Сысола,ОП,,,,,,,,,,,,,,,
  604.,Красный Ключ,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  605.,Красный Луч,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  606.,Красный Профинтерн,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
,(Ярославский),,,,,,,,,,,,,,,,,,,
  607.,Красный Текстильщик,§4,,Волга,П,,,,,,,,,,,,,,,
  608.,Красный Урюш,§4,,Урюш,П,,,,,,,,,,,,,,,
  609.,Красный Яг,"§4,5,7",,Печора,ОП,,,,,,,,,,,,,,,
  610.,Красный Яр (Астраханский),§4,,Бузан,ОП,,,,,,,,,,,,,,,
  611.,Красный Яр (ниже устья р.,§4,,Обь,ОП,,,,,,,,,,,,,,,
,Томи),,,,,,,,,,,,,,,,,,,
  612.,Кременчугский песчаный,§7,АО АСКО «Укрречфлот»,Днепр,О,,,,,,,,,,,,,,,
,Карьер,,,,,,,,,,,,,,,,,,,
  613.,Кременчугский речной порт,"§1,2,3,4,7",АО АСКО «Укрречфлот»,Днепр,ОП,16,,,,,,,,,,,,,,
  614.,Крест Хальджай,"§4,5",,Алдан,П,,,,,,,,,,,,,,,
  615.,Кресты,§4,,Колва,П,,,,,,,,,,,,,,,
  616.,Кресты (Янские),"§4,5,6",,Яна,П,,,,,,,,,,,,,,,
  617.,Крестях,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
  618.,Кривошеино,§4,,Обь,ОП,,,,,,,,,,,,,,,
  619.,Кривская,§4,,Цимлянское водохранилище,ОП,,,,,,,,,,,,,,,
  620.,Криуляны,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  621.,Крокмазы,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  622.,Кронштадт,§4,,Финский залив,П,,,,,,,,,,,,,,,
  623.,Кубасы,§7,,Куйбышевское водохранилище,О,,,,,,,,,,,,,,,
  624.,Кузнецово,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  625.,Кузнецовский Затон,§4,,Белая,ОП,,,,,,,,,,,,,,,
  626.,Куйга,"§3,4,5,6",,Яна,ОП,,,,,,,,,,,,,,,
,,"Погрузку и выгрузку контейнеров в Куйге грузоотправители и грузополучатели обязаны производить своими силами и средствами на своих причалах. Грузы, следующие в п. Куйга передаются в п. Нижнеянск на перевозку по р. Яна ОАО «Янское речное пароходство».",,,,,,,,,,,,,,,,,,
  627.,Куйган,"§1,2,3,4",Восточно-Казахстанский,Бухтарминское водохранилище,ОП,3,,,,,,,,,,,,,,
  628.,Кукелево,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  629.,Кулагино,§2,,Урал,ОП,3,,,,,,,,,,,,,,
  630.,Кулар,"§4,5,6",,Яна,П,,,,,,,,,,,,,,,
,,"Погрузку и выгрузку контейнеров в Куларе грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах. Грузы, следующие в п. Кулар, передаются в п. Нижнеянск на перевозку по р. Яна ОАО «Янское речное пароходство».",,,,,,,,,,,,,,,,,,
  631.,Кунгурская Старица,§4,,Кама,П,,,,,,,,,,,,,,,
  632.,Куприяново,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  633.,Курган,§4,,Кама,П,,,,,,,,,,,,,,,
  634.,Курменты,"§4,5",Иссык-Кульский,оз. Иссык-Куль,ОП,5,,,,,,,,,,,,,,
  635.,Куртовский Яр,§7,,Белая,О,,,,,,,,,,,,,,,
  636.,Куршевский Яр,§7,,Белая,О,,,,,,,,,,,,,,,
  637.,Кухтерин Луг,"§4,5",,Зея,П,,,,,,,,,,,,,,,
  638.,Кучино,§7,,Чусовая,О,,,,,,,,,,,,,,,
  639.,Кушайлы,"§4,5",,Иртыш,П,,,,,,,,,,,,,,,
,,Кушайлы открыт для операций по выдаче только каменного угля.,,,,,,,,,,,,,,,,,,
  640.,Кушеват,"§4,5",,Горная Обь,П,,,,,,,,,,,,,,,
  641.,Кушмангорт,§4,,Кама,П,,,,,,,,,,,,,,,
  642.,Кушнаренково,§4,,Белая,ОП,,,,,,,,,,,,,,,
  643.,Кызыл-Сыр,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
  644.,Кюсюр,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  645.,Лабожское,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  646.,Лабытнанги,"§1,2,3,4,5",,Обь,ОП,25,,,,,,,,,,,,,,
  647.,Ламбас-Ручей,§4,,оз. Онежское,О,,,,,,,,,,,,,,,
  648.,Лашма,"§1,4",,Ока,ОП,3,,,,,,,,,,,,,,
  649.,Лбище,§7,,Волга,О,,,,,,,,,,,,,,,
  650.,Лебяжье,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  651.,Лебяжье,§4,,Иртыш,О,,,,,,,,,,,,,,,
  652.,Левшино,"§2,4,7",,Камское водохранилище,О,,,,,,,,,,,,,,,
  653.,Лемтыбожское,"§4,5",,Печора,ОП,3,,,,,,,,,,,,,,
  654.,Ленск,"§3,4",,Лена,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Ленске грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  655.,Лесосибирск,"§2,3,4",,Енисей,П,20,,,,,,,,,,,,,,
  656.,Лещины,§4,Верхнеднепровский,Березина,О,,,,,,,,,,,,,,,
  657.,Липин Бор,§4,Северо-Западный,Белое оз.,П,,,,,,,,,,,,,,,
  658.,Лиски,"§1,2,4,5",,Дон,ОП,5,,,,,,,,,,,,,,
  659.,Литвиново,§4,,Вычегда,ОП,,,,,,,,,,,,,,,
  660.,Ловцы,§4,,Ока,ОП,,,,,,,,,,,,,,,
  661.,Лодейное Поле,"§1,4",,Свирь,ОП,5,,,,,,,,,,,,,,
  662.,Лоев,§4,Верхнеднепровский,Днепр,ОП,,,,,,,,,,,,,,,
  663.,Лойма,§4,,Луза,О,,,,,,,,,,,,,,,
  664.,Локосово,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  665.,Ломоносов,§4,,Финский залив,П,,,,,,,,,,,,,,,
  666.,Ломы,"§4,5",,Шилка,П,,,,,,,,,,,,,,,
  667.,Лончаково,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  668.,Лопатинско-Зауморский,§7,,Волга,О,,,,,,,,,,,,,,,
  669.,Лубяны,§4,,Немда,П,,,,,,,,,,,,,,,
  670.,Лысая Гора,§4,,Сура,ОП,,,,,,,,,,,,,,,
  671.,Лысково,"§1,4",,Волга,ОП,5,,,,,,,,,,,,,,
  672.,Лысманово,§4,,Сылва,О,,,,,,,,,,,,,,,
  673.,Лысьва,§4,,Камское водохранилище,О,,,,,,,,,,,,,,,
  674.,Любимовский гранитный,§4,ОАО «Киевский речной порт»,"Днепр, устье р.Шианки",О,,,,,,,,,,,,,,,
,карьер,,,,,,,,,,,,,,,,,,,
  675.,Ляды,§4,,Сылва,П,,,,,,,,,,,,,,,
  676.,Ляхи,"§1,4",,Ока,ОП,,,,,,,,,,,,,,,
  677.,Ляхова Гора,§4,Верхнеднепровский,Днепр,О,,,,,,,,,,,,,,,
  678.,Магинск,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  679.,Маго,"§3,4",,Пальвинская протока р. Амур,ОП,5,,,,,,,,,,,,,,
  680.,Мазаново,§4,,Зея,ОП,,,,,,,,,,,,,,,
  681.,Майкор,§4,,Иньва,ОП,,,,,,,,,,,,,,,
  682.,Майна,"§1,4",,Волга,О,,,,,,,,,,,,,,,
  683.,Майск,"§3,4",,Иртыш,ОП,,,,,,,,,,,,,,,
  684.,Майское (Заготзерно),"§4,7",,Иртыш,О,,,,,,,,,,,,,,,
  685.,Макарово,§7,,Кама,О,,,,,,,,,,,,,,,
  686.,Макарово,§4,,Вычегда,О,,,,,,,,,,,,,,,
  687.,Макарьев,§4,,Унжа,ОП,,,,,,,,,,,,,,,
  688.,Малая Бича,"§4,5",,Иртыш,П,,,,,,,,,,,,,,,
  689.,Малая Рязань,§7,,Волга,О,,,,,,,,,,,,,,,
  690.,Малмыж,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  691.,Малмыж-Вятский,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  692.,Мало-Угренево,§7,,Бия,О,,,,,,,,,,,,,,,
  693.,Маловатое,"§4,5",Министерство транспорта и,Днестр,П,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  694.,Малый Атлым,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  695.,Малыкай,"§4,5",,Марха,П,,,,,,,,,,,,,,,
  696.,Малышево,§4,,Дон,ОП,,,,,,,,,,,,,,,
  697.,Мама,"§3,4,5",,Витим,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Маме грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  698.,Мамадыш,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  699.,Мамакан,"§4,5",,Витим,П,,,,,,,,,,,,,,,
  700.,Манашеский Яр,§7,,Уфа,О,,,,,,,,,,,,,,,
  701.,Мандагай,"§4,5",,Амга,П,,,,,,,,,,,,,,,
  702.,Мантурово,§4,,Унжа,ОП,,,,,,,,,,,,,,,
  703.,Маныч,§4,,Дон,ОП,,,,,,,,,,,,,,,
  704.,Мариинск,"§3,4",,Амур,ОП,5,,,,,,,,,,,,,,
  705.,Мариинский Посад,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  706.,Марково,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  707.,Маркс,"§1,3,4",,Волга,ОП,5,,,,,,,,,,,,,,
  708.,Марфино,§4,,Бузан,О,,,,,,,,,,,,,,,
  709.,Марыла,"§4,5",,Амга,П,,,,,,,,,,,,,,,
  710.,Марьино,§4,,Ветлуга,ОП,,,,,,,,,,,,,,,
  711.,Мегино-Алдан,"§4,5",,Алдан,П,,,,,,,,,,,,,,,
  712.,Мегион,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  713.,Медведок,§4,,Вятка,ОП,,,,,,,,,,,,,,,
  714.,Медвежка,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  715.,Медвежьегорск,"§2,3,4",,оз. Онежское,ОП,10,,,,,,,,,,,,,,
  716.,Медяны,"§4,7",,Вятка,ОП,,,,,,,,,,,,,,,
  717.,Междуреченск (Шуйское),"§3,4",,Сухона,ОП,5,,,,,,,,,,,,,,
  718.,Междуречье,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
  719.,Межог,§4,,Вычегда,П,,,,,,,,,,,,,,,
  720.,Мелиховская,§4,,Дон,ОП,,,,,,,,,,,,,,,
  721.,Мелковка,§4,,Ветлуга,ОП,,,,,,,,,,,,,,,
  722.,Мергенево,§4,,Урал,О,,,,,,,,,,,,,,,
  723.,Мигулинская,§4,,Дон,ОП,,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Мигулинская и отправляемые с этой пристани, переваливаются с железной дороги на воду и с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  724.,Митрофан,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  725.,Михайловка,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  726.,Могочино,§4,,Обь,ОП,,,,,,,,,,,,,,,
  727.,Мозырь,"§1,2,4",Верхнеднепровский,Припять,ОП,,,,,,,,,,,,,,,
  728.,Мозырь-Порт,"§1,2,3,4",Верхнеднепровский,Припять,ОП,10,,,,,,,,,,,,,,
  729.,Молчаново,§7,,Зея,О,,,,,,,,,,,,,,,
  730.,Молчаново,§4,,Обь,ОП,,,,,,,,,,,,,,,
  731.,Момотово,"§4,5",,Енисей,П,,,,,,,,,,,,,,,
  732.,Монастырек,"§1,4",,Обь,ОП,,,,,,,,,,,,,,,
  733.,Монастырщина,§4,,Дон,ОП,,,,,,,,,,,,,,,
  734.,Монашенский Яр,§7,,Уфа,О,,,,,,,,,,,,,,,
  735.,Мордовое,§4,,Волга,О,,,,,,,,,,,,,,,
  736.,Моряковский РЭБ,"§4,5",,Томь,ОП,,,,,,,,,,,,,,,
  737.,Московский Западный порт,"§2,3,4",,Москва,ОП,5,,,,,,,,,,,,,,
  738.,Московский Северный порт,"§1,2,3,4",,Канал имени Москвы,ОП,10,,,,,,,,,,,,,,
  739.,Московский Южный порт,"§1,2,3,4",,Москва,ОП,10,,,,,,,,,,,,,,
  740.,Мотыгино,"§3,4",,Ангара,ОП,,,,,,,,,,,,,,,
,,Грузовые операции с контейнерами производятся на причалах грузовладельцев их силами и средствами.,,,,,,,,,,,,,,,,,,
  741.,Мохсоголлох,"§3,4,5",,Лена,П,,,,,,,,,,,,,,,
  742.,Мстера,§4,,Клязьма,ОП,,,,,,,,,,,,,,,
  743.,Мужи,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  744.,Муллакаево,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  745.,Мумра,§4,,Старая Волга,ОП,,,,,,,,,,,,,,,
  746.,Мурзицы,§4,,Сура,ОП,,,,,,,,,,,,,,,
  747.,Муромцево,§4,,Тара,ОП,,,,,,,,,,,,,,,
  748.,Мусковит,"§4,5",,Витим,ОП,,,,,,,,,,,,,,,
  749.,Мутный Материк,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  750.,Мушкины,"§4,5",,пр. Большая Юганская,П,,,,,,,,,,,,,,,
  751.,Мыс-Каменный,"§4,5",,Обская губа,П,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Мыс-Каменном грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  752.,Мышкин,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  753.,Набережные Челны,"§1,3,4,7",,Кама,ОП,5,,,,,,,,,,,,,,
  754.,Наволоки,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  755.,Нагаево,§7,,Белая,О,,,,,,,,,,,,,,,
  756.,Нагорново,§7,,Чулым,О,,,,,,,,,,,,,,,
  757.,Надвойцы,§4,,Беломорско-Балтийский канал,ОП,,,,,,,,,,,,,,,
  758.,Надым,"§1,2,3,4,5",,Надым,ОП,20,,,,,,,,,,,,,,
  759.,Намцы-Вилюйские,"§4,5",,Вилюй,П,,,,,,,,,,,,,,,
  760.,Нападово,§7,Министерство транспорта и,Днестр,О,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  761.,Напалково,"§4,5",,Обская губа,П,,,,,,,,,,,,,,,
,,Напалково открыт для операций по выдаче только каменного угля.,,,,,,,,,,,,,,,,,,
  762.,Наровля,§4,,Припять,ОП,,,,,,,,,,,,,,,
  763.,Нарым,§4,,Обь,ОП,,,,,,,,,,,,,,,
  764.,Нарьян-Мар,"§3,4",,Печора,ОП,5,,,,,,,,,,,,,,
  765.,Невельское,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  766.,Незабудка,§4,,Воткинское водохранилище,П,,,,,,,,,,,,,,,
  767.,Нелькан,"§4,5",,Мая,П,,,,,,,,,,,,,,,
  768.,Непряха,§7,,Кама,О,,,,,,,,,,,,,,,
  769.,Нефтеюганск,"§3,4,5",,пр. Юганская Обь,ОП,5,,,,,,,,,,,,,,
  770.,Нечаиха,§7,,Северная Двина,О,,,,,,,,,,,,,,,
  771.,Нечкино,"§4,7",,Кама,О,,,,,,,,,,,,,,,
  772.,Нижнеангарск,"§3,4",,оз. Байкал,ОП,5,,,,,,,,,,,,,,
  773.,Нижневартовск,"§3,4,5",,Обь,ОП,5,,,,,,,,,,,,,,
  774.,Нижнее Заречье,§7,,Амур,О,,,,,,,,,,,,,,,
  775.,Нижнекамск,"§1,4",,Кама,О,,,,,,,,,,,,,,,
  776.,Нижнекундрюченская,§4,,Северский Донец,ОП,,,,,,,,,,,,,,,
  777.,Нижнепронге,"§4,5",,Амурский лиман,П,,,,,,,,,,,,,,,
  778.,Нижнетамбовское,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  779.,Нижнечирская,§4,,Цимлянское водохранилище,ОП,,,,,,,,,,,,,,,
  780.,Нижнеянск,"§1,2,3,4,5",,Яна,ОП,,,,,,,,,,,,,,,
  781.,Нижние Муллы,§7,,Воткинское водохранилище,О,,,,,,,,,,,,,,,
  782.,Нижние Пеньки,§7,,Чусовая,О,,,,,,,,,,,,,,,
  783.,Нижний Лух,"§4,7",,Камское водохранилище,П,,,,,,,,,,,,,,,
  784.,Нижний Суян,§4,,Уфа,ОП,,,,,,,,,,,,,,,
  785.,Нижний Услон,§4,,Куйбышевское водохранилище,ОП,,,,,,,,,,,,,,,
  786.,Нижняя Банновка,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  787.,Нижняя Добринка,"§1,4",,Волга,ОП,,,,,,,,,,,,,,,
  788.,Нижняя Курья,"§2,4,7",,Воткинское водохранилище,ОП,,,,,,,,,,,,,,,
  789.,Нижняя Тавда,"§4,5",,Тавда,ОП,5,,,,,,,,,,,,,,
  790.,Нижняя Тойма,§4,,Северная Двина,ОП,,,,,,,,,,,,,,,
  791.,Нижняя Эконь,§7,,Амур,О,,,,,,,,,,,,,,,
  792.,Николаев,"§1,2,3,4",АСК «Укрречфлот»,Южный Буг,ОП,10,,,,,,,,,,,,,,
  793.,Николаевск,§4,,Волга,П,,,,,,,,,,,,,,,
,,Николаевск открыт только по прибытию угля.,,,,,,,,,,,,,,,,,,
  794.,Николаевское,§4,,Свирь,П,,,,,,,,,,,,,,,
  795.,Николо-Березовка,"§1,4,7",,Кама,ОП,,,,,,,,,,,,,,,
  796.,Николо-Макарово,§4,,Унжа,П,,,,,,,,,,,,,,,
  797.,Никольск,§4,,Юг,ОП,,,,,,,,,,,,,,,
  798.,Никольский,§4,,Дон,ОП,,,,,,,,,,,,,,,
  799.,Никольский Затон,§7,,Вятка,О,,,,,,,,,,,,,,,
  800.,Никольское,§4,,Волга,ОП,,,,,,,,,,,,,,,
  801.,Новатор,§4,,Сухона,О,,,,,,,,,,,,,,,
  802.,Новая Калитва,§4,,Дон,ОП,,,,,,,,,,,,,,,
,,"Грузы, следующие назначением в Новую Калитву и отправляемые с этой пристани, переваливаются с железной дороги на воду и с воды на железную дорогу только в порту Лиски.",,,,,,,,,,,,,,,,,,
  803.,Новая Каховка,"§1,2,3,4,7",АО «Новокаховский речной,Днепр,ОП,10,,,,,,,,,,,,,,
,,,порт»,,,,,,,,,,,,,,,,,
  804.,Новая Ладога,§4,,Волхов,ОП,,,,,,,,,,,,,,,
  805.,Новая Уфа,"§4,5",,Зея,П,,,,,,,,,,,,,,,
  806.,Новгород,§4,,Волхов,ОП,,,,,,,,,,,,,,,
  807.,Новинковский гидроузел,§4,,Волго-Балтийский канал,О,,,,,,,,,,,,,,,
  808.,Новоаганск,"§4,5",,Аган,П,,,,,,,,,,,,,,,
  809.,Новоангарск,§4,,Ангара,ОП,,,,,,,,,,,,,,,
  810.,Новобелица,§4,Верхнеднепровский,Сож,О,,,,,,,,,,,,,,,
  811.,Нововоскресенское,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  812.,Новодвинск,§4,,Северная Двина,П,10,,,,,,,,,,,,,,
  813.,Новоильинск,"§1,4",,Воткинское водохранилище,О,,,,,,,,,,,,,,,
  814.,Новоильинская РЭБ-Озерное,"§4,5",,Обь,ОП,,,,,,,,,,,,,,,
  815.,Новоленино,§4,,Братское водохранилище,П,,,,,,,,,,,,,,,
  816.,Новопокровка,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  817.,Новоселки,§4,,Ока,ОП,,,,,,,,,,,,,,,
  818.,Новосибирский речной порт,"§1,2,4",,Обь,ОП,50,,,,,,,,,,,,,,
  819.,Новосибирский ССРЗ,"§4,5,7",,Обь,ОП,,,,,,,,,,,,,,,
  820.,Новосоветское,"§4,5",,Уссури,П,,,,,,,,,,,,,,,
  821.,Новый Бор,"§3,4",,Печора,ОП,5,,,,,,,,,,,,,,
  822.,Новый Васюган,"§5,6",,Васюган,П,,,,,,,,,,,,,,,
  823.,Новый Затон,"§4,5,7",,Печора,ОП,,,,,,,,,,,,,,,
  824.,Новый Порт,"§4,5",,Обская губа,П,5,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Новом Порту грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  825.,Ножовка,§4,,Воткинское водохранилище,П,,,,,,,,,,,,,,,
  826.,Нозьма,§4,,Сухона,ОП,,,,,,,,,,,,,,,
  827.,Норский Склад,§4,,Селемджа,ОП,,,,,,,,,,,,,,,
  828.,Норское,§4,,Волга,ОП,,,,,,,,,,,,,,,
  829.,Нумги,"§4,5",,Обская губа,П,5,,,,,,,,,,,,,,
  830.,Нурмо-Яха,"§4,5",,Обская губа,П,5,,,,,,,,,,,,,,
  831.,Ныда,"§4,5",,Обская Губа,П,3,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Ныде грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  832.,Ныроб,§4,,Колва,П,,,,,,,,,,,,,,,
  833.,Нырча,§4,Верхнеднепровский,Припять,О,,,,,,,,,,,,,,,
  834.,Нытва,"§4,7",,Воткинское водохранилище,ОП,,,,,,,,,,,,,,,
  835.,Нювчим,§4,,Сысола,О,,,,,,,,,,,,,,,
  836.,Нюксеница,§4,,Сухона,ОП,,,,,,,,,,,,,,,
  837.,Нюрба,"§3,4,5",,Вилюй,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Нюрбе грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  838.,Нюя,"§4,5",,Лена,П,,,,,,,,,,,,,,,
  839.,Нялино,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  840.,Няша-Бож,"§4,5",,Печора,ОП,,,,,,,,,,,,,,,
  841.,ОАО Волгоградский речной,"§ 1, 2, 3, 4, 7",,Волга,ОП,50,,,,,,,,,,,,,,
,порт(стр.п-е Волжский порт),,,,,,,,,,,,,,,,,,,
  842.,ОАО Осентровский речной,"§ 1, 2, 3",,Лена,ОП,30,,,,,,,,,,,,,,
,порт,,,,,,,,,,,,,,,,,,,
  843.,Оверино,§4,,Камское водохранилище,П,,,,,,,,,,,,,,,
  844.,Огурцово,§7,,Обь,О,,,,,,,,,,,,,,,
  845.,Одина-Чингис,"§4,5",,Обь,П,,,,,,,,,,,,,,,
  846.,Одоевское,§4,,Ветлуга,П,,,,,,,,,,,,,,,
  847.,Ожогино,"§4,5,6",,Индигирка,П,,,,,,,,,,,,,,,
  848.,Озерки,§7,,Преголя,О,,,,,,,,,,,,,,,
  849.,Озерпах,"§4,5",,Амурский лиман,П,,,,,,,,,,,,,,,
  850.,Озеры,§4,,Ока,О,,,,,,,,,,,,,,,
  851.,Ойунцахтат,"§4,5",,Лунгха,П,,,,,,,,,,,,,,,
  852.,Оксино,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  853.,Октябрьск,§7,,Волга,О,,,,,,,,,,,,,,,
  854.,Октябрьский Зерносовхоз,§4,,Иртыш,О,,,,,,,,,,,,,,,
  855.,Октябрьское,"§4,5",,Обь,ОП,,,,,,,,,,,,,,,
  856.,Октябрьское,"§4,5",,Амур,П,,,,,,,,,,,,,,,
  857.,Окунев Нос,"§4,5",,Печора,П,,,,,,,,,,,,,,,
  858.,Олекминск,"§3,4",,Лена,ОП,,,,,,,,,,,,,,,
  859.,Оленегорск,"§4,5,6",,Индигирка,ОП,,,,,,,,,,,,,,,
  860.,Олонешты,"§4,5",Министерство транспорта и,Днестр,ОП,,,,,,,,,,,,,,,
,,,связи Республики Молдова,,,,,,,,,,,,,,,,,
  861.,Олонки,"§4,7",,Братское водохранилище,О,,,,,,,,,,,,,,,
  862.,Ольховка,"§4,7",,Кама,П,,,,,,,,,,,,,,,
  863.,Оля,§4,,Бахтемир,ОП,,,,,,,,,,,,,,,
  864.,Омск,"§1,2,3,4",,Иртыш,ОП,100,,,,,,,,,,,,,,
  865.,Онега,§4,,Белое море,ОП,,,,,,,,,,,,,,,
  866.,ООО Волгоградский элеватор,"§ 4, 5",,Волга,ОП,,,,,,,,,,,,,,,
