Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список портов ВНУТРЕННЕГО ВОДНОГО транспорта, включённых в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Бассейн,Водоём,Операции,"Масса груза, т",,,,,,,,,,,,,,
   88.,Белый Ручей,§4,,Волго-Балтийский канал,О,,,,,,,,,,,,,,,
   89.,Белый Яр,"§3,4,5",,Казым,ОП,5,,,,,,,,,,,,,,
   90.,Белый Яр,§4,,Кеть,ОП,,,,,,,,,,,,,,,
   91.,Белькачи,"§4,5",,Алдан,П,,,,,,,,,,,,,,,
   92.,Беляевка,§4,,Воткинское водохранилище,ОП,,,,,,,,,,,,,,,
   93.,Бердск,§4,,Новосибирское водохранилище,ОП,,,,,,,,,,,,,,,
   94.,Бердяш,§4,,Уфа,ОП,,,,,,,,,,,,,,,
   95.,Бережцы,§4,Верхнеднепровский,Припять,О,,,,,,,,,,,,,,,
   96.,Березино,§4,Верхнеднепровский,Березина,ОП,,,,,,,,,,,,,,,
   97.,Березники,"§ 1,3,4,6,7",,Камское водохранилище,ОП,5,,,,,,,,,,,,,,
   98.,Березовая Старица,§4,,Вишера,П,,,,,,,,,,,,,,,
   99.,Березовка,§4,,Весляна,П,,,,,,,,,,,,,,,
  100.,Березовка,§4,,Белая,ОП,,,,,,,,,,,,,,,
  101.,Березово,"§3,4,5",,Северная Сосьва,ОП,5,,,,,,,,,,,,,,
  102.,Берсут,§4,,Кама,ОП,,,,,,,,,,,,,,,
  103.,Бестях,§4,,Лена,ОП,,,,,,,,,,,,,,,
,,Погрузку и выгрузку контейнеров в Бестях грузоотправители и грузополучатели обязаны производить своими силами и средствами и на своих причалах.,,,,,,,,,,,,,,,,,,
  104.,Бесфадье,§4,,Колва,П,,,,,,,,,,,,,,,
  105.,Бетенкес,"§4,5,6",,Адыча,П,,,,,,,,,,,,,,,
  106.,Бетьки,§7,,Кама,О,,,,,,,,,,,,,,,
  107.,Бийск,"§1,4",,Бия,ОП,5,,,,,,,,,,,,,,
  108.,Бильчир,§4,,Братское водохранилище,П,,,,,,,,,,,,,,,
