Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Одесской ж.д. (код дороги 40),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 40-001 ""СЕРПНЕВО I - АРЦЫЗ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Серпнево I,до ст. Арцыз,,,,,,,,,,,
  7.,412919 .,Пост 1154 км,  41  км , 105  км ,,,,,,,,,,,
  8.,412938 .,ОП Ястребиново,  51  км ,  95  км ,,,,,,,,,,,
  9.,412923 .,Пост 1141 км,  54  км ,  92  км ,,,,,,,,,,,
 10.,413004 .,Вознесенск,  61  км ,  85  км ,,,,,,,,,,,
 11.,413108 .,Александровка,  69  км ,  77  км ,,,,,,,,,,,
 12.,413201 .,Трикратное,  76  км ,  70  км ,,,,,,,,,,,
 13.,413216 .,Пост 1113 км,  82  км ,  64  км ,,,,,,,,,,,
 14.,413305 .,Южноукраинская,  90  км ,  56  км ,,,,,,,,,,,
 15.,413311 .,Пост 1100 км,  95  км ,  51  км ,,,,,,,,,,,
 16.,413409 .,Кавуны, 100  км ,  46  км ,,,,,,,,,,,
 17.,413413 .,ОП Новокрасное, 110  км ,  36  км ,,,,,,,,,,,
 18.,413502 .,Людмиловка, 120  км ,  26  км ,,,,,,,,,,,
 19.,413517 .,Олейниково, 128  км ,  18  км ,,,,,,,,,,,
 20.,413521 .,Высоцкое (рзд), 136  км ,  10  км ,,,,,,,,,,,
 21.,413536 .,Пост 1054 км, 141  км ,   5  км ,,,,,,,,,,,
 22.,411901 .,Помошная, 146  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 40-012 ""ПОМОШНАЯ - ИМ. ТАРАСА ШЕВЧЕНКО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Помошная,до ст. Им. Тараса Шевченко,,,,,,,,,,,
  1.,411901 .,Помошная,   0  км , 129  км ,,,,,,,,,,,
  2.,411916 .,ОП Платформа 1043 км,   6  км , 123  км ,,,,,,,,,,,
  3.,411920 .,ОП Ост. Пункт 1040 км,  10  км , 119  км ,,,,,,,,,,,
  4.,423805 .,Адабаш,  16  км , 113  км ,,,,,,,,,,,
  5.,423716 .,ОП Карьерный,  22  км , 107  км ,,,,,,,,,,,
  6.,423720 .,Пут. Пост 1027 км,  23  км , 106  км ,,,,,,,,,,,
  7.,423735 .,ОП Червоный Гранит,  26  км , 103  км ,,,,,,,,,,,
  8.,423701 .,Капустино,  31  км ,  98  км ,,,,,,,,,,,
  9.,423627 .,ОП Александровка,  41  км ,  88  км ,,,,,,,,,,,
 10.,423612 .,Рожено (рзд),  45  км ,  84  км ,,,,,,,,,,,
 11.,423631 .,ОП Уляновка,  47  км ,  82  км ,,,,,,,,,,,
 12.,423608 .,Виска,  52  км ,  77  км ,,,,,,,,,,,
 13.,423519 .,ОП Войновка,  60  км ,  69  км ,,,,,,,,,,,
 14.,423504 .,Новомиргород,  72  км ,  57  км ,,,,,,,,,,,
 15.,423415 .,ОП Турия,  80  км ,  49  км ,,,,,,,,,,,
 16.,423400 .,Капитановка,  87  км ,  42  км ,,,,,,,,,,,
 17.,423434 .,ОП Макеевка,  96  км ,  33  км ,,,,,,,,,,,
 18.,423427 .,Разъезд 953 км,  97  км ,  32  км ,,,,,,,,,,,
 19.,423311 .,ОП Богуново, 100  км ,  29  км ,,,,,,,,,,,
 20.,423307 .,Сердюковка, 106  км ,  23  км ,,,,,,,,,,,
 21.,423383 .,ОП Переездная, 111  км ,  18  км ,,,,,,,,,,,
 22.,423379 .,Разъезд 936 км, 113  км ,  16  км ,,,,,,,,,,,
 23.,423364 .,ОП Червонный Хутор, 114  км ,  15  км ,,,,,,,,,,,
 24.,423350 .,Софиевка (рзд), 120  км ,   9  км ,,,,,,,,,,,
 25.,423398 .,ОП Дачный, 122  км ,   7  км ,,,,,,,,,,,
 26.,423345 .,ОП Малосмелянка, 123  км ,   6  км ,,,,,,,,,,,
 27.,423330 .,ОП Береговая, 124  км ,   5  км ,,,,,,,,,,,
 28.,423326 .,ОП Малая Яблоновка, 125  км ,   4  км ,,,,,,,,,,,
 29.,420099 .,ОП Хмельницький, 126  км ,   3  км ,,,,,,,,,,,
 30.,420008 .,Им. Тараса Шевченко, 129  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 40-013 ""ИМ. ТАРАСА ШЕВЧЕНКО - ГРЕБЕНКА (Южной ж.д.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Им. Тараса Шевченко,до ст. Гребенка,,,,,,,,,,,
  1.,420008 .,Им. Тараса Шевченко,   0  км , 122  км ,,,,,,,,,,,
  2.,420084 .,ОП Серебрянка,   3  км , 119  км ,,,,,,,,,,,
  3.,424032 .,ОП Центральная,   4  км , 118  км ,,,,,,,,,,,
  4.,424009 .,Смела,   6  км , 116  км ,,,,,,,,,,,
  5.,424013 .,ОП Калатор,   9  км , 113  км ,,,,,,,,,,,
  6.,424028 .,ОП Хацки,  12  км , 110  км ,,,,,,,,,,,
  7.,424102 .,Белозерье,  15  км , 107  км ,,,,,,,,,,,
  8.,424117 .,Степанки (пп),  18  км , 104  км ,,,,,,,,,,,
  9.,424121 .,Разъезд 898 км,  23  км ,  99  км ,,,,,,,,,,,
 10.,424136 .,Пут. Пост 894 км,  24  км ,  98  км ,,,,,,,,,,,
 11.,424140 .,ОП Стройдеталь,  27  км ,  95  км ,,,,,,,,,,,
 12.,424206 .,Черкассы,  30  км ,  92  км ,,,,,,,,,,,
 13.,424210 .,ОП Платформа 884 км,  36  км ,  86  км ,,,,,,,,,,,
 14.,424225 .,Пут. Пост 882 км,  39  км ,  83  км ,,,,,,,,,,,
 15.,424237 .,Панское (рзд),  42  км ,  80  км ,,,,,,,,,,,
 16.,424244 .,Благодатное,  50  км ,  72  км ,,,,,,,,,,,
 17.,424263 .,ОП Залесье,  51  км ,  71  км ,,,,,,,,,,,
 18.,424278 .,ОП Хвылевка,  54  км ,  68  км ,,,,,,,,,,,
 19.,424259 .,ОП Платформа 866 км,  55  км ,  67  км ,,,,,,,,,,,
 20.,424303 .,Золотоноша I,  60  км ,  62  км ,,,,,,,,,,,
 21.,424314 .,ОП Богуславец,  67  км ,  55  км ,,,,,,,,,,,
 22.,424704 .,Пальмира,  75  км ,  47  км ,,,,,,,,,,,
 23.,424742 .,ОП Приветное,  78  км ,  44  км ,,,,,,,,,,,
 24.,424719 .,ОП Верхнезгарь,  84  км ,  38  км ,,,,,,,,,,,
 25.,424723 .,Мехедовка,  87  км ,  35  км ,,,,,,,,,,,
 26.,424738 .,ОП Бойковщина,  92  км ,  30  км ,,,,,,,,,,,
 27.,424808 .,Драбово-Барятинская, 100  км ,  22  км ,,,,,,,,,,,
 28.,424812 .,Писарщина (рзд), 107  км ,  15  км ,,,,,,,,,,,
 29.,424850 .,ОП Ост. пункт 810 км, 110  км ,  12  км ,,,,,,,,,,,
 30.,424831 .,Разъезд 805 км, 115  км ,   7  км ,,,,,,,,,,,
 31.,424827 .,ОП Оржица, 118  км ,   4  км ,,,,,,,,,,,
 32.,428300 .,Гребенка, 122  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 40-014 ""ОДЕССА-ЗАСТАВА I - РАЗДЕЛЬНАЯ-СОРТИРОВОЧНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Одесса-Застава I,до ст. Раздельная-Сортировочная,,,,,,,,,,,
  1.,405101 .,Одесса-Застава I,   0  км ,  68  км ,,,,,,,,,,,
  2.,405116 .,ОП Новодеповской,   2  км ,  66  км ,,,,,,,,,,,
  3.,405120 .,ОП Ост. Пункт 1497 км,   4  км ,  64  км ,,,,,,,,,,,
  4.,405205 .,Усатово,   6  км ,  62  км ,,,,,,,,,,,
  5.,419903 .,Одесса-Лиски,   7  км ,  61  км ,,,,,,,,,,,
  6.,405309 .,Дачная,  15  км ,  53  км ,,,,,,,,,,,
  7.,405313 .,ОП Ост. Пункт 1481 км,  21  км ,  47  км ,,,,,,,,,,,
  8.,405402 .,Выгода,  27  км ,  41  км ,,,,,,,,,,,
  9.,405417 .,ОП Солнечное,  33  км ,  35  км ,,,,,,,,,,,
 10.,405474 .,Карпово,  37  км ,  31  км ,,,,,,,,,,,
 11.,405510 .,ОП Новоселовка,  40  км ,  28  км ,,,,,,,,,,,
 12.,405525 .,Еремеевка,  43  км ,  25  км ,,,,,,,,,,,
 13.,405530 .,ОП Кузьменково,  45  км ,  23  км ,,,,,,,,,,,
 14.,405544 .,ОП Буценовка,  49  км ,  19  км ,,,,,,,,,,,
 15.,405559 .,ОП Ост. Пункт 1445 км,  53  км ,  15  км ,,,,,,,,,,,
 16.,405607 .,Раздельная I,  63  км ,   5  км ,,,,,,,,,,,
 17.,405703 .,Раздельная-Сортировочная,  68  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 40-015 ""ОДЕССА-ГЛАВНАЯ - ОДЕССА-ЗАСТАВА I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Одесса-Главная,до ст. Одесса-Застава I,,,,,,,,,,,
  1.,400216 .,Одесса-Главная,   0  км ,   9  км ,,,,,,,,,,,
  2.,400220 .,ОП Одесса-Малая,   2  км ,   7  км ,,,,,,,,,,,
  3.,400235 .,ОП Одесса-Поездная,   4  км ,   5  км ,,,,,,,,,,,
  4.,400248 .,Блок-пост 1504 км,   5  км ,   4  км ,,,,,,,,,,,
  5.,400254 .,ОП Дальницкий Переезд,   8  км ,   1  км ,,,,,,,,,,,
  6.,405101 .,Одесса-Застава I,   9  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 40-016 ""ДОЛИНСКАЯ - ТИМКОВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Долинская,до ст. Тимково,,,,,,,,,,,
  1.,414100 .,Долинская,   0  км ,   9  км ,,,,,,,,,,,
  2.,414115 .,Тимково,   9  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 40-017 ""ПОСТ 124 КМ - ТИМКОВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Пост 124 км,до ст. Тимково,,,,,,,,,,,
  1.,414121 .,Пост 124 км,   0  км ,   9  км ,,,,,,,,,,,
  2.,414115 .,Тимково,   9  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 40-018 ""РАЗДЕЛЬНАЯ-СОРТИРОВОЧНАЯ - КУЧУРГАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Раздельная-Сортировочная,до ст. Кучурган,,,,,,,,,,,
  1.,405703 .,Раздельная-Сортировочная,   0  км ,  16  км ,,,,,,,,,,,
  2.,405718 .,Блок-пост 1437 км,   4  км ,  12  км ,,,,,,,,,,,
  3.,405807 .,Кучурган,  16  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 40-019 ""КУЧУРГАН - РЕНИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кучурган,до ст. Рени,,,,,,,,,,,
  1.,405807 .,Кучурган,   0  км ,  51  км ,,,,,,,,,,,
  2.,405079 .,Петросталь (ОП),   3  км ,  48  км ,,,,,,,,,,,
  3.,405065 .,ОП Киружинка,   7  км ,  44  км ,,,,,,,,,,,
  4.,405050 .,ОП Ост. Пункт 121 км,  11  км ,  40  км ,,,,,,,,,,,
  5.,402404 .,ОП Болград,  19  км ,  32  км ,,,,,,,,,,,
  6.,402423 .,ОП Ост. пункт 272 км,  35  км ,  16  км ,,,,,,,,,,,
  7.,402809 .,Фрикацей,  36  км ,  15  км ,,,,,,,,,,,
  8.,402813 .,ОП Лиман-Дунайский,  40  км ,  11  км ,,,,,,,,,,,
  9.,402828 .,ОП Восток,  44  км ,   7  км ,,,,,,,,,,,
 10.,402832 .,ОП Кирган,  45  км ,   6  км ,,,,,,,,,,,
 11.,404700 .,Рени,  51  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 19) участок 40-020 ""БЛОК-ПОСТ 1437 КМ - РАЗДЕЛЬНАЯ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Блок-пост 1437 км,до ст. Раздельная I,,,,,,,,,,,
  1.,405718 .,Блок-пост 1437 км,   0  км ,   1  км ,,,,,,,,,,,
  2.,405607 .,Раздельная I,   1  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 20) участок 40-021 ""ОБХОДНАЯ (РЗД) - БОРЩИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Обходная (рзд),до ст. Борщи,,,,,,,,,,,
  1.,406852 .,Обходная (рзд),   0  км ,   3  км ,,,,,,,,,,,
  2.,407802 .,Борщи,   3  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 21) участок 40-022 ""РАЗДЕЛЬНАЯ-СОРТИРОВОЧНАЯ - ПОДОЛЬСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Раздельная-Сортировочная,до ст. Подольск,,,,,,,,,,,
  1.,405703 .,Раздельная-Сортировочная,   0  км , 110  км ,,,,,,,,,,,
  2.,405722 .,Надежда,   3  км , 107  км ,,,,,,,,,,,
  3.,405953 .,Мигаево,  11  км ,  99  км ,,,,,,,,,,,
  4.,405949 .,Пут. Пост 1413 км,  19  км ,  91  км ,,,,,,,,,,,
  5.,406301 .,Веселый Кут,  26  км ,  84  км ,,,,,,,,,,,
  6.,406316 .,Ивановка,  36  км ,  74  км ,,,,,,,,,,,
  7.,406320 .,Торосово (пп),  44  км ,  66  км ,,,,,,,,,,,
  8.,406335 .,Победа,  49  км ,  61  км ,,,,,,,,,,,
  9.,406405 .,Затишье,  55  км ,  55  км ,,,,,,,,,,,
 10.,406417 .,Пут. Пост 1370 км,  62  км ,  48  км ,,,,,,,,,,,
 11.,406528 .,Перекрестово,  68  км ,  42  км ,,,,,,,,,,,
 12.,406513 .,1 Мая,  74  км ,  36  км ,,,,,,,,,,,
 13.,410504 .,Мардаровка,  80  км ,  30  км ,,,,,,,,,,,
 14.,406617 .,ОП Петровка,  91  км ,  19  км ,,,,,,,,,,,
 15.,406706 .,Чубовка,  98  км ,  12  км ,,,,,,,,,,,
 16.,406710 .,Пут. Пост 1329 км, 103  км ,   7  км ,,,,,,,,,,,
 17.,406802 .,Подольск, 110  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 22) участок 40-023 ""ПОДОЛЬСК - СЛОБОДКА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Подольск,до ст. Слободка,,,,,,,,,,,
  1.,406802 .,Подольск,   0  км ,  26  км ,,,,,,,,,,,
  2.,406814 .,ОП Подольск-Северный,   2  км ,  24  км ,,,,,,,,,,,
  3.,406829 .,ОП Николаевка,   5  км ,  21  км ,,,,,,,,,,,
  4.,406833 .,Побережье,   7  км ,  19  км ,,,,,,,,,,,
  5.,406848 .,ОП Борщевка,  10  км ,  16  км ,,,,,,,,,,,
  6.,407802 .,Борщи,  14  км ,  12  км ,,,,,,,,,,,
