Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Молдавской ж.д. (код дороги 39),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 39-001 ""ВЭЛЧИНЕЦ (ЭКСП.) - ОКНИЦА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Вэлчинец (эксп.),до ст. Окница,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Бендер I,до ст. Новосавицкая (эксп.),,,,,,,,,,,
  1.,390001 .,Бендер I,   0  км ,  43  км ,,,,,,,,,,,
  2.,390033 .,ОП Паркань,   5  км ,  38  км ,,,,,,,,,,,
  3.,390103 .,Тираспол,  13  км ,  30  км ,,,,,,,,,,,
  4.,390207 .,Новосавицкая,  33  км ,  10  км ,,,,,,,,,,,
  5.,392306 .,Новосавицкая (эксп.),  43  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 39-011 ""ЛИВАДА - ЛИВАДА (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ливада,до ст. Ливада (эксп.),,,,,,,,,,,
  1.,390404 .,Ливада,   0  км ,   5  км ,,,,,,,,,,,
  2.,391106 .,Ливада (эксп.),   5  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 39-013 ""БАСАРАБЯСКА - ЕТУЛИЯ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Басарабяска,до ст. Етулия (эксп.),,,,,,,,,,,
  1.,399004 .,Басарабяска,   0  км , 127  км ,,,,,,,,,,,
  2.,398904 .,Абаклия,  10  км , 117  км ,,,,,,,,,,,
  3.,398853 .,Кульма,  22  км , 105  км ,,,,,,,,,,,
  4.,398849 .,ОП Кириет-Лунга,  28  км ,  99  км ,,,,,,,,,,,
  5.,398834 .,ОП Джолтай,  33  км ,  94  км ,,,,,,,,,,,
  6.,398824 .,ОП Переезд,  36  км ,  91  км ,,,,,,,,,,,
  7.,398815 .,ОП Бешгиоз,  39  км ,  88  км ,,,,,,,,,,,
  8.,398800 .,Чадыр-Лунга,  45  км ,  82  км ,,,,,,,,,,,
  9.,398730 .,ОП Ост. пункт 174 км,  49  км ,  78  км ,,,,,,,,,,,
 10.,398726 .,Кирютня,  55  км ,  72  км ,,,,,,,,,,,
 11.,398711 .,Казаклия (рзд),  63  км ,  64  км ,,,,,,,,,,,
 12.,398707 .,Тараклия,  70  км ,  57  км ,,,,,,,,,,,
 13.,398622 .,ОП Ост. пункт 200 км,  74  км ,  53  км ,,,,,,,,,,,
 14.,398618 .,Разъезд 208 км,  81  км ,  46  км ,,,,,,,,,,,
 15.,398514 .,Валул-Роман (рзд),  87  км ,  40  км ,,,,,,,,,,,
 16.,391303 .,Разъезд 208 км (эксп.),  88  км ,  39  км ,,,,,,,,,,,
 17.,398603 .,Гречень (эксп.),  88  км ,  39  км ,,,,,,,,,,,
 18.,398505 .,Гречень,  95  км ,  32  км ,,,,,,,,,,,
 19.,398406 .,Вулкэнешть, 107  км ,  20  км ,,,,,,,,,,,
 20.,398321 .,Куза-Водэ (рзд), 116  км ,  11  км ,,,,,,,,,,,
 21.,398317 .,ОП Ост. Пункт 258 км, 120  км ,   7  км ,,,,,,,,,,,
 22.,398302 .,Етулия, 123  км ,   4  км ,,,,,,,,,,,
 23.,399606 .,Етулия (эксп.), 127  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 13) участок 39-014 ""ДЖУРДЖУЛЕШТЬ - ДЖУРДЖУЛЕШТЬ (ЭКСП. БДЖ)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Джурджулешть,до ст. Джурджулешть (эксп. БДЖ),,,,,,,,,,,
  1.,397600 .,Джурджулешть,   0  км ,   2  км ,,,,,,,,,,,
  2.,397704 .,Джурджулешть (эксп. УЗ),   1  км ,   1  км ,,,,,,,,,,,
  3.,398001 .,"Джурджулешть (порт, эксп.)",   1  км ,   1  км ,,,,,,,,,,,
  4.,397808 .,Джурджулешть (эксп. ЧФР),   2  км ,   0  км ,,,,,,,,,,,
  5.,397901 .,Джурджулешть (эксп. БДЖ),   2  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
