Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Юго-Восточной ж.д. (код дороги 58),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 58-001 ""ЕФРЕМОВ (Московской ж.д.) - ЕЛЕЦ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ефремов,до ст. Елец,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Богоявленск,до ст. Кочетовка I,,,,,,,,,,,
  1.,603803 .,Богоявленск,   0  км ,  35  км ,,,,,,,,,,,
  2.,603841 .,ОП Новокленский,   6  км ,  29  км ,,,,,,,,,,,
  3.,603856 .,ОП Иванжитово,  11  км ,  24  км ,,,,,,,,,,,
  4.,603860 .,ОП Бригадирская,  13  км ,  22  км ,,,,,,,,,,,
  5.,603875 .,ОП Иловай,  16  км ,  19  км ,,,,,,,,,,,
  6.,603907 .,Хоботово,  21  км ,  14  км ,,,,,,,,,,,
  7.,603911 .,ОП Ост. Пункт 389 км,  23  км ,  12  км ,,,,,,,,,,,
  8.,603926 .,ОП Песчанка,  25  км ,  10  км ,,,,,,,,,,,
  9.,603945 .,ОП Остролучье,  26  км ,   9  км ,,,,,,,,,,,
 10.,603930 .,ОП Терновские Дворики,  28  км ,   7  км ,,,,,,,,,,,
 11.,600036 .,ОП Кочетовка III,  31  км ,   4  км ,,,,,,,,,,,
 12.,600025 .,ОП Новое Депо,  33  км ,   2  км ,,,,,,,,,,,
 13.,600010 .,ОП Кочетовка II,  34  км ,   1  км ,,,,,,,,,,,
 14.,600006 .,Кочетовка I,  35  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 58-010 ""КОЧЕТОВКА I - ГРЯЗИ-ВОРОНЕЖСКИЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кочетовка I,до ст. Грязи-Воронежские,,,,,,,,,,,
  1.,600006 .,Кочетовка I,   0  км ,  68  км ,,,,,,,,,,,
  2.,600059 .,ОП Кочетовка V,   1  км ,  67  км ,,,,,,,,,,,
  3.,600063 .,ОП Электродепо,   2  км ,  66  км ,,,,,,,,,,,
  4.,600044 .,Каменка,   4  км ,  64  км ,,,,,,,,,,,
  5.,600102 .,Мичуринск-Воронежский,   8  км ,  60  км ,,,,,,,,,,,
  6.,600114 .,ОП Красниково,  12  км ,  56  км ,,,,,,,,,,,
  7.,600129 .,ОП Стаево,  14  км ,  54  км ,,,,,,,,,,,
  8.,600133 .,ОП Лесной Воронеж,  16  км ,  52  км ,,,,,,,,,,,
  9.,600203 .,Никольское,  18  км ,  50  км ,,,,,,,,,,,
 10.,600218 .,ОП Ост. Пункт 423 км,  21  км ,  47  км ,,,,,,,,,,,
 11.,600260 .,ОП Лавровские Подворки,  25  км ,  43  км ,,,,,,,,,,,
 12.,600222 .,ОП Сестренка,  28  км ,  40  км ,,,,,,,,,,,
 13.,600237 .,ОП Ост. Пункт 432 км,  30  км ,  38  км ,,,,,,,,,,,
 14.,600241 .,ОП Решетовка,  33  км ,  35  км ,,,,,,,,,,,
 15.,600256 .,ОП Дерезовка,  37  км ,  31  км ,,,,,,,,,,,
 16.,600307 .,Избердей,  42  км ,  26  км ,,,,,,,,,,,
 17.,600311 .,ОП Добровольский,  47  км ,  21  км ,,,,,,,,,,,
 18.,600326 .,ОП Павловка,  49  км ,  19  км ,,,,,,,,,,,
 19.,600434 .,Песковатка,  52  км ,  16  км ,,,,,,,,,,,
 20.,600415 .,ОП Электросети,  58  км ,  10  км ,,,,,,,,,,,
 21.,600421 .,ОП Поселок Песковатский,  61  км ,   7  км ,,,,,,,,,,,
 22.,591907 .,Грязи-Воронежские,  68  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 58-011 ""КОЧЕТОВКА I - ТАМБОВ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кочетовка I,до ст. Тамбов I,,,,,,,,,,,
  1.,600006 .,Кочетовка I,   0  км ,  75  км ,,,,,,,,,,,
  2.,601032 .,Турмасово,   7  км ,  68  км ,,,,,,,,,,,
  3.,601013 .,ОП Ост. Пункт 413 км,  11  км ,  64  км ,,,,,,,,,,,
  4.,601028 .,Варваринский (бп),  17  км ,  58  км ,,,,,,,,,,,
  5.,601102 .,Никифоровка,  25  км ,  50  км ,,,,,,,,,,,
  6.,601117 .,Блокпост 437 км,  34  км ,  41  км ,,,,,,,,,,,
  7.,601206 .,Сабурово,  42  км ,  33  км ,,,,,,,,,,,
  8.,601308 .,Селезни,  53  км ,  22  км ,,,,,,,,,,,
  9.,601314 .,ОП Челновская,  58  км ,  17  км ,,,,,,,,,,,
 10.,601329 .,Пушкари,  63  км ,  12  км ,,,,,,,,,,,
 11.,601333 .,Блокпост 471 км,  68  км ,   7  км ,,,,,,,,,,,
 12.,601348 .,ОП Радужный,  70  км ,   5  км ,,,,,,,,,,,
 13.,601403 .,Тамбов I,  75  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 58-012 ""КОЧЕТОВКА I - МИЧУРИНСК-УРАЛЬСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кочетовка I,до ст. Мичуринск-Уральский,,,,,,,,,,,
  1.,600006 .,Кочетовка I,   0  км ,   7  км ,,,,,,,,,,,
  2.,600059 .,ОП Кочетовка V,   1  км ,   6  км ,,,,,,,,,,,
  3.,600063 .,ОП Электродепо,   2  км ,   5  км ,,,,,,,,,,,
  4.,600044 .,Каменка,   4  км ,   3  км ,,,,,,,,,,,
  5.,600078 .,ОП Ост. Пункт 408 км,   5  км ,   2  км ,,,,,,,,,,,
  6.,600909 .,Мичуринск-Уральский,   7  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 58-013 ""БОГОЯВЛЕНСК - ЧЕЛНОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Богоявленск,до ст. Челновая,,,,,,,,,,,
  1.,603803 .,Богоявленск,   0  км ,  84  км ,,,,,,,,,,,
  2.,603885 .,ОП Ост. Пункт 8 км,   8  км ,  76  км ,,,,,,,,,,,
  3.,603894 .,ОП Ост. Пункт 9 км,   9  км ,  75  км ,,,,,,,,,,,
  4.,604238 .,ОП Ост. Пункт 12 км,  12  км ,  72  км ,,,,,,,,,,,
  5.,604223 .,ОП Ост. Пункт 18 км,  18  км ,  66  км ,,,,,,,,,,,
  6.,604219 .,ОП Новиково,  26  км ,  58  км ,,,,,,,,,,,
  7.,604204 .,Старое Юрьево,  31  км ,  53  км ,,,,,,,,,,,
  8.,604242 .,ОП Ост. Пункт 35 км,  35  км ,  49  км ,,,,,,,,,,,
  9.,604280 .,ОП Ост. Пункт 36 км,  36  км ,  48  км ,,,,,,,,,,,
 10.,604257 .,ОП Ост. Пункт 45 км,  45  км ,  39  км ,,,,,,,,,,,
 11.,604261 .,ОП Ост. Пункт 49 км,  49  км ,  35  км ,,,,,,,,,,,
 12.,604276 .,ОП Ост. Пункт 54 км,  54  км ,  30  км ,,,,,,,,,,,
 13.,604295 .,Ламки,  58  км ,  26  км ,,,,,,,,,,,
 14.,604312 .,ОП Ост. Пункт 61 км,  61  км ,  23  км ,,,,,,,,,,,
 15.,604346 .,ОП Ост. Пункт 65 км,  65  км ,  19  км ,,,,,,,,,,,
 16.,604327 .,ОП Ост. Пункт 71 км,  71  км ,  13  км ,,,,,,,,,,,
 17.,604331 .,ОП Ост. Пункт 77 км,  77  км ,   7  км ,,,,,,,,,,,
 18.,604401 .,Челновая,  84  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
