Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Латвийской ж.д. (код дороги 09),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 09-002 ""ВАЛКА (РЗД) - ИЕРИКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лугажи (эксп.),до ст. Иерики,,,,,,,,,,,
  6.,097720 .,Слампе,  39  км ,  17  км ,,,,,,,,,,,
  7.,097716 .,ОП Правини,  45  км ,  11  км ,,,,,,,,,,,
  8.,097504 .,Тукумс II,  56  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 20) участок 09-027 ""ТУКУМС II - ТОРНЯКАЛНС"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тукумс II,до ст. Торнякалнс,,,,,,,,,,,
  1.,097504 .,Тукумс II,   0  км ,  65  км ,,,,,,,,,,,
  2.,097364 .,Тукумс I,   3  км ,  62  км ,,,,,,,,,,,
  3.,097353 .,ОП Милзкалне,   7  км ,  58  км ,,,,,,,,,,,
  4.,097330 .,ОП Смарде,  14  км ,  51  км ,,,,,,,,,,,
  5.,097326 .,Кемери,  24  км ,  41  км ,,,,,,,,,,,
  6.,097311 .,ОП Кудра,  28  км ,  37  км ,,,,,,,,,,,
  7.,097307 .,Слока,  33  км ,  32  км ,,,,,,,,,,,
  8.,097241 .,ОП Вайвари,  36  км ,  29  км ,,,,,,,,,,,
  9.,097237 .,ОП Асари,  37  км ,  28  км ,,,,,,,,,,,
 10.,097222 .,ОП Меллужи,  39  км ,  26  км ,,,,,,,,,,,
 11.,097218 .,ОП Пумпури,  40  км ,  25  км ,,,,,,,,,,,
 12.,097167 .,ОП Яундубулти,  41  км ,  24  км ,,,,,,,,,,,
 13.,097152 .,Дубулти,  43  км ,  22  км ,,,,,,,,,,,
 14.,097148 .,ОП Майори,  44  км ,  21  км ,,,,,,,,,,,
 15.,097133 .,ОП Дзинтари,  45  км ,  20  км ,,,,,,,,,,,
 16.,097129 .,ОП Булдури,  48  км ,  17  км ,,,,,,,,,,,
 17.,097114 .,ОП Лиелупе,  49  км ,  16  км ,,,,,,,,,,,
 18.,096766 .,Приедайне,  51  км ,  14  км ,,,,,,,,,,,
 19.,096747 .,ОП Бабите,  55  км ,  10  км ,,,,,,,,,,,
 20.,096732 .,ОП Иманта,  58  км ,   7  км ,,,,,,,,,,,
 21.,096751 .,ОП Золитуде,  59  км ,   6  км ,,,,,,,,,,,
 22.,096728 .,ОП Депо Засулаукс,  60  км ,   5  км ,,,,,,,,,,,
 23.,096709 .,Засулаукс,  61  км ,   4  км ,,,,,,,,,,,
 24.,091008 .,Торнякалнс,  65  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 21) участок 09-028 ""ТУКУМС II - ВЕНТСПИЛС (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тукумс II,до ст. Вентспилс (эксп.),,,,,,,,,,,
  1.,097504 .,Тукумс II,   0  км , 111  км ,,,,,,,,,,,
  2.,097519 .,Зваре,  11  км , 100  км ,,,,,,,,,,,
  3.,097523 .,ОП Пуре,  19  км ,  92  км ,,,,,,,,,,,
  4.,097805 .,Кандава,  24  км ,  87  км ,,,,,,,,,,,
  5.,097815 .,ОП Лигциемс,  29  км ,  82  км ,,,,,,,,,,,
  6.,097909 .,Сабиле,  36  км ,  75  км ,,,,,,,,,,,
  7.,098009 .,Стенде,  43  км ,  68  км ,,,,,,,,,,,
  8.,098013 .,Личи,  51  км ,  60  км ,,,,,,,,,,,
  9.,098028 .,Спаре,  62  км ,  49  км ,,,,,,,,,,,
 10.,098032 .,Усма,  69  км ,  42  км ,,,,,,,,,,,
 11.,098102 .,Угале,  79  км ,  32  км ,,,,,,,,,,,
 12.,098117 .,ОП Пузе,  85  км ,  26  км ,,,,,,,,,,,
 13.,098121 .,Элкшкене,  96  км ,  15  км ,,,,,,,,,,,
 14.,098136 .,ОП Вентспилс II, 103  км ,   8  км ,,,,,,,,,,,
 15.,098206 .,Вентспилс, 108  км ,   3  км ,,,,,,,,,,,
 16.,098306 .,Вентспилс (эксп.), 111  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 22) участок 09-029 ""ЛИЕПАЯ - ГЛУДА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лиепая (эксп.),до ст. Глуда,,,,,,,,,,,
  1.,098600 .,Лиепая,   0  км , 164  км ,,,,,,,,,,,
  2.,098704 .,Лиепая (эксп.),   0  км , 164  км ,,,,,,,,,,,
  3.,093556 .,Торе,  16  км , 148  км ,,,,,,,,,,,
  4.,093541 .,ОП Тадайки,  23  км , 141  км ,,,,,,,,,,,
  5.,093537 .,ОП Дурбе,  26  км , 138  км ,,,,,,,,,,,
  6.,093522 .,ОП Падоне,  29  км , 135  км ,,,,,,,,,,,
  7.,093518 .,Илмая,  35  км , 129  км ,,,,,,,,,,,
  8.,093503 .,Калвене,  46  км , 118  км ,,,,,,,,,,,
  9.,093429 .,ОП Рудбаржи,  55  км , 109  км ,,,,,,,,,,,
 10.,093414 .,ОП Сиексате,  63  км , 101  км ,,,,,,,,,,,
 11.,093409 .,Скрунда,  69  км ,  95  км ,,,,,,,,,,,
 12.,093332 .,ОП Айрите,  79  км ,  85  км ,,,,,,,,,,,
 13.,093325 .,ОП Лашупе,  86  км ,  78  км ,,,,,,,,,,,
 14.,093310 .,ОП Лутрини,  90  км ,  74  км ,,,,,,,,,,,
 15.,093306 .,Салдус,  97  км ,  67  км ,,,,,,,,,,,
 16.,093202 .,Броцены, 103  км ,  61  км ,,,,,,,,,,,
 17.,093128 .,ОП Блидене, 111  км ,  53  км ,,,,,,,,,,,
 18.,093113 .,ОП Йоста, 122  км ,  42  км ,,,,,,,,,,,
 19.,093039 .,Биксти, 130  км ,  34  км ,,,,,,,,,,,
 20.,093013 .,ОП Берзупе, 138  км ,  26  км ,,,,,,,,,,,
 21.,092905 .,Добеле, 151  км ,  13  км ,,,,,,,,,,,
 22.,092801 .,Глуда, 164  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 23) участок 09-031 ""ЛИЕПАЯ - ПРИЕКУЛЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лиепая (эксп.),до ст. Приекуле,,,,,,,,,,,
  1.,098600 .,Лиепая,   0  км ,  40  км ,,,,,,,,,,,
  2.,098704 .,Лиепая (эксп.),   0  км ,  40  км ,,,,,,,,,,,
  3.,098649 .,ОП Аланда,   7  км ,  33  км ,,,,,,,,,,,
  4.,098653 .,ОП Дубени,  12  км ,  28  км ,,,,,,,,,,,
  5.,098691 .,ОП Гробиня,  14  км ,  26  км ,,,,,,,,,,,
