Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
  269.,Бабаюрт,Б,51 С-Кав (Р),542239,
  270.,Бабаяров,О,73 Узбк,724317,
  271.,Бабенково,О,43 Южн (У),447335,
  272.,Бабики,О,76 Сверд (Р),762126,
  273.,Бабинка,О,17 Моск (Р),200411,
  274.,Бабино,О,01 Окт (Р),042342,
  275.,Бабино,О,13 Бел,147718,
  276.,Бабино II,О,01 Окт (Р),042291,
  277.,Бабите,О,09 Лат,096747,
  278.,Бабичевский,О,32 Ю-Зап (У),348125,
  279.,Бабовня,О,51 С-Кав (Р),588139,
  280.,Бабошино,О,17 Моск (Р),212419,
  281.,Бабха,О,92 В-Сиб (Р),933712,
  282.,Багеровский Ров,О,85 Крым (Р),867313,
  283.,Баглаи,О,32 Ю-Зап (У),330297,
  284.,Багнашени,О,57 Грз,574225,
  285.,Багримово,О,28 Сев (Р),313323,
  286.,Багриновка,О,35 Льв (У),368612,
  287.,Багул,Б,76 Сверд (Р),767026,
  288.,Багульная II,О,92 В-Сиб (Р),924499,
  289.,Багульная III,О,92 В-Сиб (Р),924516,
  290.,Бадаложный,О,88 Крас (Р),890521,
  291.,Бадиаури,Б,57 Грз,561403,
  292.,Бадовка,Б,32 Ю-Зап (У),341111,
  293.,Бадряш,О,24 Горьк (Р),257725,
  294.,Баевка,О,10 Клг (Р),104341,
  295.,Баевка II,О,10 Клг (Р),104322,
  296.,Бажикаева,О,80 Ю-Ур (Р),803114,
  297.,База,О,43 Южн (У),428353,
  298.,База МК,О,88 Крас (Р),887054,
  299.,База ПМС,О,76 Сверд (Р),772537,
  300.,База ПМС,О,92 В-Сиб (Р),937639,
  301.,Базалети,О,57 Грз,576729,
  302.,Байгул,О,68 Кзх,676486,
  303.,Байдаковка,О,40 Од (У),410420,
  304.,Байдеряково,О,63 Кбш (Р),644246,
  305.,Байдики,О,17 Моск (Р),210517,
  306.,Байкальск-Пригородный,Б,92 В-Сиб (Р),933727,
  307.,Байкальский Прибой,О,92 В-Сиб (Р),934683,
  308.,Байкальский тракт,О,92 В-Сиб (Р),922614,
  309.,Байлянгар,О,24 Горьк (Р),253635,
  310.,Байорай,О,12 Лит,107814,
  311.,Байрам,О,51 С-Кав (Р),542718,
  312.,Байцетуй,О,94 Заб (Р),947611,
  313.,Бака Булак,О,68 Кзх,698220,
