Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ОСТАНОВОЧНЫХ ПУНКТОВ И ПЛАТФОРМ,,,,,
№ п/п,Наименование пункта,Операции,Дорога,Код станции,
 7031.,Ост. Пункт 451 км,О,80 Ю-Ур (Р),815889,
 7032.,Ост. Пункт 452 км,О,01 Окт (Р),056129,
 7033.,Ост. Пункт 452 км,О,17 Моск (Р),216918,
 7034.,Ост. Пункт 453 км,О,63 Кбш (Р),632125,
 7035.,Ост. Пункт 454 км,О,01 Окт (Р),067157,
 7036.,Ост. Пункт 454 км,О,48 Дон (У),480047,
 7037.,Ост. Пункт 454 км,О,89 89-я дорога,897041,
 7038.,Ост. Пункт 455 км,О,80 Ю-Ур (Р),815794,
 7039.,Ост. Пункт 457 км,О,17 Моск (Р),208023,
 7040.,Ост. Пункт 458 км,О,80 Ю-Ур (Р),815855,
 7041.,Ост. Пункт 4580 км,О,92 В-Сиб (Р),920623,
 7042.,Ост. Пункт 4598 км,О,73 Узбк,736028,
 7043.,Ост. Пункт 46 км,О,01 Окт (Р),041072,
 7044.,Ост. Пункт 46 км,О,01 Окт (Р),059042,
 7045.,Ост. Пункт 46 км,О,24 Горьк (Р),271436,
 7046.,Ост. Пункт 46 км,О,48 Дон (У),493047,
 7047.,Ост. Пункт 46 км,О,58 Ю-Вост (Р),605512,
 7048.,Ост. Пункт 46 км,О,80 Ю-Ур (Р),818088,
 7049.,Ост. Пункт 46 км,О,89 89-я дорога,957948,
 7050.,Ост. Пункт 46 км,О,89 89-я дорога,897639,
 7051.,Ост. Пункт 460 км,О,17 Моск (Р),204018,
 7052.,Ост. Пункт 4604 км,О,92 В-Сиб (Р),920816,
 7053.,Ост. Пункт 4609 км,О,73 Узбк,736117,
 7054.,Ост. Пункт 4611 км,О,92 В-Сиб (Р),920918,
 7055.,Ост. Пункт 4613 км,О,74 Тадж,745830,
 7056.,Ост. Пункт 4615 км,О,92 В-Сиб (Р),920924,
 7057.,Ост. Пункт 4616 км,О,74 Тадж,745826,
 7058.,Ост. Пункт 462 км,О,17 Моск (Р),171914,
 7059.,Ост. Пункт 463 км,О,17 Моск (Р),204624,
 7060.,Ост. Пункт 4636 км,О,92 В-Сиб (Р),921024,
 7061.,Ост. Пункт 464 км,О,17 Моск (Р),228027,
 7062.,Ост. Пункт 4640 км,О,92 В-Сиб (Р),921039,
 7063.,Ост. Пункт 4646 км,О,74 Тадж,745633,
 7064.,Ост. Пункт 465 км,О,17 Моск (Р),171011,
 7065.,Ост. Пункт 465 км,О,17 Моск (Р),208112,
 7066.,Ост. Пункт 465 км,О,88 Крас (Р),888396,
 7067.,Ост. Пункт 4653 км,О,74 Тадж,745629,
 7068.,Ост. Пункт 4655 км,О,92 В-Сиб (Р),921113,
 7069.,Ост. Пункт 4657 км,О,74 Тадж,745614,
 7070.,Ост. Пункт 466 км,О,58 Ю-Вост (Р),605334,
 7071.,Ост. Пункт 466 км,О,76 Сверд (Р),771453,
 7072.,Ост. Пункт 4663 км,О,74 Тадж,745525,
 7073.,Ост. Пункт 4663 км,О,92 В-Сиб (Р),921132,
 7074.,Ост. Пункт 4666 км,О,74 Тадж,745510,
 7075.,Ост. Пункт 4679 км,О,74 Тадж,745313,
 7076.,Ост. Пункт 468 км,О,75 Трк,758116,
 7077.,Ост. Пункт 4694 км,О,92 В-Сиб (Р),921325,
 7078.,Ост. Пункт 4696 км,О,92 В-Сиб (Р),921359,
 7079.,Ост. Пункт 47 км,О,17 Моск (Р),232615,
 7080.,Ост. Пункт 47 км,О,17 Моск (Р),236517,
 7081.,Ост. Пункт 47 км,О,45 Придн (У),466431,
 7082.,Ост. Пункт 47 км,О,48 Дон (У),490852,
 7083.,Ост. Пункт 47 км,О,48 Дон (У),484423,
 7084.,Ост. Пункт 47 км,О,48 Дон (У),502316,
 7085.,Ост. Пункт 47 км,О,58 Ю-Вост (Р),594619,
 7086.,Ост. Пункт 47 км,О,51 С-Кав (Р),588622,
 7087.,Ост. Пункт 47 км,О,76 Сверд (Р),775624,
 7088.,Ост. Пункт 47 км,О,76 Сверд (Р),784021,
 7089.,Ост. Пункт 47 км,О,89 89-я дорога,899530,
 7090.,Ост. Пункт 47 км,О,89 89-я дорога,929647,
 7091.,Ост. Пункт 470 км,О,48 Дон (У),494711,
 7092.,Ост. Пункт 470 км,О,89 89-я дорога,958813,
 7093.,Ост. Пункт 4711 км,О,92 В-Сиб (Р),921448,
 7094.,Ост. Пункт 472 км,О,76 Сверд (Р),771430,
 7095.,Ост. Пункт 4721 км,О,92 В-Сиб (Р),921433,
 7096.,Ост. Пункт 473 км,О,63 Кбш (Р),640520,
 7097.,Ост. Пункт 473 км,О,89 89-я дорога,958828,
 7098.,Ост. Пункт 474 км,О,17 Моск (Р),217111,
 7099.,Ост. Пункт 474 км,О,75 Трк,758120,
 7100.,Ост. Пункт 4742 км,О,92 В-Сиб (Р),921537,
 7101.,Ост. Пункт 475 км,О,17 Моск (Р),170926,
 7102.,Ост. Пункт 478 км,О,01 Окт (Р),056326,
 7103.,Ост. Пункт 4784 км,О,92 В-Сиб (Р),921819,
 7104.,Ост. Пункт 479 км,О,76 Сверд (Р),771426,
 7105.,Ост. Пункт 4790 км,О,92 В-Сиб (Р),921912,
 7106.,Ост. Пункт 48 км,О,01 Окт (Р),069311,
 7107.,Ост. Пункт 48 км,О,17 Моск (Р),205222,
 7108.,Ост. Пункт 48 км,Х,45 Придн (У),466425,
 7109.,Ост. Пункт 48 км,О,48 Дон (У),489412,
 7110.,Ост. Пункт 48 км,О,58 Ю-Вост (Р),583116,
 7111.,Ост. Пункт 48 км,О,63 Кбш (Р),647638,
 7112.,Ост. Пункт 48 км,О,76 Сверд (Р),765425,
 7113.,Ост. Пункт 48 км,О,76 Сверд (Р),773366,
 7114.,Ост. Пункт 48 км,О,80 Ю-Ур (Р),803557,
 7115.,Ост. Пункт 48 км,О,80 Ю-Ур (Р),814388,
 7116.,Ост. Пункт 48 км,О,80 Ю-Ур (Р),814710,
 7117.,Ост. Пункт 48 км,О,88 Крас (Р),889115,
 7118.,Ост. Пункт 48 км,О,89 89-я дорога,928818,
 7119.,Ост. Пункт 480 км,О,17 Моск (Р),204126,
 7120.,Ост. Пункт 481 км,О,01 Окт (Р),066718,
 7121.,Ост. Пункт 4811 км,О,92 В-Сиб (Р),922116,
 7122.,Ост. Пункт 482 км,О,17 Моск (Р),204713,
 7123.,Ост. Пункт 482 км,О,58 Ю-Вост (Р),597710,
 7124.,Ост. Пункт 4820 км,О,92 В-Сиб (Р),922219,
 7125.,Ост. Пункт 4824 км,О,92 В-Сиб (Р),922224,
 7126.,Ост. Пункт 483 км,О,01 Окт (Р),056330,
 7127.,Ост. Пункт 483 км,О,17 Моск (Р),204228,
 7128.,Ост. Пункт 4832 км,О,92 В-Сиб (Р),922313,
 7129.,Ост. Пункт 4847 км,О,92 В-Сиб (Р),922525,
 7130.,Ост. Пункт 485 км,О,83 З-Сиб (Р),843610,
 7131.,Ост. Пункт 4853 км,О,92 В-Сиб (Р),922510,
 7132.,Ост. Пункт 486 км,О,75 Трк,758145,
 7133.,Ост. Пункт 487 км,О,17 Моск (Р),217215,
 7134.,Ост. Пункт 4870 км,О,92 В-Сиб (Р),922629,
 7135.,Ост. Пункт 4882 км,О,92 В-Сиб (Р),922718,
 7136.,Ост. Пункт 489 км,О,01 Окт (Р),066667,
 7137.,Ост. Пункт 489 км,О,92 В-Сиб (Р),925557,
 7138.,Ост. Пункт 4899 км,О,92 В-Сиб (Р),922826,
 7139.,Ост. Пункт 49 км,О,17 Моск (Р),218542,
 7140.,Ост. Пункт 49 км,О,35 Льв (У),367130,
 7141.,Ост. Пункт 49 км,О,40 Од (У),401933,
 7142.,Ост. Пункт 49 км,О,48 Дон (У),493032,
 7143.,Ост. Пункт 49 км,О,58 Ю-Вост (Р),604261,
 7144.,Ост. Пункт 49 км,О,63 Кбш (Р),635679,
 7145.,Ост. Пункт 49 км,О,68 Кзх,713859,
 7146.,Ост. Пункт 49 км,О,73 Узбк,740714,
 7147.,Ост. Пункт 49 км,О,76 Сверд (Р),794610,
 7148.,Ост. Пункт 49 км,О,89 89-я дорога,898985,
 7149.,Ост. Пункт 49 км,О,89 89-я дорога,957933,
 7150.,Ост. Пункт 4909 км,О,92 В-Сиб (Р),922830,
 7151.,Ост. Пункт 491 км,О,17 Моск (Р),217225,
 7152.,Ост. Пункт 4921 км,О,92 В-Сиб (Р),923015,
 7153.,Ост. Пункт 4925 км,О,92 В-Сиб (Р),923029,
 7154.,Ост. Пункт 4926 км,О,92 В-Сиб (Р),923034,
 7155.,Ост. Пункт 495 км,О,48 Дон (У),494514,
 7156.,Ост. Пункт 495 км,О,89 89-я дорога,958616,
 7157.,Ост. Пункт 498 км,О,01 Окт (Р),056420,
 7158.,Ост. Пункт 499 км,О,28 Сев (Р),302259,
 7159.,Ост. Пункт 5 км,О,01 Окт (Р),030576,
 7160.,Ост. Пункт 5 км,О,17 Моск (Р),200017,
 7161.,Ост. Пункт 5 км,О,17 Моск (Р),216477,
 7162.,Ост. Пункт 5 км,О,32 Ю-Зап (У),335873,
 7163.,Ост. Пункт 5 км,О,43 Южн (У),431017,
 7164.,Ост. Пункт 5 км,Х,45 Придн (У),456832,
 7165.,Ост. Пункт 5 км,О,43 Южн (У),449735,
 7166.,Ост. Пункт 5 км,О,45 Придн (У),471137,
 7167.,Ост. Пункт 5 км,О,48 Дон (У),483223,
 7168.,Ост. Пункт 5 км,О,48 Дон (У),483632,
 7169.,Ост. Пункт 5 км,О,51 С-Кав (Р),521618,
 7170.,Ост. Пункт 5 км,О,61 Прив (Р),625554,
 7171.,Ост. Пункт 5 км,Х,63 Кбш (Р),646647,
 7172.,Ост. Пункт 5 км,О,75 Трк,751329,
 7173.,Ост. Пункт 5 км,О,80 Ю-Ур (Р),811924,
 7174.,Ост. Пункт 5 км,О,85 Крым (Р),867421,
 7175.,Ост. Пункт 5 км,О,94 Заб (Р),948116,
 7176.,Ост. Пункт 5 км,О,94 Заб (Р),950012,
 7177.,Ост. Пункт 5 км,О,89 89-я дорога,898928,
 7178.,Ост. Пункт 5 парк,О,35 Льв (У),374685,
 7179.,Ост. Пункт 50 км,О,01 Окт (Р),040510,
 7180.,Ост. Пункт 50 км,О,09 Лат,091828,
 7181.,Ост. Пункт 50 км,О,17 Моск (Р),201518,
 7182.,Ост. Пункт 50 км,О,17 Моск (Р),196911,
 7183.,Ост. Пункт 50 км,О,17 Моск (Р),208818,
 7184.,Ост. Пункт 50 км,О,76 Сверд (Р),776078,
 7185.,Ост. Пункт 500 км,О,01 Окт (Р),066648,
 7186.,Ост. Пункт 500 км,О,17 Моск (Р),217338,
 7187.,Ост. Пункт 500 км,О,88 Крас (Р),888555,
 7188.,Ост. Пункт 5010 км,О,92 В-Сиб (Р),930428,
 7189.,Ост. Пункт 502 км,О,63 Кбш (Р),640639,
 7190.,Ост. Пункт 503 км,О,17 Моск (Р),217319,
 7191.,Ост. Пункт 5068 км,О,92 В-Сиб (Р),931416,
 7192.,Ост. Пункт 507 км,О,17 Моск (Р),217323,
 7193.,Ост. Пункт 507 км,О,32 Ю-Зап (У),328812,
 7194.,Ост. Пункт 509 км,О,01 Окт (Р),025313,
 7195.,Ост. Пункт 509 км,О,58 Ю-Вост (Р),602321,
 7196.,Ост. Пункт 51 км,О,39 Млд,392819,
 7197.,Ост. Пункт 51 км,О,40 Од (У),417128,
 7198.,Ост. Пункт 51 км,О,43 Южн (У),428813,
 7199.,Ост. Пункт 51 км,Х,45 Придн (У),466410,
 7200.,Ост. Пункт 51 км,О,58 Ю-Вост (Р),594623,
 7201.,Ост. Пункт 51 км,О,73 Узбк,731927,
 7202.,Ост. Пункт 51 км,О,75 Трк,755122,
 7203.,Ост. Пункт 51 км,О,80 Ю-Ур (Р),812611,
 7204.,Ост. Пункт 51 км,О,83 З-Сиб (Р),871516,
 7205.,Ост. Пункт 513 км,О,58 Ю-Вост (Р),596629,
 7206.,Ост. Пункт 515 км,О,01 Окт (Р),056519,
 7207.,Ост. Пункт 515 км,О,32 Ю-Зап (У),328831,
 7208.,Ост. Пункт 517 км,О,17 Моск (Р),217412,
 7209.,Ост. Пункт 517 км,О,58 Ю-Вост (Р),596614,
 7210.,Ост. Пункт 519 км,О,58 Ю-Вост (Р),602444,
 7211.,Ост. Пункт 519 км,О,63 Кбш (Р),632830,
 7212.,Ост. Пункт 52 км,О,01 Окт (Р),045270,
 7213.,Ост. Пункт 52 км,О,17 Моск (Р),192713,
 7214.,Ост. Пункт 52 км,О,17 Моск (Р),194672,
 7215.,Ост. Пункт 52 км,О,32 Ю-Зап (У),349725,
 7216.,Ост. Пункт 52 км,О,43 Южн (У),445217,
 7217.,Ост. Пункт 52 км,О,48 Дон (У),493028,
 7218.,Ост. Пункт 52 км,О,51 С-Кав (Р),588637,
 7219.,Ост. Пункт 52 км,О,63 Кбш (Р),635683,
 7220.,Ост. Пункт 52 км,О,73 Узбк,733833,
 7221.,Ост. Пункт 52 км,О,76 Сверд (Р),773370,
 7222.,Ост. Пункт 52 км,О,80 Ю-Ур (Р),818092,
 7223.,Ост. Пункт 52 км,О,89 89-я дорога,957929,
 7224.,Ост. Пункт 520 км,О,58 Ю-Вост (Р),597918,
 7225.,Ост. Пункт 521 км,О,17 Моск (Р),217431,
 7226.,Ост. Пункт 525 км,О,09 Лат,113641,
 7227.,Ост. Пункт 525 км,О,17 Моск (Р),204925,
 7228.,Ост. Пункт 527 км,О,01 Окт (Р),056538,
 7229.,Ост. Пункт 527 км,О,58 Ю-Вост (Р),595626,
 7230.,Ост. Пункт 528 км,О,73 Узбк,737711,
 7231.,Ост. Пункт 529 км,О,58 Ю-Вост (Р),595630,
 7232.,Ост. Пункт 53 км,О,17 Моск (Р),200619,
 7233.,Ост. Пункт 53 км,О,17 Моск (Р),229180,
 7234.,Ост. Пункт 53 км,Х,40 Од (У),409028,
 7235.,Ост. Пункт 53 км,О,43 Южн (У),441714,
 7236.,Ост. Пункт 53 км,О,51 С-Кав (Р),512642,
 7237.,Ост. Пункт 53 км,О,51 С-Кав (Р),531018,
 7238.,Ост. Пункт 53 км,О,89 89-я дорога,898947,
 7239.,Ост. Пункт 533 км,О,58 Ю-Вост (Р),602425,
 7240.,Ост. Пункт 533 км,О,58 Ю-Вост (Р),598018,
 7241.,Ост. Пункт 536 км,О,17 Моск (Р),205097,
 7242.,Ост. Пункт 538 км,О,24 Горьк (Р),245022,
 7243.,Ост. Пункт 539 км,О,01 Окт (Р),056627,
 7244.,Ост. Пункт 539 км,О,58 Ю-Вост (Р),591633,
 7245.,Ост. Пункт 54 км,О,01 Окт (Р),037556,
 7246.,Ост. Пункт 54 км,О,17 Моск (Р),205330,
 7247.,Ост. Пункт 54 км,О,17 Моск (Р),218557,
 7248.,Ост. Пункт 54 км,О,28 Сев (Р),284328,
 7249.,Ост. Пункт 54 км,О,45 Придн (У),457917,
 7250.,Ост. Пункт 54 км,О,51 С-Кав (Р),515763,
 7251.,Ост. Пункт 54 км,О,51 С-Кав (Р),535019,
 7252.,Ост. Пункт 54 км,О,58 Ю-Вост (Р),604276,
 7253.,Ост. Пункт 54 км,О,63 Кбш (Р),644428,
 7254.,Ост. Пункт 54 км,О,63 Кбш (Р),647657,
 7255.,Ост. Пункт 54 км,О,63 Кбш (Р),641673,
 7256.,Ост. Пункт 54 км,О,76 Сверд (Р),771915,
 7257.,Ост. Пункт 54 км,О,80 Ю-Ур (Р),803576,
 7258.,Ост. Пункт 54 км,О,80 Ю-Ур (Р),812575,
 7259.,Ост. Пункт 542 км,О,58 Ю-Вост (Р),591644,
 7260.,Ост. Пункт 5422 км,О,92 В-Сиб (Р),934236,
 7261.,Ост. Пункт 543 км,О,17 Моск (Р),205129,
 7262.,Ост. Пункт 5451 км,О,92 В-Сиб (Р),934344,
 7263.,Ост. Пункт 547 км,О,58 Ю-Вост (Р),595429,
 7264.,Ост. Пункт 547 км,О,73 Узбк,737618,
 7265.,Ост. Пункт 5470 км,О,92 В-Сиб (Р),934522,
 7266.,Ост. Пункт 548 км,О,01 Окт (Р),056646,
 7267.,Ост. Пункт 55 км,О,01 Окт (Р),026513,
 7268.,Ост. Пункт 55 км,О,01 Окт (Р),054415,
 7269.,Ост. Пункт 55 км,О,01 Окт (Р),045251,
 7270.,Ост. Пункт 55 км,О,17 Моск (Р),194776,
 7271.,Ост. Пункт 55 км,О,58 Ю-Вост (Р),581214,
 7272.,Ост. Пункт 55 км,О,63 Кбш (Р),636559,
 7273.,Ост. Пункт 550 км,О,63 Кбш (Р),641063,
 7274.,Ост. Пункт 551 км,О,01 Окт (Р),056650,
 7275.,Ост. Пункт 552 км,О,17 Моск (Р),205148,
 7276.,Ост. Пункт 554 км,О,58 Ю-Вост (Р),595310,
 7277.,Ост. Пункт 554 км,О,58 Ю-Вост (Р),598111,
 7278.,Ост. Пункт 5560 км,О,92 В-Сиб (Р),934842,
 7279.,Ост. Пункт 557 км,О,17 Моск (Р),205152,
 7280.,Ост. Пункт 557 км,О,58 Ю-Вост (Р),602590,
 7281.,Ост. Пункт 559 км,О,01 Окт (Р),057761,
 7282.,Ост. Пункт 56 км,О,01 Окт (Р),063917,
 7283.,Ост. Пункт 56 км,О,17 Моск (Р),229195,
 7284.,Ост. Пункт 56 км,О,32 Ю-Зап (У),345894,
 7285.,Ост. Пункт 56 км,О,51 С-Кав (Р),535023,
 7286.,Ост. Пункт 56 км,О,58 Ю-Вост (Р),601719,
 7287.,Ост. Пункт 56 км,О,58 Ю-Вост (Р),605616,
 7288.,Ост. Пункт 56 км,О,73 Узбк,722025,
 7289.,Ост. Пункт 56 км,О,76 Сверд (Р),764812,
 7290.,Ост. Пункт 56 км,О,80 Ю-Ур (Р),814392,
 7291.,Ост. Пункт 56 км,О,80 Ю-Ур (Р),814848,
 7292.,Ост. Пункт 56 км,Х,83 З-Сиб (Р),844913,
 7293.,Ост. Пункт 560 км,О,32 Ю-Зап (У),328117,
 7294.,Ост. Пункт 562 км,О,01 Окт (Р),057742,
 7295.,Ост. Пункт 562 км,О,58 Ю-Вост (Р),595236,
 7296.,Ост. Пункт 563 км,О,17 Моск (Р),205843,
 7297.,Ост. Пункт 564 км,О,58 Ю-Вост (Р),602459,
 7298.,Ост. Пункт 564 км,О,58 Ю-Вост (Р),598130,
 7299.,Ост. Пункт 564 км,О,73 Узбк,737529,
 7300.,Ост. Пункт 565 км,О,17 Моск (Р),205819,
 7301.,Ост. Пункт 5652 км,О,92 В-Сиб (Р),935718,
 7302.,Ост. Пункт 5655 км,О,92 В-Сиб (Р),935756,
 7303.,Ост. Пункт 566 км,О,58 Ю-Вост (Р),602533,
 7304.,Ост. Пункт 567 км,О,63 Кбш (Р),641078,
 7305.,Ост. Пункт 5671 км,О,92 В-Сиб (Р),935811,
 7306.,Ост. Пункт 5674 км,О,92 В-Сиб (Р),935826,
 7307.,Ост. Пункт 5682 км,О,92 В-Сиб (Р),935915,
 7308.,Ост. Пункт 5685 км,О,92 В-Сиб (Р),935920,
 7309.,Ост. Пункт 5689 км,О,92 В-Сиб (Р),935949,
 7310.,Ост. Пункт 569 км,О,63 Кбш (Р),641059,
 7311.,Ост. Пункт 5691 км,О,92 В-Сиб (Р),935953,
 7312.,Ост. Пункт 5696 км,О,92 В-Сиб (Р),935968,
 7313.,Ост. Пункт 57 км,О,17 Моск (Р),189532,
 7314.,Ост. Пункт 57 км,О,58 Ю-Вост (Р),437954,
 7315.,Ост. Пункт 57 км,О,63 Кбш (Р),636563,
 7316.,Ост. Пункт 57 км,О,68 Кзх,713863,
 7317.,Ост. Пункт 5702 км,О,92 В-Сиб (Р),935972,
 7318.,Ост. Пункт 571 км,О,58 Ю-Вост (Р),595217,
 7319.,Ост. Пункт 5710 км,О,92 В-Сиб (Р),937874,
 7320.,Ост. Пункт 572 км,О,96 Д-Вост (Р),997911,
 7321.,Ост. Пункт 5720 км,О,92 В-Сиб (Р),936034,
 7322.,Ост. Пункт 5724 км,О,92 В-Сиб (Р),938010,
 7323.,Ост. Пункт 5726 км,О,92 В-Сиб (Р),936049,
 7324.,Ост. Пункт 5728 км,О,92 В-Сиб (Р),936053,
 7325.,Ост. Пункт 5736 км,О,92 В-Сиб (Р),936072,
 7326.,Ост. Пункт 574 км,О,58 Ю-Вост (Р),437314,
 7327.,Ост. Пункт 575 км,О,17 Моск (Р),205839,
 7328.,Ост. Пункт 5752 км,О,92 В-Сиб (Р),936123,
 7329.,Ост. Пункт 5755 км,О,92 В-Сиб (Р),936119,
 7330.,Ост. Пункт 5772 км,О,92 В-Сиб (Р),936212,
 7331.,Ост. Пункт 5777 км,О,92 В-Сиб (Р),936227,
 7332.,Ост. Пункт 5779 км,О,92 В-Сиб (Р),938326,
 7333.,Ост. Пункт 5796 км,О,92 В-Сиб (Р),936320,
 7334.,Ост. Пункт 58 км,О,01 Окт (Р),040531,
 7335.,Ост. Пункт 58 км,О,17 Моск (Р),205345,
 7336.,Ост. Пункт 58 км,О,35 Льв (У),350731,
 7337.,Ост. Пункт 58 км,О,48 Дон (У),502212,
 7338.,Ост. Пункт 58 км,О,51 С-Кав (Р),512638,
 7339.,Ост. Пункт 58 км,О,76 Сверд (Р),776114,
 7340.,Ост. Пункт 58 км,О,76 Сверд (Р),773385,
 7341.,Ост. Пункт 58 км,О,88 Крас (Р),894626,
 7342.,Ост. Пункт 58 км,О,84 84-я дорога,847413,
 7343.,Ост. Пункт 580 км,О,01 Окт (Р),057719,
 7344.,Ост. Пункт 581 км,О,92 В-Сиб (Р),925843,
 7345.,Ост. Пункт 582 км,О,58 Ю-Вост (Р),598412,
 7346.,Ост. Пункт 582 км,О,63 Кбш (Р),641114,
 7347.,Ост. Пункт 5824 км,О,92 В-Сиб (Р),936439,
 7348.,Ост. Пункт 583 км,О,58 Ю-Вост (Р),607113,
 7349.,Ост. Пункт 583 км,О,73 Узбк,737410,
 7350.,Ост. Пункт 584 км,О,17 Моск (Р),205913,
 7351.,Ост. Пункт 5841 км,О,94 Заб (Р),940538,
 7352.,Ост. Пункт 585 км,О,17 Моск (Р),206013,
 7353.,Ост. Пункт 5852 км,О,94 Заб (Р),940561,
 7354.,Ост. Пункт 586 км,О,58 Ю-Вост (Р),595128,
 7355.,Ост. Пункт 5872 км,О,92 В-Сиб (Р),936710,
 7356.,Ост. Пункт 59 км,О,43 Южн (У),445310,
 7357.,Ост. Пункт 59 км,О,51 С-Кав (Р),589112,
 7358.,Ост. Пункт 59 км,О,58 Ю-Вост (Р),605620,
 7359.,Ост. Пункт 59 км,О,73 Узбк,733829,
 7360.,Ост. Пункт 591 км,О,58 Ю-Вост (Р),595113,
 7361.,Ост. Пункт 5919 км,О,94 Заб (Р),940824,
 7362.,Ост. Пункт 5924 км,О,94 Заб (Р),940839,
 7363.,Ост. Пункт 5927 км,О,94 Заб (Р),940843,
 7364.,Ост. Пункт 5946 км,О,94 Заб (Р),940928,
 7365.,Ост. Пункт 595 км,О,58 Ю-Вост (Р),607221,
 7366.,Ост. Пункт 595 км,О,73 Узбк,737433,
 7367.,Ост. Пункт 598 км,О,58 Ю-Вост (Р),595132,
 7368.,Ост. Пункт 598 км,О,58 Ю-Вост (Р),598431,
 7369.,Ост. Пункт 6 км,О,01 Окт (Р),016314,
 7370.,Ост. Пункт 6 км,О,01 Окт (Р),030133,
 7371.,Ост. Пункт 6 км,О,01 Окт (Р),045425,
 7372.,Ост. Пункт 6 км,О,24 Горьк (Р),256510,
 7373.,Ост. Пункт 6 км,О,32 Ю-Зап (У),326227,
 7374.,Ост. Пункт 6 км,О,43 Южн (У),442115,
 7375.,Ост. Пункт 6 км,О,45 Придн (У),455825,
 7376.,Ост. Пункт 6 км,О,45 Придн (У),457110,
 7377.,Ост. Пункт 6 км,О,48 Дон (У),481117,
 7378.,Ост. Пункт 6 км,О,48 Дон (У),500611,
 7379.,Ост. Пункт 6 км,О,48 Дон (У),505653,
 7380.,Ост. Пункт 6 км,О,51 С-Кав (Р),587367,
 7381.,Ост. Пункт 6 км,О,58 Ю-Вост (Р),605648,
 7382.,Ост. Пункт 6 км,О,63 Кбш (Р),647553,
 7383.,Ост. Пункт 6 км,О,63 Кбш (Р),650081,
 7384.,Ост. Пункт 6 км,О,73 Узбк,723511,
 7385.,Ост. Пункт 6 км,О,76 Сверд (Р),766127,
 7386.,Ост. Пункт 6 км,О,76 Сверд (Р),767327,
 7387.,Ост. Пункт 6 км,О,76 Сверд (Р),765726,
 7388.,Ост. Пункт 6 км,О,76 Сверд (Р),770870,
 7389.,Ост. Пункт 6 км,О,80 Ю-Ур (Р),808118,
 7390.,Ост. Пункт 6 км,О,94 Заб (Р),941620,
 7391.,Ост. Пункт 6 км,О,94 Заб (Р),942139,
 7392.,Ост. Пункт 6 км,О,89 89-я дорога,959816,
 7393.,Ост. Пункт 6 км,О,84 84-я дорога,848312,
 7394.,Ост. Пункт 60 км,О,17 Моск (Р),205357,
 7395.,Ост. Пункт 60 км,О,17 Моск (Р),228934,
 7396.,Ост. Пункт 60 км,Х,45 Придн (У),466317,
 7397.,Ост. Пункт 60 км,О,51 С-Кав (Р),515759,
 7398.,Ост. Пункт 60 км,О,58 Ю-Вост (Р),583135,
 7399.,Ост. Пункт 60 км,О,51 С-Кав (Р),587738,
 7400.,Ост. Пункт 60 км,О,58 Ю-Вост (Р),601723,
 7401.,Ост. Пункт 60 км,О,63 Кбш (Р),636578,
 7402.,Ост. Пункт 60 км,О,63 Кбш (Р),653893,
 7403.,Ост. Пункт 60 км,О,73 Узбк,740945,
 7404.,Ост. Пункт 60 км,О,76 Сверд (Р),772217,
 7405.,Ост. Пункт 60 км,О,89 89-я дорога,897840,
 7406.,Ост. Пункт 600 км,О,58 Ю-Вост (Р),597212,
 7407.,Ост. Пункт 602 км,О,92 В-Сиб (Р),925858,
 7408.,Ост. Пункт 6020 км,О,94 Заб (Р),941234,
 7409.,Ост. Пункт 604 км,О,58 Ю-Вост (Р),597227,
 7410.,Ост. Пункт 6059 км,О,94 Заб (Р),941314,
 7411.,Ост. Пункт 606 км,О,73 Узбк,737317,
 7412.,Ост. Пункт 6069 км,О,94 Заб (Р),941329,
 7413.,Ост. Пункт 608 км,О,58 Ю-Вост (Р),598516,
 7414.,Ост. Пункт 6086 км,О,94 Заб (Р),941348,
 7415.,Ост. Пункт 609 км,О,58 Ю-Вост (Р),435111,
 7416.,Ост. Пункт 609 км,О,73 Узбк,737321,
 7417.,Ост. Пункт 61 км,О,01 Окт (Р),045618,
 7418.,Ост. Пункт 61 км,О,17 Моск (Р),236413,
 7419.,Ост. Пункт 61 км,О,43 Южн (У),428832,
 7420.,Ост. Пункт 61 км,О,45 Придн (У),467610,
 7421.,Ост. Пункт 61 км,О,48 Дон (У),506020,
 7422.,Ост. Пункт 61 км,О,51 С-Кав (Р),516215,
 7423.,Ост. Пункт 61 км,О,58 Ю-Вост (Р),604312,
 7424.,Ост. Пункт 61 км,О,73 Узбк,723013,
 7425.,Ост. Пункт 61 км,О,80 Ю-Ур (Р),812749,
 7426.,Ост. Пункт 61 км,О,84 84-я дорога,848524,
 7427.,Ост. Пункт 611 км,О,01 Окт (Р),066135,
 7428.,Ост. Пункт 6111 км,О,94 Заб (Р),941422,
 7429.,Ост. Пункт 612 км,О,01 Окт (Р),057649,
 7430.,Ост. Пункт 612 км,О,63 Кбш (Р),641256,
 7431.,Ост. Пункт 612 км,О,73 Узбк,737336,
 7432.,Ост. Пункт 6127 км,О,94 Заб (Р),941511,
