Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Грузинской ж.д. (код дороги 57),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 57-001 ""ГАНТИАДИ (ЭКСП.) - СЕНАКИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Гантиади (эксп.),до ст. Сенаки (эксп.),,,,,,,,,,,
 10.,578813 .,ОП Урбниси,  33  км ,  93  км ,,,,,,,,,,,
 11.,578902 .,Скра,  36  км ,  90  км ,,,,,,,,,,,
 12.,579002 .,Гори,  44  км ,  82  км ,,,,,,,,,,,
 13.,579036 .,Гори (эксп.),  44  км ,  82  км ,,,,,,,,,,,
 14.,579017 .,ОП Хидистави,  47  км ,  79  км ,,,,,,,,,,,
 15.,579500 .,Уплисцихе,  52  км ,  74  км ,,,,,,,,,,,
 16.,579515 .,ОП Квахврели,  54  км ,  72  км ,,,,,,,,,,,
 17.,579591 .,Гракали,  59  км ,  67  км ,,,,,,,,,,,
 18.,560896 .,ОП Метехи,  64  км ,  62  км ,,,,,,,,,,,
 19.,560805 .,Каспи,  72  км ,  54  км ,,,,,,,,,,,
 20.,560716 .,ОП Микелцкаро,  73  км ,  53  км ,,,,,,,,,,,
 21.,560701 .,Кавтисхеви (рзд),  77  км ,  49  км ,,,,,,,,,,,
 22.,560612 .,ОП Хандаки,  82  км ,  44  км ,,,,,,,,,,,
 23.,560627 .,ОП Платформа 2468 км,  85  км ,  41  км ,,,,,,,,,,,
 24.,560608 .,Ксани,  87  км ,  39  км ,,,,,,,,,,,
 25.,560631 .,Ксани (эксп.),  87  км ,  39  км ,,,,,,,,,,,
 26.,560519 .,ОП Шио-Мгвиме,  90  км ,  36  км ,,,,,,,,,,,
 27.,560504 .,Дзегви,  92  км ,  34  км ,,,,,,,,,,,
 28.,560523 .,Дзегви (эксп.),  92  км ,  34  км ,,,,,,,,,,,
 29.,560415 .,ОП Навтсадени,  95  км ,  31  км ,,,,,,,,,,,
 30.,560420 .,ОП Армази,  96  км ,  30  км ,,,,,,,,,,,
 31.,560400 .,Мцхета,  99  км ,  27  км ,,,,,,,,,,,
 32.,560326 .,ОП Карсани, 101  км ,  25  км ,,,,,,,,,,,
 33.,560311 .,Загэс, 106  км ,  20  км ,,,,,,,,,,,
 34.,560307 .,Авчала, 110  км ,  16  км ,,,,,,,,,,,
 35.,560330 .,Авчала (эксп.), 110  км ,  16  км ,,,,,,,,,,,
