Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов и пунктов, включенных в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,Место,Операции,,,,,,,,,,,,,,,
  198.,Темрюк,"§ 1, 7",,Азовское море,ОП,,,,,,,,,,,,,,,
  199.,"Темрюк ООО ""ЕвроТраст""",1,,Азовское море,ОП,,,,,,,,,,,,,,,
  200.,"Темрюк ООО ""ТСРЗ""",1,,Азовское море Затон Чирчик,ОП,,,,,,,,,,,,,,,
  201.,Темрюк ООО Темрюкмортранс,§ 7,-,Азовское море,ОП,,,,,,,,,,,,,,,
  202.,Териберка,"§ 2, 5, 6",,Баренцево море,ОП,,,,,,,,,,,,,,,
  203.,Термез,§ 2,Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  204.,Тикси,"§ 2, 4",,Море Лаптевых,ОП,,,,,,,,,,,,,,,
  205.,Тиличики,"§ 1, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  206.,Туапсе,"§ 1, 7",,Черное море,ОП,,,,,,,,,,,,,,,
  207.,Турткуль,"§ 3, 4, 5, 6",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  208.,Тюва-Губа,"§ 2, 5, 6",,Баренцево море,ОП,,,,,,,,,,,,,,,
  209.,Углегорск,"§ 2, 4, 7",,Японское море,ОП,,,,,,,,,,,,,,,
  210.,Умба,"§ 2, 4, 5, 6, 7",,Белое море,ОП,,,,,,,,,,,,,,,
  211.,Ура-Губа,"§ 2, 5, 6",,Баренцево море,ОП,,,,,,,,,,,,,,,
  212.,Усть-Дунайск,,ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  213.,Усть-Камчатск,"§ 2, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  214.,Усть-Луга,"§ 1, 7",,,,,,,,,,,,,,,,,,
,,* Перевалка только насыпных и навалочных грузов.,,,,,,,,,,,,,,,,,,
  215.,Устьевое,"§ 1, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  216.,Феодосия,§ 1,ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  217.,Хайлюля,"§ 1, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  218.,Хайрюзово,"§ 1, 4, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  219.,Хатанга,"§ 2, 4, 5, 6, 7",,Море Лаптевых,ОП,,,,,,,,,,,,,,,
  220.,Херсон,§ 1,ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  221.,Ходжейли,"§ 3, 4, 5, 6",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  222.,Холмск,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
  223.,Хоэ,"§ 2, 4, 5, 6",,Татарский пролив,ОП,,,,,,,,,,,,,,,
  224.,Чайво,"§ 2, 4, 5, 6",,Охотское море,ОП,,,,,,,,,,,,,,,
  225.,Чарджоу,"§ 3, 4",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  226.,Черноморск,"§ 1, 7",ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  227.,Шарлаук,"§ 3, 4",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  228.,Широкая Падь,"§ 2, 4, 5, 6",,Татарский пролив,ОП,,,,,,,,,,,,,,,
  229.,Эгвекинот,"§ 1, 4, 6, 7",,Берингово море,ОП,,,,,,,,,,,,,,,
  230.,Эллик-Кала,"§ 2, 4, 5, 6",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  231.,Южно-Курильск,"§ 2, 4, 5, 6, 7",,Охотское море,ОП,,,,,,,,,,,,,,,
  232.,Южный,"§ 1, 7",ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
  233.,Ялта,§ 3,ГАМРТУ,Черное море,ОП,,,,,,,,,,,,,,,
_____________________________________________________________________________________________,,,,,,,,,,,,,,,,,,,,
