Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Алфавитный список МОРСКИХ портов и пунктов, включенных в прямое смешанное железнодорожно-водное сообщение",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
№ п/п,Порт,Параграфы,Пароходство,Место,Операции,,,,,,,,,,,,,,,
  115.,Морской порт,1,,Азовское море,,,,,,,,,,,,,,,,
,"Ростов-на-Дону ООО ""Порт Эльдако""",,,,ОП,,,,,,,,,,,,,,,
  116.,Морской порт,1,,Азовское море,,,,,,,,,,,,,,,,
,"Ростов-на-Дону ООО ""СК ""Барк""",,,,ОП,,,,,,,,,,,,,,,
  117.,Москальво,"§ 1, 4, 5, 6, 7",,Охотское море,ОП,,,,,,,,,,,,,,,
  118.,Мроской порт Находка ООО,"§ 1, 7",-,Японское море,,,,,,,,,,,,,,,,
,Порт Ливадия,,,,ОП,,,,,,,,,,,,,,,
  119.,Мукры,"§ 2, 4, 5, 6",Среднеазиатское,р. Амударья,ОП,,,,,,,,,,,,,,,
  120.,Мурманск,"§ 1, 7",,Баренцево море,ОП,,,,,,,,,,,,,,,
  121.,Мыс Лазарева,"§ 2, 4, 5, 6, 7",,Татарский пролив,ОП,,,,,,,,,,,,,,,
  122.,Мыс Шмидта,"§ 1, 4, 5, 6, 7",,Чукотское море,ОП,,,,,,,,,,,,,,,
  123.,Набиль,"§ 2, 4, 5, 6, 7",,Охотское море,ОП,,,,,,,,,,,,,,,
  124.,Нарьян-Мар,"§ 1, 4, 7",,р. Печора,ОП,,,,,,,,,,,,,,,
  125.,Находка,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
  126.,Находка ООО Сухой порт,"§ 1, 7",-,Японское море,,,,,,,,,,,,,,,,
,Находка,,,,ОП,,,,,,,,,,,,,,,
  127.,Невельск,"§ 1, 7",,Японское море,ОП,,,,,,,,,,,,,,,
