Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Южной ж.д. (код дороги 43),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 43-001 ""ХАРЬКОВ-СОРТИРОВОЧНЫЙ - МЕРЕФА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Харьков-Сортировочный,до ст. Мерефа,,,,,,,,,,,
  7.,442539 .,Пост 146 км,  28  км ,  67  км ,,,,,,,,,,,
  8.,442524 .,ОП Козьминовка,  36  км ,  59  км ,,,,,,,,,,,
  9.,442519 .,ОП Ост. Пункт 136 км,  40  км ,  55  км ,,,,,,,,,,,
 10.,442505 .,Сахновщина,  48  км ,  47  км ,,,,,,,,,,,
 11.,442420 .,ОП Ост. Пункт 122 км,  55  км ,  40  км ,,,,,,,,,,,
 12.,442416 .,Пут. пост 116 км,  60  км ,  35  км ,,,,,,,,,,,
 13.,442401 .,Кегичевка,  68  км ,  27  км ,,,,,,,,,,,
 14.,442327 .,ОП Ост. Пункт 102 км,  74  км ,  21  км ,,,,,,,,,,,
 15.,442312 .,ОП Шляховой,  77  км ,  18  км ,,,,,,,,,,,
 16.,442308 .,Балки,  83  км ,  12  км ,,,,,,,,,,,
 17.,442331 .,ОП Ост. Пункт 96 км,  84  км ,  11  км ,,,,,,,,,,,
 18.,441632 .,ОП Почтовая,  85  км ,  10  км ,,,,,,,,,,,
 19.,441625 .,ОП Разживьевка,  87  км ,   8  км ,,,,,,,,,,,
 20.,441610 .,ОП Мир,  89  км ,   6  км ,,,,,,,,,,,
 21.,441606 .,Красноград,  95  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 43-008 ""КРАСНОГРАД - ПОЛТАВА-ЮЖНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Красноград,до ст. Полтава-Южная,,,,,,,,,,,
  1.,441606 .,Красноград,   0  км ,  81  км ,,,,,,,,,,,
  2.,441555 .,ОП Федючково,   3  км ,  78  км ,,,,,,,,,,,
  3.,441540 .,ОП Степной,   5  км ,  76  км ,,,,,,,,,,,
  4.,441536 .,Пут. пост 74 км,   8  км ,  73  км ,,,,,,,,,,,
  5.,441521 .,ОП Коржиха,  10  км ,  71  км ,,,,,,,,,,,
  6.,441517 .,ОП Котляровка,  14  км ,  67  км ,,,,,,,,,,,
  7.,441502 .,Ланная,  17  км ,  64  км ,,,,,,,,,,,
  8.,441413 .,Орчик (ПП),  25  км ,  56  км ,,,,,,,,,,,
  9.,441409 .,Карловка,  34  км ,  47  км ,,,,,,,,,,,
 10.,441339 .,ОП Магистральная,  37  км ,  44  км ,,,,,,,,,,,
 11.,441377 .,Путевой пост 43 км,  38  км ,  43  км ,,,,,,,,,,,
 12.,441324 .,ОП Сухой,  44  км ,  37  км ,,,,,,,,,,,
 13.,441362 .,ОП Ост. Пункт 34 км,  47  км ,  34  км ,,,,,,,,,,,
 14.,441313 .,ОП Тагамлык,  52  км ,  29  км ,,,,,,,,,,,
 15.,441343 .,ОП Ост. Пункт 32 км,  54  км ,  27  км ,,,,,,,,,,,
 16.,441305 .,Селещина,  58  км ,  23  км ,,,,,,,,,,,
 17.,441358 .,ОП Платформа 18 км,  63  км ,  18  км ,,,,,,,,,,,
 18.,448770 .,ОП Пашковка,  64  км ,  17  км ,,,,,,,,,,,
 19.,448766 .,ОП Миновка,  68  км ,  13  км ,,,,,,,,,,,
 20.,448751 .,ОП Кашубовка,  70  км ,  11  км ,,,,,,,,,,,
 21.,448747 .,ОП Никольское,  73  км ,   8  км ,,,,,,,,,,,
 22.,448732 .,ОП Копылы,  76  км ,   5  км ,,,,,,,,,,,
 23.,448728 .,ОП Ост. Пункт 3 км,  78  км ,   3  км ,,,,,,,,,,,
 24.,448713 .,ОП Ворскла,  79  км ,   2  км ,,,,,,,,,,,
 25.,448709 .,Полтава-Южная,  81  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 43-009 ""ПОЛТАВА-ЮЖНАЯ - РОМОДАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Полтава-Южная,до ст. Ромодан,,,,,,,,,,,
