Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Октябрьской ж.д. (код дороги 01),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 01-011 ""ОБУХОВО - ЧУДОВО-МОСКОВСКОЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Обухово,до ст. Чудово-Московское,,,,,,,,,,,
  4.,061146 .,ОП Донховка,  24  км ,  12  км ,,,,,,,,,,,
  5.,061201 .,Конаково ГРЭС,  36  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 01-021 ""УГЛОВКА - БОРОВИЧИ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Угловка,до ст. Окуловка,до ст. Бологое-Московское,,,,,,,,,,
  1.,053309 .,Угловка,   0  км ,  20  км ,  50  км ,,,,,,,,,,
  2.,053313 .,ОП Корсаковская,  10  км ,  30  км ,  60  км ,,,,,,,,,,
  3.,053436 .,ОП Травково,  16  км ,  36  км ,  66  км ,,,,,,,,,,
  4.,053417 .,ОП Никитинская,  18  км ,  38  км ,  68  км ,,,,,,,,,,
  5.,053421 .,ОП Марково,  22  км ,  42  км ,  72  км ,,,,,,,,,,
  6.,053506 .,Боровичи,  30  км ,  50  км ,  80  км ,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 01-022 ""ГОРЫ - ОБУХОВО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Горы,до ст. Обухово,,,,,,,,,,,
  1.,030222 .,Горы,   0  км ,  32  км ,,,,,,,,,,,
  2.,030608 .,Пелла,   7  км ,  25  км ,,,,,,,,,,,
  3.,030612 .,ОП Ивановская,  10  км ,  22  км ,,,,,,,,,,,
  4.,030627 .,ОП Усть-Тосненская,  14  км ,  18  км ,,,,,,,,,,,
  5.,030701 .,Саперная,  16  км ,  16  км ,,,,,,,,,,,
  6.,030716 .,ОП Понтонная,  20  км ,  12  км ,,,,,,,,,,,
  7.,030805 .,Ижоры,  23  км ,   9  км ,,,,,,,,,,,
  8.,030909 .,Рыбацкое,  28  км ,   4  км ,,,,,,,,,,,
  9.,031009 .,Обухово,  32  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 12) участок 01-023 ""МГА - ВОЛХОВСТРОЙ I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Мга,до ст. Волховстрой I,,,,,,,,,,,
  1.,030203 .,Мга,   0  км ,  72  км ,,,,,,,,,,,
  2.,048480 .,ОП Михайловская,   6  км ,  66  км ,,,,,,,,,,,
  3.,048476 .,ОП Апраксин,   9  км ,  63  км ,,,,,,,,,,,
  4.,048461 .,ОП Русановская,  13  км ,  59  км ,,,,,,,,,,,
  5.,048457 .,ОП Ост. Пункт 63 км,  14  км ,  58  км ,,,,,,,,,,,
  6.,048442 .,Назия,  19  км ,  53  км ,,,,,,,,,,,
  7.,048438 .,ОП Поляны,  23  км ,  49  км ,,,,,,,,,,,
  8.,048423 .,ОП Прыжково,  26  км ,  46  км ,,,,,,,,,,,
  9.,048419 .,ОП Алексеевка,  28  км ,  44  км ,,,,,,,,,,,
 10.,048404 .,Жихарево,  32  км ,  40  км ,,,,,,,,,,,
 11.,048211 .,ОП Плитняки,  35  км ,  37  км ,,,,,,,,,,,
 12.,048207 .,Войбокало,  43  км ,  29  км ,,,,,,,,,,,
 13.,048118 .,ОП Ост. Пункт 95 км,  46  км ,  26  км ,,,,,,,,,,,
 14.,048122 .,Новый Быт,  52  км ,  20  км ,,,,,,,,,,,
 15.,040046 .,ОП Пурово,  57  км ,  15  км ,,,,,,,,,,,
 16.,040031 .,Пупышево,  61  км ,  11  км ,,,,,,,,,,,
 17.,040027 .,ОП Козарево,  66  км ,   6  км ,,,,,,,,,,,
 18.,040050 .,Блокпост 116 км,  67  км ,   5  км ,,,,,,,,,,,
 19.,040012 .,ОП Жарово,  70  км ,   2  км ,,,,,,,,,,,
