Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Северо-Кавказской ж.д. (код дороги 51),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 51-001 ""ЗВЕРЕВО - ГОРНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Зверево,до ст. Горная,,,,,,,,,,,
  9.,514147 .,ОП Ост. Пункт 1376 км,  21  км , 110  км ,,,,,,,,,,,
 10.,514205 .,Каяла,  26  км , 105  км ,,,,,,,,,,,
 11.,514213 .,ОП Ост. Пункт 1386 км,  31  км , 100  км ,,,,,,,,,,,
 12.,514224 .,ОП Ост. Пункт 1388 км,  33  км ,  98  км ,,,,,,,,,,,
 13.,514239 .,Мечетный (обп),  39  км ,  92  км ,,,,,,,,,,,
 14.,514243 .,ОП Звёздочка,  46  км ,  85  км ,,,,,,,,,,,
 15.,514309 .,Степная,  51  км ,  80  км ,,,,,,,,,,,
 16.,514313 .,ОП Ост. Пункт 1411 км,  56  км ,  75  км ,,,,,,,,,,,
 17.,514328 .,ОП Ост. Пункт 1412 км,  57  км ,  74  км ,,,,,,,,,,,
 18.,514332 .,Конелово (обп),  61  км ,  70  км ,,,,,,,,,,,
 19.,514347 .,ОП Картушина Балка,  67  км ,  64  км ,,,,,,,,,,,
 20.,514402 .,Кущевка,  73  км ,  58  км ,,,,,,,,,,,
 21.,514510 .,Кавалерский,  82  км ,  49  км ,,,,,,,,,,,
 22.,514609 .,Кисляковка,  92  км ,  39  км ,,,,,,,,,,,
 23.,514614 .,ОП Ост. Пункт 1454 км,  99  км ,  32  км ,,,,,,,,,,,
 24.,514629 .,ОП Ост. Пункт 1459 км, 104  км ,  27  км ,,,,,,,,,,,
 25.,514703 .,Крыловская, 113  км ,  18  км ,,,,,,,,,,,
 26.,514718 .,ОП Весёлая Жизнь, 120  км ,  11  км ,,,,,,,,,,,
 27.,514722 .,ОП Ост. Пункт 1477 км, 123  км ,   8  км ,,,,,,,,,,,
 28.,514737 .,ОП Водяная, 128  км ,   3  км ,,,,,,,,,,,
 29.,514807 .,Сосыка-Ростовская, 131  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 14) участок 51-014 ""СОСЫКА-РОСТОВСКАЯ - ТИХОРЕЦКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сосыка-Ростовская,до ст. Тихорецкая,,,,,,,,,,,
  1.,514807 .,Сосыка-Ростовская,   0  км ,  38  км ,,,,,,,,,,,
  2.,514811 .,ОП Ост. Пункт 1490 км,   6  км ,  32  км ,,,,,,,,,,,
  3.,514826 .,Очеретоватый (обп),   7  км ,  31  км ,,,,,,,,,,,
  4.,514830 .,ОП Ост. Пункт 1498 км,  14  км ,  24  км ,,,,,,,,,,,
  5.,514845 .,ОП Первомайский-I,  17  км ,  21  км ,,,,,,,,,,,
  6.,515034 .,Леушковская,  18  км ,  20  км ,,,,,,,,,,,
  7.,515015 .,ОП Ост. Пункт 1507 км,  23  км ,  15  км ,,,,,,,,,,,
  8.,515023 .,ОП Новорождественское,  27  км ,  11  км ,,,,,,,,,,,
  9.,515104 .,Тихонький (обп),  28  км ,  10  км ,,,,,,,,,,,
 10.,520136 .,ОП Фастовецкое,  31  км ,   7  км ,,,,,,,,,,,
 11.,520121 .,ОП Обходный,  33  км ,   5  км ,,,,,,,,,,,
 12.,520117 .,Пост 1522 км,  36  км ,   2  км ,,,,,,,,,,,
 13.,520102 .,Тихорецкая,  38  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 15) участок 51-015 ""ТИХОРЕЦКАЯ - КАВКАЗСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Тихорецкая,до ст. Кавказская,,,,,,,,,,,
  1.,520102 .,Тихорецкая,   0  км ,  62  км ,,,,,,,,,,,
  2.,520371 .,ОП Алексеевское,   4  км ,  58  км ,,,,,,,,,,,
  3.,520367 .,ОП Ост. Пункт 1531 км,   7  км ,  55  км ,,,,,,,,,,,
  4.,520352 .,ОП Парковское,   8  км ,  54  км ,,,,,,,,,,,
  5.,520348 .,Шохры (обп),  10  км ,  52  км ,,,,,,,,,,,
  6.,520333 .,ОП Юго-Северная,  13  км ,  49  км ,,,,,,,,,,,
  7.,520329 .,ОП Красный Партизан,  16  км ,  46  км ,,,,,,,,,,,
  8.,520314 .,ОП Борисовка,  19  км ,  43  км ,,,,,,,,,,,
  9.,520308 .,Малороссийская,  23  км ,  39  км ,,,,,,,,,,,
 10.,520422 .,ОП Бекешевский,  31  км ,  31  км ,,,,,,,,,,,
 11.,520418 .,ОП Ост. Пункт 1561 км,  37  км ,  25  км ,,,,,,,,,,,
 12.,520403 .,Мирская,  43  км ,  19  км ,,,,,,,,,,,
 13.,520032 .,ОП Ост. Пункт 1571 км,  47  км ,  15  км ,,,,,,,,,,,
 14.,520028 .,ОП Ост. Пункт 1576 км,  52  км ,  10  км ,,,,,,,,,,,
 15.,520013 .,ОП Рогачевский,  53  км ,   9  км ,,,,,,,,,,,
 16.,520009 .,Кавказская,  62  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 16) участок 51-016 ""КАВКАЗСКАЯ - АРМАВИР-РОСТОВСКИЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кавказская,до ст. Армавир-Ростовский,,,,,,,,,,,
  1.,520009 .,Кавказская,   0  км ,  66  км ,,,,,,,,,,,
  2.,529501 .,Гирей,   8  км ,  58  км ,,,,,,,,,,,
  3.,529605 .,Гулькевичи,  14  км ,  52  км ,,,,,,,,,,,
  4.,529611 .,ОП Ост. Пункт 1605 км,  20  км ,  46  км ,,,,,,,,,,,
  5.,529624 .,ОП Дорожков,  24  км ,  42  км ,,,,,,,,,,,
  6.,529639 .,ОП Старомавринский,  27  км ,  39  км ,,,,,,,,,,,
  7.,529709 .,Отрадо-Кубанская,  31  км ,  35  км ,,,,,,,,,,,
  8.,529713 .,ОП Комсомольский,  36  км ,  30  км ,,,,,,,,,,,
  9.,529728 .,ОП Коцебу,  39  км ,  27  км ,,,,,,,,,,,
 10.,529732 .,ОП Борвинок,  42  км ,  24  км ,,,,,,,,,,,
 11.,529802 .,Кубанская,  48  км ,  18  км ,,,,,,,,,,,
 12.,529817 .,ОП Прочноокопский,  52  км ,  14  км ,,,,,,,,,,,
 13.,529821 .,ОП Ост. Пункт 302 км,  61  км ,   5  км ,,,,,,,,,,,
 14.,530208 .,Армавир-Ростовский,  66  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 17) участок 51-017 ""АРМАВИР-РОСТОВСКИЙ - ЗЕЛЕНЧУК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Армавир-Ростовский,до ст. Зеленчук,,,,,,,,,,,
  1.,530208 .,Армавир-Ростовский,   0  км ,  77  км ,,,,,,,,,,,
  2.,530212 .,ОП Вольное,   9  км ,  68  км ,,,,,,,,,,,
  3.,530227 .,Вольный (обп),  12  км ,  65  км ,,,,,,,,,,,
  4.,530231 .,ОП Ост. Пункт 1669 км,  17  км ,  60  км ,,,,,,,,,,,
  5.,530405 .,Коноково,  24  км ,  53  км ,,,,,,,,,,,
  6.,530413 .,ОП Успенское,  28  км ,  49  км ,,,,,,,,,,,
  7.,530424 .,ОП Кургоковский,  36  км ,  41  км ,,,,,,,,,,,
  8.,530439 .,ОП Мичуринский,  38  км ,  39  км ,,,,,,,,,,,
  9.,530443 .,ОП Ост. Пункт 1695 км,  43  км ,  34  км ,,,,,,,,,,,
 10.,530509 .,Овечка,  48  км ,  29  км ,,,,,,,,,,,
 11.,530513 .,ОП Ост. Пункт 1704 км,  52  км ,  25  км ,,,,,,,,,,,
 12.,530528 .,ОП Нескучный,  59  км ,  18  км ,,,,,,,,,,,
 13.,530532 .,ОП Ост. Пункт 1717 км,  65  км ,  12  км ,,,,,,,,,,,
 14.,530602 .,Богословская,  67  км ,  10  км ,,,,,,,,,,,
 15.,530617 .,ОП Ост. Пункт 1724 км,  72  км ,   5  км ,,,,,,,,,,,
 16.,530706 .,Зеленчук,  77  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 18) участок 51-018 ""ЗЕЛЕНЧУК - МИНЕРАЛЬНЫЕ ВОДЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Зеленчук,до ст. Минеральные Воды,,,,,,,,,,,
  1.,530706 .,Зеленчук,   0  км , 111  км ,,,,,,,,,,,
  2.,531304 .,Невинномысская,   4  км , 107  км ,,,,,,,,,,,
  3.,531319 .,ОП Нива,   9  км , 102  км ,,,,,,,,,,,
  4.,531323 .,ОП Ост. Пункт 1738 км,  10  км , 101  км ,,,,,,,,,,,
  5.,531338 .,ОП Барсучковский,  13  км ,  98  км ,,,,,,,,,,,
  6.,531342 .,ОП Дворцовый,  15  км ,  96  км ,,,,,,,,,,,
  7.,531357 .,ОП Кочубеевский,  21  км ,  90  км ,,,,,,,,,,,
  8.,531361 .,ОП Ост. Пункт 1752 км,  24  км ,  87  км ,,,,,,,,,,,
  9.,531376 .,Киан (обп),  25  км ,  86  км ,,,,,,,,,,,
 10.,531380 .,ОП Пионер,  31  км ,  80  км ,,,,,,,,,,,
 11.,531446 .,ОП Ост. Пункт 1764 км,  36  км ,  75  км ,,,,,,,,,,,
 12.,531431 .,Водораздел (обп),  39  км ,  72  км ,,,,,,,,,,,
 13.,531427 .,ОП Ост. Пункт 1774 км,  46  км ,  65  км ,,,,,,,,,,,
 14.,531412 .,ОП Суркуль,  50  км ,  61  км ,,,,,,,,,,,
 15.,531408 .,Курсавка,  52  км ,  59  км ,,,,,,,,,,,
 16.,531450 .,ОП Андроповский,  56  км ,  55  км ,,,,,,,,,,,
 17.,531465 .,ОП Куршава,  59  км ,  52  км ,,,,,,,,,,,
 18.,531476 .,ОП Крым-Гиреево,  61  км ,  50  км ,,,,,,,,,,,
 19.,531484 .,ОП Ост. Пункт 1796 км,  69  км ,  42  км ,,,,,,,,,,,
 20.,531501 .,Нагутская,  71  км ,  40  км ,,,,,,,,,,,
 21.,531516 .,ОП Перевальный,  79  км ,  32  км ,,,,,,,,,,,
 22.,531520 .,ОП Орбельяново,  82  км ,  29  км ,,,,,,,,,,,
 23.,531535 .,ОП Широкий,  86  км ,  25  км ,,,,,,,,,,,
 24.,531605 .,Суворовская,  90  км ,  21  км ,,,,,,,,,,,
 25.,531619 .,ОП Ульяновка,  95  км ,  16  км ,,,,,,,,,,,
 26.,531624 .,Кумагорск (обп), 100  км ,  11  км ,,,,,,,,,,,
 27.,531639 .,ОП Путепровод, 105  км ,   6  км ,,,,,,,,,,,
 28.,530000 .,Минеральные Воды, 111  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 19) участок 51-019 ""МИНЕРАЛЬНЫЕ ВОДЫ - ГЕОРГИЕВСК"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Минеральные Воды,до ст. Георгиевск,,,,,,,,,,,
  1.,530000 .,Минеральные Воды,   0  км ,  29  км ,,,,,,,,,,,
  2.,530015 .,ОП Джемуха,   5  км ,  24  км ,,,,,,,,,,,
  3.,530028 .,ОП Ост. Пункт 1846 км,   7  км ,  22  км ,,,,,,,,,,,
  4.,530034 .,Дебри (обп),  11  км ,  18  км ,,,,,,,,,,,
  5.,530049 .,ОП Терский,  15  км ,  14  км ,,,,,,,,,,,
  6.,536204 .,Виноградная,  19  км ,  10  км ,,,,,,,,,,,
  7.,536219 .,ОП Красная,  25  км ,   4  км ,,,,,,,,,,,
  8.,536308 .,Георгиевск,  29  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 20) участок 51-020 ""ГЕОРГИЕВСК - ПРОХЛАДНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Георгиевск,до ст. Прохладная,,,,,,,,,,,
  1.,536308 .,Георгиевск,   0  км ,  68  км ,,,,,,,,,,,
  2.,536312 .,ОП Теплая Речка,   5  км ,  63  км ,,,,,,,,,,,
  3.,536327 .,ОП Этока,  11  км ,  57  км ,,,,,,,,,,,
  4.,537207 .,Зольский,  19  км ,  49  км ,,,,,,,,,,,
  5.,537300 .,Аполлонская,  28  км ,  40  км ,,,,,,,,,,,
  6.,537315 .,ОП Неволька,  41  км ,  27  км ,,,,,,,,,,,
  7.,537423 .,Солдатская,  48  км ,  20  км ,,,,,,,,,,,
  8.,537419 .,ОП Ост. Пункт 1925 км,  57  км ,  11  км ,,,,,,,,,,,
  9.,537508 .,Шарданово,  59  км ,   9  км ,,,,,,,,,,,
 10.,537601 .,Прохладная,  68  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 21) участок 51-021 ""ПРОХЛАДНАЯ - ЧЕРВЛЕННАЯ-УЗЛОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Прохладная,до ст. Червленная-Узловая,,,,,,,,,,,
  1.,537601 .,Прохладная,   0  км , 166  км ,,,,,,,,,,,
  2.,537616 .,Приближний (обп),   9  км , 157  км ,,,,,,,,,,,
  3.,537620 .,ОП Екатериноградский,  17  км , 149  км ,,,,,,,,,,,
  4.,539132 .,Черноярская,  26  км , 140  км ,,,,,,,,,,,
  5.,539113 .,ОП Павлодольский,  33  км , 133  км ,,,,,,,,,,,
  6.,539202 .,Луковский,  43  км , 123  км ,,,,,,,,,,,
  7.,539306 .,Моздок,  50  км , 116  км ,,,,,,,,,,,
  8.,539408 .,Осетиновский,  60  км , 106  км ,,,,,,,,,,,
  9.,539414 .,Стодеревская (обп),  68  км ,  98  км ,,,,,,,,,,,
