Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Западно-Сибирской ж.д. (код дороги 83),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 83-001 ""НАЗЫВАЕВСКАЯ - КАРБЫШЕВО I"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Называевская,до ст. Карбышево I,,,,,,,,,,,
 10.,833444 .,ОП Ост. Пункт 2966 км,  86  км , 355  км ,,,,,,,,,,,
 11.,833590 .,Тебисская,  99  км , 342  км ,,,,,,,,,,,
 12.,833533 .,ОП Мошкарь, 118  км , 323  км ,,,,,,,,,,,
 13.,833552 .,Кирзинское (обп), 130  км , 311  км ,,,,,,,,,,,
 14.,833567 .,ОП Ост. Пункт 3017 км, 137  км , 304  км ,,,,,,,,,,,
 15.,833603 .,Барабинск, 155  км , 286  км ,,,,,,,,,,,
 16.,833622 .,ОП Новогутово, 167  км , 274  км ,,,,,,,,,,,
 17.,833656 .,Труновское (обп), 181  км , 260  км ,,,,,,,,,,,
 18.,833961 .,Кожурла, 199  км , 242  км ,,,,,,,,,,,
 19.,833923 .,ОП Клубничная, 218  км , 223  км ,,,,,,,,,,,
 20.,834004 .,Убинская, 239  км , 202  км ,,,,,,,,,,,
 21.,834019 .,ОП Орловка, 245  км , 196  км ,,,,,,,,,,,
 22.,834023 .,ОП Каяк, 250  км , 191  км ,,,,,,,,,,,
 23.,834042 .,ОП Груздевка, 262  км , 179  км ,,,,,,,,,,,
 24.,834061 .,ОП Лебедевский, 271  км , 170  км ,,,,,,,,,,,
 25.,834108 .,Каргат, 280  км , 161  км ,,,,,,,,,,,
 26.,834112 .,ОП Капралово, 292  км , 149  км ,,,,,,,,,,,
 27.,834235 .,Кокошино, 303  км , 138  км ,,,,,,,,,,,
 28.,834220 .,ОП Секты, 316  км , 125  км ,,,,,,,,,,,
 29.,852106 .,Чулымская, 326  км , 115  км ,,,,,,,,,,,
 30.,852125 .,ОП Кабинетное, 348  км ,  93  км ,,,,,,,,,,,
 31.,852134 .,ОП Тихомирово, 357  км ,  84  км ,,,,,,,,,,,
 32.,852144 .,ОП Рямок, 365  км ,  76  км ,,,,,,,,,,,
 33.,852159 .,Дупленская (обп), 369  км ,  72  км ,,,,,,,,,,,
 34.,852163 .,ОП Оеш, 380  км ,  61  км ,,,,,,,,,,,
 35.,852233 .,ОП Берёзка, 386  км ,  55  км ,,,,,,,,,,,
 36.,852178 .,ОП Лесная Поляна, 390  км ,  51  км ,,,,,,,,,,,
 37.,852182 .,ОП Жаворонок, 395  км ,  46  км ,,,,,,,,,,,
 38.,852229 .,ОП Бармашево, 399  км ,  42  км ,,,,,,,,,,,
 39.,852200 .,Коченево, 408  км ,  33  км ,,,,,,,,,,,
 40.,852248 .,ОП Светлый, 412  км ,  29  км ,,,,,,,,,,,
 41.,852214 .,ОП Виктория, 415  км ,  26  км ,,,,,,,,,,,
 42.,852303 .,Чик, 423  км ,  18  км ,,,,,,,,,,,
 43.,850168 .,ОП ПЛП, 429  км ,  12  км ,,,,,,,,,,,
 44.,850153 .,ОП Сады, 433  км ,   8  км ,,,,,,,,,,,
 45.,850149 .,ОП Павино, 435  км ,   6  км ,,,,,,,,,,,
 46.,850134 .,ОП Аэрофлот, 438  км ,   3  км ,,,,,,,,,,,
 47.,850100 .,Обь, 441  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 83-005 ""ОБЬ - НОВОСИБИРСК-ГЛАВНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Обь,до ст. Новосибирск-Главный,,,,,,,,,,,
  1.,850100 .,Обь,   0  км ,  17  км ,,,,,,,,,,,
  2.,850115 .,ОП Ипподром,   6  км ,  11  км ,,,,,,,,,,,
  3.,850129 .,ОП Западная Площадка,   7  км ,  10  км ,,,,,,,,,,,
  4.,851207 .,Новосибирск-Западный,   9  км ,   8  км ,,,,,,,,,,,
  5.,851300 .,Новосибирск-Западный (перев.),   9  км ,   8  км ,,,,,,,,,,,
  6.,850632 .,ОП Жилмассив,  11  км ,   6  км ,,,,,,,,,,,
  7.,850628 .,ОП Левая Обь,  13  км ,   4  км ,,,,,,,,,,,
  8.,850670 .,Обская (обп),  14  км ,   3  км ,,,,,,,,,,,
  9.,850613 .,ОП Правая Обь,  15  км ,   2  км ,,,,,,,,,,,
 10.,850609 .,Новосибирск-Главный,  17  км ,   0  км ,,,,,,,,,,,
 11.,851005 .,Новосибирск-Главный (перев.),  17  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 83-006 ""НОВОСИБИРСК-ГЛАВНЫЙ - СОКУР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Новосибирск-Главный,до ст. Сокур,,,,,,,,,,,
  1.,850609 .,Новосибирск-Главный,   0  км ,  36  км ,,,,,,,,,,,
  2.,850647 .,ОП Гагаринская,   3  км ,  33  км ,,,,,,,,,,,
  3.,851508 .,Новосибирск-Восточный,   7  км ,  29  км ,,,,,,,,,,,
  4.,851601 .,Иня-Восточная,  13  км ,  23  км ,,,,,,,,,,,
  5.,851616 .,ОП Юбилейная,  20  км ,  16  км ,,,,,,,,,,,
  6.,851620 .,Мочище,  22  км ,  14  км ,,,,,,,,,,,
  7.,851635 .,ОП Раздолье,  27  км ,   9  км ,,,,,,,,,,,
  8.,851643 .,ОП Барлак,  28  км ,   8  км ,,,,,,,,,,,
  9.,851809 .,Сокур,  36  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 83-007 ""ОБЬ - ИНСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Обь,до ст. Инская,,,,,,,,,,,
  1.,850100 .,Обь,   0  км ,  27  км ,,,,,,,,,,,
  2.,850191 .,ОП Пригородный Простор,   3  км ,  24  км ,,,,,,,,,,,
  3.,850204 .,Клещиха,   7  км ,  20  км ,,,,,,,,,,,
  4.,850219 .,ОП Ост. Пункт 13 км,  12  км ,  15  км ,,,,,,,,,,,
  5.,850308 .,Чемской,  17  км ,  10  км ,,,,,,,,,,,
  6.,850007 .,Инская,  27  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 83-008 ""НОВОСИБИРСК-ГЛАВНЫЙ - ИНСКАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Новосибирск-Главный,до ст. Инская,,,,,,,,,,,
  1.,850609 .,Новосибирск-Главный,   0  км ,  18  км ,,,,,,,,,,,
  2.,850514 .,ОП Центр,   2  км ,  16  км ,,,,,,,,,,,
  3.,850524 .,ОП Речной Вокзал,   5  км ,  13  км ,,,,,,,,,,,
  4.,850505 .,Новосибирск-Южный,   6  км ,  12  км ,,,,,,,,,,,
  5.,850052 .,ОП Инструментальный,   8  км ,  10  км ,,,,,,,,,,,
  6.,850045 .,ОП Камышенская,   9  км ,   9  км ,,,,,,,,,,,
  7.,850030 .,Иня (рзд),  12  км ,   6  км ,,,,,,,,,,,
  8.,850026 .,ОП Новогодняя,  15  км ,   3  км ,,,,,,,,,,,
  9.,850011 .,ОП Первомайская,  16  км ,   2  км ,,,,,,,,,,,
 10.,850007 .,Инская,  18  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 83-009 ""ИНСКАЯ - СОКУР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Инская,до ст. Сокур,,,,,,,,,,,
  1.,850007 .,Инская,   0  км ,  39  км ,,,,,,,,,,,
  2.,852068 .,Издревая (обп),   8  км ,  31  км ,,,,,,,,,,,
  3.,852055 .,ОП Учебный,  11  км ,  28  км ,,,,,,,,,,,
  4.,852040 .,ОП Дубрава,  14  км ,  25  км ,,,,,,,,,,,
  5.,852036 .,ОП Комаровка,  17  км ,  22  км ,,,,,,,,,,,
  6.,852021 .,ОП Гусиный Брод,  21  км ,  18  км ,,,,,,,,,,,
  7.,852017 .,ОП Новолуговская,  23  км ,  16  км ,,,,,,,,,,,
  8.,852002 .,Жеребцово,  25  км ,  14  км ,,,,,,,,,,,
  9.,851993 .,ОП Школа №39,  27  км ,  12  км ,,,,,,,,,,,
 10.,851813 .,ОП Ферма,  33  км ,   6  км ,,,,,,,,,,,
 11.,851809 .,Сокур,  39  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 83-010 ""СОКУР - БОЛОТНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
