Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Казахстан,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Актау-Порт,Актогай,Алимбет (эксп.),Алматы 1,Алтынколь (эксп.),Арыс 1,Астана-1,Бейнеу,Берлик I,Болашак (эксп.),Дины Нурпеисовой (рзд) (эксп.),Достык (эксп.),Екибастуз I,Елимай (обп) (эксп.),Ерейментау,Есиль,Жана-Есиль,Жана-Семей,Жарык,Жетыген,Зерновая (эксп.),Золотая Сопка (эксп.),Илецк I (эксп.),Кандыагаш,Караганда-Сортировочная,Караганды,Кокшетау I,Костанай,Куркамыс (эксп.),Курык-Порт,Кызылжар,Локоть (эксп. на Малиновое Озеро),Макат,Мангистау,Мойынты,Никельтау,Новоустькаменогорск,Оазис (рзд) (эксп.),Оскемен-1,Павлодар,Петропавловск (эксп.),Сарыагаш (эксп.),Сексеул,Семей,Семиглавый Мар (эксп.),Сороковая,Тараз,Тобол,Турксиб (эксп.),Шагыр (эксп.),Шалкар,Шар,Шымкент
№ п/п,Начальный пункт маршрута,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
25,Караганда-Сортировочная,2182,883,1478,1100,1436,1319,218,1774,797,2504,2337,1192,500,987,333,594,702,961,144,1143,872,1091,1824,1535,0,23,514,925,749,2251,398,1085,1927,2178,359,1400,1220,1853,1232,632,709,1450,1110,966,2205,206,1037,882,920,1355,1275,1069,1240
26,Караганды,2159,860,1501,1077,1413,1296,241,1751,774,2481,2327,1169,523,1010,356,617,725,984,121,1120,895,1114,1814,1525,23,0,537,948,772,2228,375,1108,1917,2155,336,1423,1243,1830,1255,655,732,1427,1087,989,2195,229,1014,905,897,1332,1252,1092,1217
27,Кокшетау I,2260,1397,1103,1614,1950,1833,296,1852,1311,2582,1962,1706,602,612,435,672,188,1063,658,1657,358,577,1449,1160,514,537,0,411,851,2329,912,1187,1552,2256,873,1025,1322,1931,1334,734,195,1964,1598,1068,1830,308,1551,507,1434,1869,1433,1171,1754
28,Костанай,1849,1808,692,2025,2361,2082,707,1441,1722,2171,1551,2117,1013,201,846,376,223,1474,1069,2068,393,166,1038,749,925,948,411,0,1262,1918,1323,1598,1141,1845,1284,614,1733,1520,1745,1145,606,2213,1187,1479,1419,719,1962,96,1845,2118,1022,1582,2161
29,Куркамыс (эксп.),2931,954,1815,1511,1761,2068,555,2523,1546,3253,2674,1272,249,1324,416,931,1039,494,893,1468,1209,1428,2161,1872,749,772,851,1262,0,3000,1147,618,2264,2927,1108,1737,753,2602,765,117,1046,2199,1859,499,2542,543,1786,1219,1669,2104,2024,602,1989
30,Курык-Порт,77,2846,1382,2861,3197,2036,2469,477,2558,301,1187,3155,2751,1927,2584,2110,2141,3212,2107,2904,2311,2084,1458,1169,2251,2228,2329,1918,3000,0,1853,3336,777,73,2322,1304,3349,556,3361,2883,2524,2167,1141,3217,1839,2457,2318,1822,2435,2072,976,3198,2115
31,Кызылжар,1784,993,1363,1210,1546,1429,616,1376,907,2106,1952,1302,898,1385,731,992,1100,1359,254,1253,1270,1489,1439,1150,398,375,912,1323,1147,1853,0,1483,1542,1780,469,1285,1496,1455,1508,1030,1107,1560,712,1364,1820,604,1147,1280,1030,1465,877,1345,1350
32,Локоть (эксп. на,3267,587,2151,1144,1394,1969,891,2859,1447,3589,3010,905,585,1660,752,1267,1375,127,1229,1101,1545,1764,2497,2208,1085,1108,1187,1598,618,3336,1483,0,2600,3263,1111,2073,250,2938,238,501,1382,2100,2195,119,2878,879,1687,1555,1570,2005,2360,235,1890
,Малиновое Озеро),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Макат,708,2535,605,2550,2886,1725,1709,300,2247,1030,410,2844,2015,1150,1848,1333,1364,2476,1796,2593,1534,1307,681,392,1927,1917,1552,1141,2264,777,1542,2600,0,704,2011,527,2735,379,2747,2147,1747,1856,830,2481,1062,1721,2007,1045,2124,1761,665,2584,1804
