Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Свердловской ж.д. (код дороги 76),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 76-001 ""ЧЕПЦА - ПЕРМЬ-СОРТИРОВОЧНАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Чепца,до ст. Пермь-Сортировочная,,,,,,,,,,,
 25.,763735 .,ОП Ост. Пункт 1551 км, 117  км , 176  км ,,,,,,,,,,,
 26.,763805 .,Кишерть, 121  км , 172  км ,,,,,,,,,,,
 27.,763815 .,ОП Саламатово, 125  км , 168  км ,,,,,,,,,,,
 28.,763824 .,ОП Пятково, 128  км , 165  км ,,,,,,,,,,,
 29.,763839 .,ОП Школьная, 132  км , 161  км ,,,,,,,,,,,
 30.,763932 .,Шумково, 136  км , 157  км ,,,,,,,,,,,
 31.,763913 .,ОП Верхняя Опалиха, 138  км , 155  км ,,,,,,,,,,,
 32.,763928 .,ОП Тюриково, 143  км , 150  км ,,,,,,,,,,,
 33.,764013 .,ОП Тулумбасы, 151  км , 142  км ,,,,,,,,,,,
 34.,764117 .,Лек, 160  км , 133  км ,,,,,,,,,,,
 35.,764206 .,Кордон, 171  км , 122  км ,,,,,,,,,,,
 36.,764210 .,ОП Глухарь, 179  км , 114  км ,,,,,,,,,,,
 37.,764225 .,ОП Шутем, 186  км , 107  км ,,,,,,,,,,,
 38.,764230 .,ОП Нижняя Баская, 190  км , 103  км ,,,,,,,,,,,
 39.,764306 .,Шамары, 196  км ,  97  км ,,,,,,,,,,,
 40.,764314 .,ОП Козьял, 207  км ,  86  км ,,,,,,,,,,,
 41.,764403 .,Вогулка, 217  км ,  76  км ,,,,,,,,,,,
 42.,764511 .,Бизь, 228  км ,  65  км ,,,,,,,,,,,
 43.,783002 .,Шаля, 235  км ,  58  км ,,,,,,,,,,,
 44.,783118 .,Пастушный, 245  км ,  48  км ,,,,,,,,,,,
 45.,783207 .,Сарга, 253  км ,  40  км ,,,,,,,,,,,
 46.,783211 .,ОП Баскинский, 259  км ,  34  км ,,,,,,,,,,,
 47.,783226 .,ОП Берлога, 267  км ,  26  км ,,,,,,,,,,,
 48.,783315 .,Сабик, 274  км ,  19  км ,,,,,,,,,,,
 49.,782736 .,ОП Меркитасиха, 284  км ,   9  км ,,,,,,,,,,,
 50.,782702 .,Кузино, 293  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  4) участок 76-004 ""КУЗИНО - ЕКАТЕРИНБУРГ-СОРТИРОВОЧНЫЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Кузино,до ст. Екатеринбург-Сортировочный,,,,,,,,,,,
  1.,782702 .,Кузино,   0  км ,  78  км ,,,,,,,,,,,
  2.,782115 .,Коуровка,  10  км ,  68  км ,,,,,,,,,,,
  3.,782007 .,Бойцы,  20  км ,  58  км ,,,,,,,,,,,
  4.,781911 .,ОП Гравийный,  24  км ,  54  км ,,,,,,,,,,,
  5.,781907 .,Билимбай,  29  км ,  49  км ,,,,,,,,,,,
  6.,781803 .,Подволошная,  38  км ,  40  км ,,,,,,,,,,,
  7.,781701 .,Первоуральск,  44  км ,  34  км ,,,,,,,,,,,
  8.,781536 .,ОП Новоталица,  46  км ,  32  км ,,,,,,,,,,,
  9.,781521 .,ОП Вершина,  50  км ,  28  км ,,,,,,,,,,,
 10.,781517 .,ОП Новоалексеевка,  56  км ,  22  км ,,,,,,,,,,,
 11.,781540 .,Хрустальная,  59  км ,  19  км ,,,,,,,,,,,
 12.,780124 .,ОП Будка,  62  км ,  16  км ,,,,,,,,,,,
