Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Азербайджанской ж.д. (код дороги 55),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 55-001 ""ЯЛАМА (ЭКСП.) - БАЛАДЖАРЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ялама (эксп.),до ст. Баладжары,,,,,,,,,,,
 35.,556231 .,ОП Платформа 174 км, 244  км , 132  км ,,,,,,,,,,,
 36.,556602 .,Алабашлы, 247  км , 129  км ,,,,,,,,,,,
 37.,556621 .,ОП Платформа 164 км, 249  км , 127  км ,,,,,,,,,,,
 38.,556617 .,ОП Платформа 166 км, 251  км , 125  км ,,,,,,,,,,,
 39.,556706 .,Шамкир, 258  км , 118  км ,,,,,,,,,,,
 40.,556710 .,ОП Платформа 154 км, 263  км , 113  км ,,,,,,,,,,,
 41.,556803 .,Долляр, 268  км , 108  км ,,,,,,,,,,,
 42.,556814 .,ОП Платформа 143 км, 274  км , 102  км ,,,,,,,,,,,
 43.,556829 .,ОП Платформа 139 км, 278  км ,  98  км ,,,,,,,,,,,
 44.,556903 .,Дзегам, 281  км ,  95  км ,,,,,,,,,,,
 45.,556918 .,ОП Платформа 132 км, 285  км ,  91  км ,,,,,,,,,,,
 46.,556922 .,ОП Платформа 130 км, 287  км ,  89  км ,,,,,,,,,,,
 47.,556937 .,Дюгарлу (рзд), 288  км ,  88  км ,,,,,,,,,,,
 48.,556941 .,ОП Платформа 128 км, 289  км ,  87  км ,,,,,,,,,,,
 49.,557003 .,Ковляр, 295  км ,  81  км ,,,,,,,,,,,
 50.,557018 .,ОП Платформа 117 км, 300  км ,  76  км ,,,,,,,,,,,
 51.,557022 .,ОП Платформа 112 км, 305  км ,  71  км ,,,,,,,,,,,
 52.,557107 .,Тауз, 308  км ,  68  км ,,,,,,,,,,,
 53.,557111 .,ОП Платформа 106 км, 311  км ,  65  км ,,,,,,,,,,,
 54.,557126 .,Татлу, 319  км ,  57  км ,,,,,,,,,,,
 55.,557130 .,ОП Платформа 94 км, 323  км ,  53  км ,,,,,,,,,,,
 56.,557200 .,Акстафа, 329  км ,  47  км ,,,,,,,,,,,
 57.,557215 .,Шакарлы, 335  км ,  41  км ,,,,,,,,,,,
 58.,557228 .,ОП Гырах Кесемен, 338  км ,  38  км ,,,,,,,,,,,
 59.,558400 .,Пойлы, 343  км ,  33  км ,,,,,,,,,,,
 60.,558504 .,Салахлы, 353  км ,  23  км ,,,,,,,,,,,
 61.,558608 .,Союк-Булак, 362  км ,  14  км ,,,,,,,,,,,
 62.,558612 .,ОП Платформа 54 км, 364  км ,  12  км ,,,,,,,,,,,
 63.,558627 .,ОП Муганлы, 369  км ,   7  км ,,,,,,,,,,,
 64.,558631 .,Беюк-Кясик, 372  км ,   4  км ,,,,,,,,,,,
 65.,558701 .,Беюк-Кясик (эксп.), 376  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  5) участок 55-005 ""ЕВЛАХ - БЕЛОКАНЫ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Евлах,до ст. Белоканы,,,,,,,,,,,
  1.,555101 .,Евлах,   0  км , 163  км ,,,,,,,,,,,
  2.,559300 .,Ханабад,  27  км , 136  км ,,,,,,,,,,,
  3.,555146 .,Сабухи (рзд),  47  км , 116  км ,,,,,,,,,,,
  4.,559403 .,Шеки,  68  км ,  95  км ,,,,,,,,,,,
  5.,559418 .,ОП Гейнук,  97  км ,  66  км ,,,,,,,,,,,
  6.,559507 .,Кахи, 106  км ,  57  км ,,,,,,,,,,,
  7.,559511 .,ОП Гораган, 120  км ,  43  км ,,,,,,,,,,,
  8.,559526 .,ОП Алиабад, 132  км ,  31  км ,,,,,,,,,,,
  9.,559600 .,Закаталы, 145  км ,  18  км ,,,,,,,,,,,
 10.,559615 .,ОП Геям, 151  км ,  12  км ,,,,,,,,,,,
 11.,559704 .,Белоканы, 163  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  6) участок 55-006 ""АЛЯТ - ШИРВАН"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Алят,до ст. Ширван,,,,,,,,,,,
  1.,548502 .,Алят,   0  км ,  48  км ,,,,,,,,,,,
  2.,548703 .,Алят-Новая,   5  км ,  43  км ,,,,,,,,,,,
  3.,552724 .,Хыдырлы,  21  км ,  27  км ,,,,,,,,,,,
  4.,552716 .,Карагюна (рзд),  36  км ,  12  км ,,,,,,,,,,,
  5.,552705 .,Ширван,  48  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 55-007 ""ШИРВАН - ОСМАНЛЫ-НОВЫЕ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Ширван,до ст. Османлы-Новые,,,,,,,,,,,
  1.,552705 .,Ширван,   0  км ,  12  км ,,,,,,,,,,,
  2.,552620 .,Османлы-Новые,  12  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 55-008 ""ОСМАНЛЫ-НОВЫЕ - АСТАРА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Османлы-Новые,до ст. Астара,,,,,,,,,,,
  1.,552620 .,Османлы-Новые,   0  км , 183  км ,,,,,,,,,,,
  2.,552635 .,Азадыкент,  17  км , 166  км ,,,,,,,,,,,
  3.,552640 .,ОП Платформа 25 км,  25  км , 158  км ,,,,,,,,,,,
  4.,552654 .,Солманлы (рзд),  33  км , 150  км ,,,,,,,,,,,
  5.,553106 .,Сальяны,  47  км , 136  км ,,,,,,,,,,,
  6.,553110 .,Дайке (рзд),  61  км , 122  км ,,,,,,,,,,,
  7.,553125 .,Кырмынзы-Кенд,  77  км , 106  км ,,,,,,,,,,,
  8.,553130 .,ОП Платформа 82 км,  82  км , 101  км ,,,,,,,,,,,
  9.,553303 .,Джалилабад,  93  км ,  90  км ,,,,,,,,,,,
 10.,553407 .,Масаллы, 107  км ,  76  км ,,,,,,,,,,,
 11.,553411 .,ОП Платформа 113 км, 113  км ,  70  км ,,,,,,,,,,,
 12.,553500 .,Казумлы, 123  км ,  60  км ,,,,,,,,,,,
 13.,553515 .,ОП Платформа 128 км, 128  км ,  55  км ,,,,,,,,,,,
 14.,553604 .,Лиман, 141  км ,  42  км ,,,,,,,,,,,
 15.,553801 .,Гейшабан, 148  км ,  35  км ,,,,,,,,,,,
 16.,553905 .,Ленкорань, 153  км ,  30  км ,,,,,,,,,,,
 17.,553911 .,ОП Платформа 164 км, 164  км ,  19  км ,,,,,,,,,,,
 18.,554005 .,Камышевка, 168  км ,  15  км ,,,,,,,,,,,
 19.,554017 .,ОП Платформа 172 км, 172  км ,  11  км ,,,,,,,,,,,
 20.,554024 .,ОП Платформа 177 км, 177  км ,   6  км ,,,,,,,,,,,
 21.,554109 .,Астара, 183  км ,   0  км ,,,,,,,,,,,
 22.,554503 .,Астара (эксп.), 183  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  9) участок 55-009 ""САЛЬЯНЫ - НЕФТЕЧАЛА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Сальяны,до ст. Нефтечала,,,,,,,,,,,
  1.,553106 .,Сальяны,   0  км ,  35  км ,,,,,,,,,,,
  2.,553144 .,Карайманлы (рзд),  17  км ,  18  км ,,,,,,,,,,,
  3.,553207 .,Нефтечала,  35  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 55-010 ""ОСМАНЛЫ-НОВЫЕ - ДЖУЛЬФА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Османлы-Новые,до ст. Джульфа,,,,,,,,,,,
  1.,552620 .,Османлы-Новые,   0  км , 349  км ,,,,,,,,,,,
  2.,552616 .,ОП Платформа 69 км,   9  км , 340  км ,,,,,,,,,,,
  3.,552601 .,Мюрсалы,  14  км , 335  км ,,,,,,,,,,,
  4.,552404 .,Сараджаляр,  25  км , 324  км ,,,,,,,,,,,
  5.,552300 .,Саатлы,  36  км , 313  км ,,,,,,,,,,,
  6.,552230 .,ОП Платформа 103 км,  43  км , 306  км ,,,,,,,,,,,
  7.,552226 .,Беджары,  48  км , 301  км ,,,,,,,,,,,
  8.,552211 .,ОП Платформа 116 км,  56  км , 293  км ,,,,,,,,,,,
  9.,552207 .,Имишли,  65  км , 284  км ,,,,,,,,,,,
 10.,552103 .,Ватаги,  79  км , 270  км ,,,,,,,,,,,
 11.,552014 .,ОП Платформа 145 км,  85  км , 264  км ,,,,,,,,,,,
 12.,552001 .,Халач,  91  км , 258  км ,,,,,,,,,,,
 13.,551906 .,Дашбурун, 105  км , 244  км ,,,,,,,,,,,
 14.,551882 .,ОП Платформа 172 км, 112  км , 237  км ,,,,,,,,,,,
 15.,551878 .,Бегманлы, 116  км , 233  км ,,,,,,,,,,,
 16.,551863 .,Бала-Бегманлы (рзд), 126  км , 223  км ,,,,,,,,,,,
 17.,551859 .,ОП Платформа 187 км, 127  км , 222  км ,,,,,,,,,,,
 18.,551844 .,ОП Балабек, 128  км , 221  км ,,,,,,,,,,,
 19.,551830 .,Гаджилу (рзд), 130  км , 219  км ,,,,,,,,,,,
 20.,551825 .,ОП Платформа 190 км, 131  км , 218  км ,,,,,,,,,,,
 21.,551810 .,ОП Платформа 194 км, 135  км , 214  км ,,,,,,,,,,,
 22.,551806 .,Горадиз, 143  км , 206  км ,,,,,,,,,,,
 23.,551736 .,ОП Платформа 208 км, 149  км , 200  км ,,,,,,,,,,,
 24.,551721 .,Марджанлы, 156  км , 193  км ,,,,,,,,,,,
 25.,551717 .,ОП Платформа 219 км, 160  км , 189  км ,,,,,,,,,,,
 26.,551702 .,Махмудлы, 165  км , 184  км ,,,,,,,,,,,
 27.,551632 .,ОП Платформа 232 км, 173  км , 176  км ,,,,,,,,,,,
 28.,552902 .,Султанлы, 176  км , 173  км ,,,,,,,,,,,
 29.,551613 .,ОП Платформа 242 км, 183  км , 166  км ,,,,,,,,,,,
 30.,551609 .,Халафли (рзд), 187  км , 162  км ,,,,,,,,,,,
 31.,551524 .,Худаферин (рзд), 196  км , 153  км ,,,,,,,,,,,
 32.,551510 .,Кумлах, 199  км , 150  км ,,,,,,,,,,,
 33.,551505 .,Акара, 209  км , 140  км ,,,,,,,,,,,
 34.,551219 .,Хурама (рзд), 215  км , 134  км ,,,,,,,,,,,
 35.,551204 .,Минджевань, 223  км , 126  км ,,,,,,,,,,,
 36.,551191 .,ОП Платформа 288 км, 229  км , 120  км ,,,,,,,,,,,
 37.,551187 .,ОП Платформа 292 км, 233  км , 116  км ,,,,,,,,,,,
 38.,551308 .,Бартаз (рзд), 235  км , 114  км ,,,,,,,,,,,
 39.,551168 .,Агбент, 246  км , 103  км ,,,,,,,,,,,
 40.,551153 .,ОП Платформа 312 км, 253  км ,  96  км ,,,,,,,,,,,
 41.,551149 .,Нюведи (рзд), 255  км ,  94  км ,,,,,,,,,,,
 42.,551134 .,ОП Платформа 321 км, 262  км ,  87  км ,,,,,,,,,,,
 43.,551125 .,Астазур, 268  км ,  81  км ,,,,,,,,,,,
 44.,551115 .,ОП Алдара, 272  км ,  77  км ,,,,,,,,,,,
 45.,551100 .,Мегри, 278  км ,  71  км ,,,,,,,,,,,
 46.,551011 .,ОП Мегри-Чай, 281  км ,  68  км ,,,,,,,,,,,
 47.,551007 .,Карчивань, 287  км ,  62  км ,,,,,,,,,,,
 48.,550930 .,ОП Платформа 354 км, 295  км ,  54  км ,,,,,,,,,,,
 49.,550926 .,Киялы (рзд), 302  км ,  47  км ,,,,,,,,,,,
 50.,550911 .,ОП Платформа 367 км, 308  км ,  41  км ,,,,,,,,,,,
 51.,550907 .,Ордубад, 310  км ,  39  км ,,,,,,,,,,,
 52.,550038 .,Даста (рзд), 317  км ,  32  км ,,,,,,,,,,,
 53.,550023 .,Аза, 327  км ,  22  км ,,,,,,,,,,,
 54.,550019 .,Яйджы (рзд), 336  км ,  13  км ,,,,,,,,,,,
 55.,550004 .,Джульфа, 349  км ,   0  км ,,,,,,,,,,,
 56.,550108 .,Джульфа (эксп.), 349  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 11) участок 55-011 ""ДЖУЛЬФА - ШАРУР (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Джульфа,до ст. Шарур (эксп.),,,,,,,,,,,
  1.,550004 .,Джульфа,   0  км , 137  км ,,,,,,,,,,,
