Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Литовской ж.д. (код дороги 12),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 12-001 ""ЙОНИШКИС (ЭКСП.) - ШЯУЛЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
  5.,127216 .,ОП Бярчюнай,  48  км , 117  км ,,,,,,,,,,,
  6.,127305 .,Панявежис,  54  км , 111  км ,,,,,,,,,,,
  7.,127428 .,Карсакишкис (рзд),  66  км ,  99  км ,,,,,,,,,,,
  8.,127413 .,ОП Бигайляй,  74  км ,  91  км ,,,,,,,,,,,
  9.,127409 .,Субачюс,  79  км ,  86  км ,,,,,,,,,,,
 10.,127517 .,Раджюнай,  89  км ,  76  км ,,,,,,,,,,,
 11.,127502 .,Купишкис,  98  км ,  67  км ,,,,,,,,,,,
 12.,127521 .,Скапишкис, 112  км ,  53  км ,,,,,,,,,,,
 13.,127536 .,ОП Кяпуришкис, 119  км ,  46  км ,,,,,,,,,,,
 14.,127540 .,Панямунелис, 125  км ,  40  км ,,,,,,,,,,,
 15.,127555 .,ОП Тинджюляй, 131  км ,  34  км ,,,,,,,,,,,
 16.,127803 .,Рокишкис, 139  км ,  26  км ,,,,,,,,,,,
 17.,127907 .,Рокишкис (эксп.), 139  км ,  26  км ,,,,,,,,,,,
 18.,127822 .,Шапяляй (рзд), 165  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 19) участок 12-021 ""РАДВИЛИШКИС - ПЯТРАШЮНАЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Радвилишкис,до ст. Пятрашюнай,,,,,,,,,,,
  1.,125507 .,Радвилишкис,   0  км ,  32  км ,,,,,,,,,,,
  2.,106008 .,Пакруойис,  32  км ,   0  км ,,,,,,,,,,,
  3.,107602 .,Пятрашюнай,  44  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 20) участок 12-022 ""РАДВИЛИШКИС - ШЯУЛЯЙ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Радвилишкис,до ст. Шяуляй,,,,,,,,,,,
  1.,125507 .,Радвилишкис,   0  км ,  20  км ,,,,,,,,,,,
  2.,125530 .,ОП Дурпинас,   3  км ,  17  км ,,,,,,,,,,,
  3.,125526 .,ОП Манкишкяй,   8  км ,  12  км ,,,,,,,,,,,
  4.,125600 .,Шиленай,  11  км ,   9  км ,,,,,,,,,,,
  5.,125615 .,ОП Содай,  13  км ,   7  км ,,,,,,,,,,,
  6.,125629 .,ОП Зокняй,  17  км ,   3  км ,,,,,,,,,,,
  7.,125704 .,Шяуляй,  20  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 21) участок 12-023 ""РАДВИЛИШКИС - ПАГЕГЯЙ (ЭКСП.)"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Радвилишкис,до ст. Пагегяй (эксп.),,,,,,,,,,,
  1.,125507 .,Радвилишкис,   0  км , 148  км ,,,,,,,,,,,
  2.,125511 .,Йонайтишкяй,  10  км , 138  км ,,,,,,,,,,,
  3.,106224 .,Чютяляй,  17  км , 131  км ,,,,,,,,,,,
  4.,106218 .,ОП Сидаряй,  21  км , 127  км ,,,,,,,,,,,
  5.,106205 .,Титувенай,  40  км , 108  км ,,,,,,,,,,,
  6.,106309 .,Шенлаукис,  57  км ,  91  км ,,,,,,,,,,,
  7.,106402 .,Видукле,  70  км ,  78  км ,,,,,,,,,,,
  8.,106506 .,Варлаукис,  84  км ,  64  км ,,,,,,,,,,,
  9.,106510 .,ОП Либишкяй,  88  км ,  60  км ,,,,,,,,,,,
 10.,106603 .,Батакяй,  94  км ,  54  км ,,,,,,,,,,,
 11.,106703 .,Таураге, 112  км ,  36  км ,,,,,,,,,,,
 12.,106718 .,ОП Пожярунай, 116  км ,  32  км ,,,,,,,,,,,
