Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ (в км) МЕЖДУ ТРАНЗИТНЫМИ ПУНКТАМИ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Беларусь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Конечный пункт маршрута,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Алеща (эксп.),Андреевичи (рзд),Барановичи-Центральные,Белынковичи (эксп.),Беняконе (эксп.),Берестовица (рзд),Бигосово (эксп.),Бигосово,Брест-Восточный,Брест-Полесский,Брест-Северный (эксп.),Брест-Центральный (эксп.),Брест-Центральный,Брузги (эксп.),Витебск,Волковыск,Высоко-Литовск (эксп.),Высоко-Литовск,Гомель,Горынь (эксп.),Гродно,Гудогай (эксп.),Езерище (эксп.),Жабинка (эксп.),Жабинка,Жлобин,Закопытье (эксп.),Закопытье,Заольша (эксп.),Калинковичи,Кричев I,Крулевщизна,Лида,Лунинец,Лынтупы,Минск-Сортировочный,Могилев II,Молодечно,Мосты,Новобелицкая,Орша-Центральная,Осиновка (эксп.),Осиповичи I,Полоцк парк Громы,Полоцк,Поречье,Свислочь (эксп.),Свислочь,Словечно (эксп.),Тереховка (эксп.),Тереховка,Терюха (эксп.),Терюха,Хотислав (эксп.),Шестеровка (эксп.)
29,Заольша (эксп.),210,606,498,361,532,630,248,241,697,700,705,705,700,642,60,597,749,741,436,672,619,439,143,678,674,350,481,473,0,451,278,252,487,618,367,360,226,359,561,441,144,192,359,161,163,650,640,626,522,484,476,475,463,757,319
30,Калинковичи,541,429,297,409,456,452,579,572,402,405,410,410,405,536,391,419,454,446,125,231,513,483,474,379,379,101,170,162,451,0,326,510,411,177,625,319,225,403,455,130,307,355,208,492,494,545,462,448,71,173,165,164,152,462,367
31,Кричев I,368,574,442,83,601,597,406,399,641,644,649,649,644,681,218,564,693,685,311,557,658,509,301,618,618,225,356,348,278,326,0,410,556,503,525,345,101,429,600,316,134,182,234,319,321,690,607,593,397,359,351,350,338,701,41
32,Крулевщизна,140,355,329,493,280,378,178,171,528,531,536,536,531,390,192,345,580,572,495,503,367,187,275,505,505,409,540,532,252,510,410,0,235,449,115,191,358,107,309,500,276,324,302,91,93,399,388,374,581,543,535,534,522,588,451
33,Лида,375,120,114,639,45,143,413,406,313,316,321,321,316,155,427,110,365,357,515,288,132,208,510,290,290,429,560,552,487,411,556,235,0,234,350,212,455,128,74,520,428,476,322,326,328,164,153,139,482,563,555,554,542,373,597
34,Лунинец,589,252,120,586,279,275,627,620,225,228,233,233,228,359,558,242,277,269,302,54,336,422,641,202,202,278,347,339,618,177,503,449,234,0,564,258,402,342,278,307,474,522,328,540,542,368,285,271,248,350,342,341,329,285,544
35,Лынтупы,255,470,444,608,395,493,293,286,643,646,651,651,646,505,307,460,695,687,610,618,482,302,390,620,620,524,655,647,367,625,525,115,350,564,0,306,473,222,424,615,391,439,417,206,208,514,503,489,696,658,650,649,637,703,566
36,Минск-Сортировочный,331,270,138,428,257,293,369,362,337,340,345,345,340,367,300,260,389,381,304,312,344,164,383,314,314,218,349,341,360,319,345,191,212,258,306,0,244,84,286,309,216,264,111,282,284,376,303,289,390,352,344,343,331,397,386
37,Могилев II,316,473,341,184,500,496,354,347,540,543,548,548,543,580,166,463,592,584,210,456,557,408,249,517,517,124,255,247,226,225,101,358,455,402,473,244,0,328,499,215,82,130,133,267,269,589,506,492,296,258,250,249,237,600,142
38,Молодечно,247,248,222,512,173,271,285,278,421,424,429,429,424,283,299,238,473,465,388,396,260,80,382,398,398,302,433,425,359,403,429,107,128,342,222,84,328,0,202,393,300,348,195,198,200,292,281,267,474,436,428,427,415,481,470
39,Мосты,449,46,158,683,119,69,487,480,357,360,365,365,360,81,501,36,409,401,559,332,58,282,584,334,334,473,604,596,561,455,600,309,74,278,424,286,499,202,0,564,502,550,366,400,402,90,79,65,526,607,599,598,586,417,641
40,Новобелицкая,531,538,406,399,565,561,569,562,532,535,540,540,535,645,381,528,584,576,5,361,622,473,464,509,509,91,40,32,441,130,316,500,520,307,615,309,215,393,564,0,297,345,198,482,484,654,571,557,201,43,35,34,22,592,357
41,Орша-Центральная,234,486,354,217,473,509,272,265,553,556,561,561,556,583,84,476,605,597,292,528,560,380,167,530,530,206,337,329,144,307,134,276,428,474,391,216,82,300,502,297,0,48,215,185,187,592,519,505,378,340,332,331,319,613,175
42,Осиновка (эксп.),282,537,402,265,521,557,320,313,601,604,609,609,604,631,132,524,653,645,340,576,608,428,215,578,578,254,385,377,192,355,182,324,476,522,439,264,130,348,550,345,48,0,263,233,235,640,567,553,426,388,380,379,367,661,223
43,Осиповичи I,442,340,208,317,367,363,480,473,407,410,415,415,410,447,299,330,459,451,193,382,424,275,382,384,384,107,238,230,359,208,234,302,322,328,417,111,133,195,366,198,215,263,0,393,395,456,373,359,279,241,233,232,220,467,275
44,Полоцк парк Громы,49,446,420,402,371,469,87,80,619,622,627,627,622,481,101,436,671,663,477,594,458,278,184,596,596,391,522,514,161,492,319,91,326,540,206,282,267,198,400,482,185,233,393,0,2,490,479,465,563,525,517,516,504,679,360
45,Полоцк,51,448,422,404,373,471,85,78,621,624,629,629,624,483,103,438,673,665,479,596,460,280,186,598,598,393,524,516,163,494,321,93,328,542,208,284,269,200,402,484,187,235,395,2,0,492,481,467,565,527,519,518,506,681,362
46,Поречье,539,136,248,773,209,159,577,570,447,450,455,455,450,55,591,126,499,491,649,422,32,372,673,424,424,563,694,686,650,545,690,399,164,368,514,376,589,292,90,654,592,640,456,490,492,0,169,155,616,697,689,688,676,507,731
47,Свислочь (эксп.),528,33,165,690,198,56,566,559,364,367,372,372,367,160,580,43,416,408,566,339,137,361,663,341,341,480,611,603,640,462,607,388,153,285,503,303,506,281,79,571,519,567,373,479,481,169,0,14,533,614,606,605,593,424,648
48,Свислочь,514,19,151,676,184,42,552,545,350,353,358,358,353,146,566,29,402,394,552,325,123,347,649,327,327,466,597,589,626,448,593,374,139,271,489,289,492,267,65,557,505,553,359,465,467,155,14,0,519,600,592,591,579,410,634
49,Словечно (эксп.),612,500,368,480,527,523,650,643,473,476,481,481,476,607,462,490,525,517,196,302,584,554,545,450,450,172,241,233,522,71,397,581,482,248,696,390,296,474,526,201,378,426,279,563,565,616,533,519,0,244,236,235,223,533,438
50,Тереховка (эксп.),574,581,449,442,608,604,612,605,575,578,583,583,578,688,424,571,627,619,48,404,665,516,507,552,552,134,83,75,484,173,359,543,563,350,658,352,258,436,607,43,340,388,241,525,527,697,614,600,244,0,8,73,59,635,400
51,Тереховка,566,573,441,434,600,596,604,597,567,570,575,575,570,680,416,563,619,611,40,396,657,508,499,544,544,126,75,67,476,165,351,535,555,342,650,344,250,428,599,35,332,380,233,517,519,689,606,592,236,8,0,65,51,627,392
52,Терюха (эксп.),565,572,440,433,599,595,603,596,566,569,574,574,569,679,415,562,618,610,39,395,656,507,498,543,543,125,74,66,475,164,350,534,554,341,649,343,249,427,598,34,331,379,232,516,518,688,605,591,235,73,65,0,12,626,391
53,Терюха,553,560,428,421,587,583,591,584,554,557,562,562,557,667,403,550,606,598,27,383,644,495,486,531,531,113,62,54,463,152,338,522,542,329,637,331,237,415,586,22,319,367,220,504,506,676,593,579,223,59,51,12,0,614,379
54,Хотислав (эксп.),728,391,259,784,418,414,766,759,60,57,65,65,60,498,697,381,109,101,587,339,475,561,780,83,83,563,632,624,757,462,701,588,373,285,703,397,600,481,417,592,613,661,467,679,681,507,424,410,533,635,627,626,614,0,742
55,Шестеровка (эксп.),409,615,483,124,642,638,447,440,682,685,690,690,685,722,259,605,734,726,352,598,699,550,342,659,659,266,397,389,319,367,41,451,597,544,566,386,142,470,641,357,175,223,275,360,362,731,648,634,438,400,392,391,379,742,0
