Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Горьковской ж.д. (код дороги 24),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 24-001 ""ПЕТУШКИ - ВЛАДИМИР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Петушки,до ст. Владимир,,,,,,,,,,,
  3.,268202 .,Марадыковский,  20  км ,  53  км ,,,,,,,,,,,
  4.,268325 .,Быстряги,  26  км ,  47  км ,,,,,,,,,,,
  5.,268310 .,ОП ЗЕЛЁНЫЙ,  33  км ,  40  км ,,,,,,,,,,,
  6.,268429 .,Шалегово,  35  км ,  38  км ,,,,,,,,,,,
  7.,268414 .,ОП БОБЫЛИ,  39  км ,  34  км ,,,,,,,,,,,
  8.,268503 .,Оричи,  46  км ,  27  км ,,,,,,,,,,,
  9.,268518 .,ОП Социалистическая,  52  км ,  21  км ,,,,,,,,,,,
 10.,270804 .,Стрижи,  60  км ,  13  км ,,,,,,,,,,,
 11.,270823 .,ОП САРБАИ,  64  км ,   9  км ,,,,,,,,,,,
 12.,270819 .,ОП Цапели,  67  км ,   6  км ,,,,,,,,,,,
 13.,270005 .,Лянгасово,  73  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  7) участок 24-007 ""ЛЯНГАСОВО - ПОЗДИНО"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Лянгасово,до ст. Поздино,,,,,,,,,,,
  1.,270005 .,Лянгасово,   0  км ,  16  км ,,,,,,,,,,,
  2.,273408 .,Поздино,  16  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  8) участок 24-008 ""ПОЗДИНО - ПИБАНЬШУР"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Поздино,до ст. Пибаньшур,,,,,,,,,,,
  1.,273408 .,Поздино,   0  км , 246  км ,,,,,,,,,,,
  2.,273501 .,Полой,   8  км , 238  км ,,,,,,,,,,,
  3.,273516 .,ОП Мутница,  15  км , 231  км ,,,,,,,,,,,
  4.,273802 .,Бумкомбинат,  25  км , 221  км ,,,,,,,,,,,
  5.,273709 .,Просница,  35  км , 211  км ,,,,,,,,,,,
  6.,273713 .,ОП Конып,  42  км , 204  км ,,,,,,,,,,,
  7.,273728 .,ОП Луговой,  51  км , 195  км ,,,,,,,,,,,
