Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
  142.,Аккудык,О,68 Кзх,"673007 Караганда-Сортировочная - 25км, 690200 Сороковая - 209км",674122
  143.,Аккудык,"О 1,3",68 Кзх,"668600 Никельтау - 64км, 683102 Тобол - 454км",668901
  144.,Аккуль,Х,63 Кбш (Р),647523 Акбаш - 5км,647591
  145.,Аккум,О,68 Кзх,"670102 Сексеул - 705км, 698004 Арыс 1 - 190км",672536
  146.,Акмая (рзд),О,68 Кзх,"670102 Сексеул - 637км, 698004 Арыс 1 - 258км",672216
  147.,Акмаянын Елы,О,75 Трк,,751719
  148.,Акмяне,"Б 1,3",12 Лит,"126406 Мажейкяй - 26км, 127004 Кужяй - 37км",126707
  149.,Аконъярви,Б 3,01 Окт (Р),"025807 Суоярви I - 85км, 028100 Кивиярви (эксп.) - 310км",026809
  150.,Акри,О 3,17 Моск (Р),"192200 Жилево - 14км, 229706 Ожерелье - 16км",192003
  151.,Аксака (рзд),О,96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 166км, 967600 Ванино - 287км",966311
  152.,Аксаково,"Б 1,3,4,5,8н",63 Кбш (Р),"651506 Чишмы - 145км, 657305 Кинель - 290км",656500
  153.,Аксаматово,О,24 Горьк (Р),"249004 Свияжск - 118км, 250001 Юдино - 134км",252420
  154.,Аксарайская,Б,61 Прив (Р),ТП,617505
  155.,Аксарайская II,3,61 Прив (Р),,617007
  156.,Аксариха,Б,76 Сверд (Р),"790003 Тюмень - 165км, 793209 Богданович - 62км",792831
  157.,Аксенгер (рзд),"О 3,8н,10н",68 Кзх,"704703 Берлик I - 286км, 700007 Алматы 1 - 17км",703804
  158.,Аксеново,Б,63 Кбш (Р),"651506 Чишмы - 106км, 657305 Кинель - 329км",656752
  159.,Акстафа,"П 1,4,9",55 Азерб,ТП,557200
  160.,Аксу I,"О 3,8н,10н",68 Кзх,"694605 Екибастуз I - 126км, 696102 Павлодар - 42км, 709302 Жана-Семей - 335км, 709406",695701
,,,,               Семей - 340км,
  161.,Аксу II,Б 3,68 Кзх,"694605 Екибастуз I - 137км, 696102 Павлодар - 53км, 709302 Жана-Семей - 324км, 709406",695805
,,,,               Семей - 329км,
  162.,Аксуат,"Б 3,8н,10н",68 Кзх,"685707 Жана-Есиль - 50км, 685803 Зерновая (эксп.) - 120км",686007
  163.,Аксув,Б,75 Трк,"751309 Мары - 283км, 754609 Туркменбаши I (эксп.) - 620км",752228
  164.,Актай,О 3,68 Кзх,"675905 Жарык - 191км, 676700 Кызылжар - 167км",690604
  165.,Актай (рзд),О,76 Сверд (Р),"772607 Гороблагодатская - 116км, 774706 Серов-Сортировочный - 82км",774015
  166.,Актасты,Б 3,68 Кзх,"690200 Сороковая - 120км, 673007 Караганда-Сортировочная - 86км",673505
  167.,Актау-Порт,"1,3,5,8",68 Кзх,ТП,663503
  168.,"Актау-Порт (перев., эксп.)",,68 Кзх,663503 Актау-Порт - 0км,663404
  169.,Актау-Порт-Паром,Х,68 Кзх,663503 Актау-Порт - 0км,663804
  170.,Актау-Порт-Паром (эксп. на,,68 Кзх,663503 Актау-Порт - 0км,689409
,Туркменбаши I),,,,
  171.,Актау-Порт-Паром (эксп.),,68 Кзх,663503 Актау-Порт - 0км,689202
  172.,Актаутас,О,68 Кзх,706304 Тараз - 110км,706431
  173.,Акташ,О 3,63 Кбш (Р),"254905 Агрыз - 212км, 647523 Акбаш - 89км",648005
  174.,Актобе I,П 3,68 Кзх,"660007 Кандыагаш - 94км, 666501 Илецк I (эксп.) - 195км",689503
  175.,Актобе II,"3,8н,10н",68 Кзх,"660007 Кандыагаш - 89км, 666501 Илецк I (эксп.) - 200км",689607
  176.,Актогай,"Б 3,8н,10н",68 Кзх,ТП,708009
  177.,Актогай-Восточный (рзд),Х,68 Кзх,"708009 Актогай - 8км, 708507 Достык (эксп.) - 310км, 700505 Жетыген - 511км, 677309",708155
,,,,               Мойынты - 523км,
  178.,Аку (рзд),О,92 В-Сиб (Р),"917103 Новый Ургал - 1793км, 927105 Лена - 786км",906537
  179.,Акулово,"О 3,8н,10н,11н,",17 Моск (Р),"180010 Бекасово I - 16км, 182603 Кубинка I - 10км",180108
,,12н,,,
  180.,Акульшет,"О 8н,10н,11н,",92 В-Сиб (Р),"920002 Тайшет - 10км, 927105 Лена - 710км",920303
,,12н,,,
  181.,Акур (рзд),"О 1,3",96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 337км, 967600 Ванино - 116км",966909
  182.,Акча,"О 1,3,8",73 Узбк,722400 Ташкент - 97км,722805
  183.,Акшагыл,О,68 Кзх,"675905 Жарык - 148км, 677309 Мойынты - 67км",677239
  184.,Акши  (рзд),Б,68 Кзх,"708009 Актогай - 192км, 708507 Достык (эксп.) - 126км, 700505 Жетыген - 695км, 677309",708282
,,,,               Мойынты - 707км,
  185.,Акшокат (рзд),О,68 Кзх,"670102 Сексеул - 831км, 698004 Арыс 1 - 64км",697711
  186.,Акшолак,"О 1,3",68 Кзх,"706304 Тараз - 39км, 704402 Турксиб (эксп.) - 78км",707307
  187.,Акыртобе,О 3,68 Кзх,"706304 Тараз - 64км, 704402 Турксиб (эксп.) - 53км",707400
  188.,Акяйла,"П 1,3",75 Трк,,876904
  189.,Акяйла (эксп.),,75 Трк,ТП,877000
  190.,Алабас ,О 3,68 Кзх,"660007 Кандыагаш - 151км, 669904 Шалкар - 122км",671001
  191.,Алабашлы,"П 1,4",55 Азерб,"554202 Гаджигабул - 247км, 558701 Беюк-Кясик (эксп.) - 129км",556602
  192.,Алаверди,"П 1,3,4,5,8,8н",56 Ю-Кав,565809 Гюмри - 115км,564903
  193.,Алагир,"1,3",51 С-Кав (Р),537601 Прохладная - 90км,538407
  194.,Алагир (эксп.),,51 С-Кав (Р),537601 Прохладная - 90км,538905
  195.,Алажиде,О 3,68 Кзх,"700505 Жетыген - 312км, 708009 Актогай - 202км, 708507 Достык (эксп.) - 509км",702407
  196.,Алайгыр,О,68 Кзх,"704703 Берлик I - 74км, 700007 Алматы 1 - 229км",703113
  197.,Алакуртти,1,01 Окт (Р),"013000 Беломорск - 454км, 014906 Кандалакша - 127км",014709
  198.,Аламбай,Б,83 З-Сиб (Р),"840005 Алтайская - 171км, 862701 Артышта II - 29км",841826
  199.,Аламедин,"О 1,3,5,7,8,10",70 Кирг,,716908
  200.,Аланап,О,96 Д-Вост (Р),"917103 Новый Ургал - 191км, 961604 Известковая - 156км",917715
  201.,Алапаевск,"Б 3,8н,10н,11н,",76 Сверд (Р),ТП,786506
,,12н,,,
  202.,Алат,"Б 3,10",73 Узбк,"730002 Бухара I - 79км, 730801 Ходжадавлет (эксп.) - 19км",730708
  203.,Алатун,Б 1,73 Узбк,"728002 Мароканд - 86км, 733208 Кашкадарья - 41км",733301
  204.,Алатырь,"П 1,2,3,4,5",24 Горьк (Р),"247009 Красный Узел - 127км, 248105 Канаш - 114км",247600
  205.,Албаба,Б 3,24 Горьк (Р),"249004 Свияжск - 27км, 644803 Ульяновск-Центральный - 175км",249108
  206.,Албаши,"П 1,3,4",51 С-Кав (Р),"515706 Староминская-Ейская - 25км, 516200 Тимашевская - 82км",515804
  207.,Алга,"Б 1,3,4",68 Кзх,"660007 Кандыагаш - 50км, 666501 Илецк I (эксп.) - 239км",668301
  208.,Алгабас,"Б 1,3",68 Кзх,"664900 Семиглавый Мар (эксп.) - 187км, 666501 Илецк I (эксп.) - 194км",666304
  209.,Алгаин,О,83 З-Сиб (Р),860206 Новокузнецк-Восточный - 122км,865943
  210.,Алдан,"П 3,5,6,8",91 Якут (Р),"910000 Тында - 508км, 917103 Новый Ургал - 1405км",914001
  211.,Алейская,"Б 1,2,3,10н",83 З-Сиб (Р),"840109 Барнаул - 124км, 843304 Локоть (эксп. на Рубцовск) - 182км",844307
  212.,Александрия,"Б Т,3,8н,10н",40 Од (У),"410307 Користовка - 10км, 456809 Пятихатки - 64км",410400
  213.,Александро-Невская,"Б 1,3",58 Ю-Вост (Р),"223803 Ряжск I - 27км, 603803 Богоявленск - 26км",604007
  214.,Александров,"Б 1,3,8н,10н",17 Моск (Р),ТП,237007
  215.,Александров II,О,17 Моск (Р),"237007 Александров - 3км, 237331 Бельково - 16км",237011
  216.,Александров Гай,П 3,61 Прив (Р),626504 Красный Кут - 151км,626909
  217.,Александровка,3,40 Од (У),"411901 Помошная - 77км, 412707 Колосовка - 69км",413108
  218.,Александровка,О,51 С-Кав (Р),"512708 Горная - 66км, 513607 Кизитеринка - 18км",513541
  219.,Александровская,"Б 1,3",01 Окт (Р),"034026 Гатчина-Варшавская - 23км, 034810 Шоссейная - 11км",034806
  220.,Александровский(рзд),О 3,51 С-Кав (Р),"515405 Ейск - 13км, 515706 Староминская-Ейская - 53км",515509
  221.,Алексеевка,"П 1,3,5,8н,10н,",58 Ю-Вост (Р),"438302 Валуйки - 78км, 582005 Лиски - 85км",581407
,,"11н,12н",,,
  222.,Алексеевская,О 3,63 Кбш (Р),"657305 Кинель - 11км, 657803 Безымянка - 19км",657502
  223.,Алексиково,"П 1,3",61 Прив (Р),"584405 Поворино - 27км, 614206 Иловля I - 247км",612906
  224.,Алексин,"Б 1,2,3,4",17 Моск (Р),"188718 Муратовка - 85км, 210004 Плеханово - 56км",211401
  225.,Алексэндрень,"П 1,3,9",39 Млд,"393309 Бэлць-Слобозия - 12км, 394803 Колбасна (эксп.) - 144км",395408
  226.,Алеур,О,94 Заб (Р),"943108 Карымская - 301км, 951602 Бамовская - 680км",949119
  227.,Алешинка,О 1,01 Окт (Р),"050009 Бологое-Московское - 22км, 053703 Окуловка - 48км",053101
  228.,Алеща (рзд),О,13 Бел,"161202 Алеща (эксп.) - 5км, 161236 Полоцк парк Громы - 44км",161607
  229.,Алеща (эксп.),,13 Бел,ТП,161202
  230.,Алжан (рзд),О,68 Кзх,"660007 Кандыагаш - 84км, 666501 Илецк I (эксп.) - 205км",667913
  231.,Алзамай,"П 3,4",92 В-Сиб (Р),"920002 Тайшет - 71км, 930108 Иркутск-Пассажирский - 599км",920708
  232.,Аликент,П,55 Азерб,"554202 Гаджигабул - 131км, 558701 Беюк-Кясик (эксп.) - 245км",554927
  233.,Алимбет,О,68 Кзх,"668600 Никельтау - 68км, 678405 Алимбет (эксп.) - 10км",678316
  234.,Алимбет (эксп.),,68 Кзх,ТП,678405
  235.,Алитус,"Б 3,8н",12 Лит,"123003 Моцкава (эксп.) - 67км, 123408 Казлу-Руда - 103км",123605
  236.,Алияга,О 3,40 Од (У),"403905 Арцыз - 35км, 404503 Измаил - 72км",404202
  237.,Алкау (рзд),О,68 Кзх,"684001 Костанай - 25км, 685707 Жана-Есиль - 198км",684020
  238.,Алкино,Б,63 Кбш (Р),"650005 Дема - 24км, 651506 Чишмы - 13км",651648
  239.,Аллагуват,"Б 3,8н,10н,11н,",63 Кбш (Р),"652000 Карламан - 117км, 812503 Сакмарская - 202км",652808
,,12н,,,
