Четверг 25 сен.2025г.  17:59,,,,,
,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,
,,,,,
"АЛФАВИТНЫЙ СПИСОК РАЗДЕЛЬНЫХ ПУНКТОВ (станций, разъездов, постов, блокпостов и обгонных пунктов)",,,,,
№ п/п,Наименование пункта,Операции,Дорога,Транзитные пукты и расстояния до них,Код станции
 4491.,Космынино,"Б 1,3",28 Сев (Р),"306006 Галич - 151км, 315507 Нерехта - 21км",304907
 4492.,Кособродск,П 3,80 Ю-Ур (Р),"795100 Каменск-Уральский - 216км, 828501 Курган - 45км",828107
 4493.,Косогорный (рзд),О,96 Д-Вост (Р),"987106 Хасан (эксп.) - 84км, 988402 Барановский - 155км",987549
 4494.,Косолманка,О,76 Сверд (Р),"772607 Гороблагодатская - 86км, 774706 Серов-Сортировочный - 112км",773987
 4495.,Коссово-Полесское,Б,13 Бел,"131207 Жабинка - 100км, 138507 Барановичи-Центральные - 76км",134120
 4496.,Костанай,"П 3,5,6,8,8н,9,",68 Кзх,ТП,684001
,,10н,,,
 4497.,Костариха,"О 1,2,3,5,8,10,",24 Горьк (Р),260003 Нижний Новгород-Сортировочный - 3км,261203
,,"11,12",,,
 4498.,Костерево,"Б 1,3",24 Горьк (Р),"230008 Орехово-Зуево - 45км, 262704 Владимир - 56км",262206
 4499.,Костино,О 3,17 Моск (Р),"236324 Пут. пост 81 км - 32км, 238404 Дмитров - 26км",236409
 4500.,Костино (рзд),О,17 Моск (Р),"174409 Вязьма-Брянская - 106км, 188718 Муратовка - 36км",189212
 4501.,Костомукша-Пассажирская,Б 3,01 Окт (Р),"025807 Суоярви I - 363км, 028100 Кивиярви (эксп.) - 32км",027906
 4502.,Костомукша-Товарная,О 3,01 Окт (Р),"025807 Суоярви I - 353км, 028100 Кивиярви (эксп.) - 42км",027802
 4503.,Костополь,"П 1,3",35 Льв (У),"355504 Сарны - 53км, 356600 Ровно - 34км",356808
 4504.,Костоусово,О ,76 Сверд (Р),"780800 Аппаратная - 61км, 785908 Егоршино - 46км",785518
 4505.,Кострижевка,"Б 1,3",35 Льв (У),"363303 Копычинцы - 76км, 365402 Стефанешты - 8км",365309
 4506.,Кострино,О,35 Льв (У),381000 Ужгород - 59км,381918
 4507.,Костринский Ручей (рзд),О,28 Сев (Р),"013000 Беломорск - 293км, 295002 Обозерская - 60км",296414
 4508.,Костриха (рзд),О,28 Сев (Р),"267801 Котельнич I - 228км, 306006 Галич - 141км",307021
 4509.,Кострома,3,28 Сев (Р),"306006 Галич - 143км, 315507 Нерехта - 41км",305007
 4510.,Кострома Новая,"П 1,2,3,4,5,8,",28 Сев (Р),"306006 Галич - 126км, 315507 Нерехта - 46км",305100
,,"8н,10",,,
 4511.,Костуин (рзд),О 3,68 Кзх,"670102 Сексеул - 877км, 698004 Арыс 1 - 18км",698108
 4512.,Костылево,"П 1,3,8н,10н",28 Сев (Р),"280204 Котлас-Узловой - 194км, 293007 Коноша I - 169км",298104
 4513.,Костюковка,О 3,13 Бел,"150000 Гомель - 12км, 155004 Жлобин - 74км",155502
 4514.,Косулино,Б 3,76 Сверд (Р),"780603 Шарташ - 31км, 793209 Богданович - 64км",794004
 4515.,Косшокы,"О 3,7",68 Кзх,"680000 Есиль - 334км, 690002 Астана-1 - 42км",690708
 4516.,Косью,О,28 Сев (Р),285801 Сосногорск - 351км,288189
 4517.,Косяковка,"О 3,8н,10н,11н,",63 Кбш (Р),"652000 Карламан - 88км, 812503 Сакмарская - 231км",652602
,,12н,,,
 4518.,Котел,"Б 1,3,8н,10н,",58 Ю-Вост (Р),"438302 Валуйки - 134км, 438506 Старый Оскол - 10км",438603
,,11н,,,
 4519.,Котельниково,"П 1,2,3,4,5,11н,",61 Прив (Р),"519105 Куберле - 108км, 611405 Волгоград II - 186км",612802
,,12н,,,
 4520.,Котельнич I,"П 1,3,5,8",24 Горьк (Р),ТП,267801
 4521.,Котельнич II,"О 1,3",24 Горьк (Р),"260003 Нижний Новгород-Сортировочный - 373км, 267801 Котельнич I - 5км",267708
 4522.,Котик,Б 3,92 В-Сиб (Р),"920002 Тайшет - 271км, 930108 Иркутск-Пассажирский - 399км",921908
 4523.,Котиково,О,96 Д-Вост (Р),"970406 Хабаровск I - 150км, 974801 Сибирцево - 436км",972011
 4524.,Котлабух,О 3,40 Од (У),"403905 Арцыз - 71км, 404503 Измаил - 36км",404401
 4525.,Котлас-Северный,О 3,28 Сев (Р),280204 Котлас-Узловой - 11км,280505
 4526.,Котлас-Северный (перев.),,28 Сев (Р),280204 Котлас-Узловой - 11км,280702
 4527.,Котлас-Северный (эксп.),,28 Сев (Р),280204 Котлас-Узловой - 11км,280806
 4528.,Котлас-Узловой,О 3,28 Сев (Р),ТП,280204
 4529.,Котлас-Южный,"П 1,3,4,8,10",28 Сев (Р),280204 Котлас-Узловой - 7км,280100
 4530.,Котлубань,"Б 1,3",61 Прив (Р),"610603 Гумрак - 23км, 614206 Иловля I - 48км",614704
 4531.,Котлы,"Б 1,3",01 Окт (Р),"034505 Лигово - 107км, 073603 Веймарн - 27км",074606
 4532.,Котлы (эксп.),,01 Окт (Р),"034505 Лигово - 107км, 073603 Веймарн - 27км",076207
 4533.,Котлы II,Х,01 Окт (Р),"034505 Лигово - 109км, 073603 Веймарн - 29км",074540
 4534.,Котляревская,Б 3,51 С-Кав (Р),537601 Прохладная - 15км,537705
 4535.,Котлярово,"О 3,8н,10н",40 Од (У),"415103 Николаев - 13км, 417804 Херсон - 42км",417607
 4536.,Кото (рзд),О 3,96 Д-Вост (Р),"960007 Комсомольск-Сортировочный - 307км, 967600 Ванино - 146км",966701
 4537.,Котово,"О 1,2,3",01 Окт (Р),"044507 Неболчи - 82км, 053703 Окуловка - 21км",054104
 4538.,Котовск,Б,58 Ю-Вост (Р),"601403 Тамбов I - 17км, 607607 Ртищево I - 195км",602124
 4539.,Которосль (обп),О,28 Сев (Р),"237007 Александров - 167км, 310005 Ярославль-Главный - 3км",310019
 4540.,Котчиха,Б 3,24 Горьк (Р),"273408 Поздино - 275км, 275901 Пибаньшур - 205км",275102
 4541.,Котыртас,О 1,68 Кзх,"660007 Кандыагаш - 185км, 669904 Шалкар - 88км",669707
 4542.,Котюжаны,"Б 1,3",32 Ю-Зап (У),"330009 Жмеринка - 68км, 331904 Могилев-Подольский - 46км",332409
 4543.,Коуровка,Б,76 Сверд (Р),"780001 Екатеринбург-Сортировочный - 68км, 782702 Кузино - 10км",782115
 4544.,Коханово,О,13 Бел,"140009 Минск-Сортировочный - 193км, 166403 Орша-Центральная - 23км",142150
 4545.,Кохила,О 3,08 Эст,"081402 Таллинн - 33км, 082000 Юлемисте - 32км, 088524 Лелле - 39км",088401
 4546.,Кохма,3,28 Сев (Р),"263001 Новки I - 82км, 318609 Иваново-Сортировочное - 10км",318908
 4547.,Кохтла,"О 1,3",08 Эст,"080005 Тапа - 76км, 083906 Нарва (эксп.) - 57км",083304
 4548.,Кочановка,О 3,43 Южн (У),"326003 Бахмач-Пассажирский - 42км, 427308 Ромодан - 178км",425904
 4549.,Коченево,"Б 1,3",83 З-Сиб (Р),"833001 Татарская - 408км, 850100 Обь - 33км",852200
 4550.,Кочетовка I,"О 1,3",58 Ю-Вост (Р),ТП,600006
 4551.,Кочковатский (обп),О,83 З-Сиб (Р),"790408 Войновка - 440км, 830304 Карбышево I - 119км",831646
 4552.,Кочкома,Б 3,01 Окт (Р),"010002 Петрозаводск - 302км, 013000 Беломорск - 70км, 025807 Суоярви I - 399км,",012008
,,,,               028100 Кивиярви (эксп.) - 242км,
 4553.,Кочмес,О,28 Сев (Р),285801 Сосногорск - 460км,288634
 4554.,Кочубеевка,"Б 1,3",43 Южн (У),"448709 Полтава-Южная - 36км, 449608 Люботин - 80км",448906
 4555.,Кочубей,"П 1,3",51 С-Кав (Р),"542205 Кизляр - 62км, 617505 Аксарайская - 335км",542008
 4556.,Кошары,Б,32 Ю-Зап (У),"327400 Конотоп - 65км, 329302 Ворожба - 10км",329232
 4557.,Кошевой,О,96 Д-Вост (Р),"990005 Корсаков - 384км, 993304 Холмск - 377км",996618
 4558.,Кошехабль,"Б 1,2,4",51 С-Кав (Р),"530208 Армавир-Ростовский - 52км, 533403 Туапсе-Сортировочная - 182км",535409
 4559.,Кошкентал,О,68 Кзх,"708009 Актогай - 115км, 709105 Шар - 237км",708672
 4560.,Кошкино,О,51 С-Кав (Р),"511002 Успенская (эксп.) - 54км, 511404 Марцево - 9км",511226
 4561.,Кошминор,Х,73 Узбк,"722400 Ташкент - 227км, 725803 Хаваст - 364км, 741505 Учкурган (эксп.) - 119км",741736
 4562.,Кошта,"О 3,8н,10н,11н,",28 Сев (Р),"300107 Вологда I - 134км, 302304 Череповец I - 10км",302600
,,12н,,,
 4563.,Кошурниково,"П 1,3",88 Крас (Р),"887675 Тигей - 202км, 889100 Саянская - 220км",888706
 4564.,Крабовая,"П 3,8н,10н,11н,",96 Д-Вост (Р),984502 Находка - 18км,985401
,,12н,,,
 4565.,Крабовая (эксп.),,96 Д-Вост (Р),984502 Находка - 18км,985505
 4566.,Кравцево (обп),О,80 Ю-Ур (Р),"820105 Петропавловск (эксп.) - 195км, 827000 Утяк - 52км",826826
 4567.,Кравченко,О 3,88 Крас (Р),"887675 Тигей - 377км, 889100 Саянская - 45км",888502
 4568.,Краевский,Б,96 Д-Вост (Р),"970406 Хабаровск I - 472км, 974801 Сибирцево - 114км",973921
 4569.,Краматорск,"П Г,1,3",48 Дон (У),ТП,491802
 4570.,Краматорск,"П 1,3",89 89-я дорога,ТП,957308
 4571.,Красавино,"3,10н",28 Сев (Р),"280204 Котлас-Узловой - 39км, 293007 Коноша I - 386км",299605
 4572.,Красавка,О 3,61 Прив (Р),"620103 Трофимовский I - 77км, 608807 Аткарск - 5км",609208
 4573.,Красавка-Хангли (пп),О,94 Заб (Р),"943108 Карымская - 721км, 951602 Бамовская - 260км",951119
 4574.,Красивая Меча,П 3,58 Ю-Вост (Р),"593000 Елец - 66км, 594303 Лев Толстой - 46км",594604
 4575.,Красивый (рзд),О,96 Д-Вост (Р),"961604 Известковая - 187км, 963506 Волочаевка I - 195км",963046
 4576.,Красивый-Казахский,"Б 3,8н,10н",68 Кзх,"680000 Есиль - 24км, 690002 Астана-1 - 352км",680208
 4577.,Красилов,Б 3,32 Ю-Зап (У),"330600 Гречаны - 34км, 334103 Староконстантинов I - 18км",334008
 4578.,Красильниково,О 3,28 Сев (Р),"267801 Котельнич I - 353км, 306006 Галич - 16км",306103
 4579.,Красицкий,Б,96 Д-Вост (Р),"970406 Хабаровск I - 111км, 974801 Сибирцево - 475км",971818
 4580.,Краскино,О,96 Д-Вост (Р),"987106 Хасан (эксп.) - 66км, 988402 Барановский - 193км",987426
 4581.,Краслава,"1,3",09 Лат,110107 Даугавпилс-Шкирошанас - 45км,110501
 4582.,Красная Башкирия,3,80 Ю-Ур (Р),"652000 Карламан - 322км, 816203 Карталы I - 168км",818001
 4583.,Красная Гвардия,П 1,51 С-Кав (Р),"520009 Кавказская - 130км, 537601 Прохладная - 481км",518600
 4584.,Красная Глинка,О 3,63 Кбш (Р),"636807 Жигулевское Море - 58км, 657803 Безымянка - 43км",637706
 4585.,Красная Горка,О 3,80 Ю-Ур (Р),"654504 Уфа - 213км, 806606 Бердяуш - 88км",808207
 4586.,Красная Заря,"Б 1,2,3",17 Моск (Р),"217709 Верховье - 37км, 593000 Елец - 66км",218006
 4587.,Красная Заря,О,58 Ю-Вост (Р),"605404 Балашов-Пассажирский - 11км, 607607 Ртищево I - 98км",605438
 4588.,Красная Могила,"П Т,3",48 Дон (У),ТП,500804
 4589.,Красная Могила,П 3,84 84-я дорога,"855301 Красная Могила (стык) - 9км, 839703 Должанская - 12км",839607
 4590.,Красная Могила (стык),,84 84-я дорога,ТП,855301
 4591.,Красная Могила (эксп.),,48 Дон (У),,500700
 4592.,Красная Падь,О,94 Заб (Р),"950008 Белогорск - 355км, 951602 Бамовская - 237км",952516
 4593.,Красная Речка,"Б К2н,1,3,8н,",96 Д-Вост (Р),"970406 Хабаровск I - 20км, 974801 Сибирцево - 566км",971108
,,"10н,11н,12н",,,
 4594.,Красная Сопка,"П 1,3,4",88 Крас (Р),"880002 Ачинск I - 97км, 887675 Тигей - 338км",884200
 4595.,Красная Стрела,П,51 С-Кав (Р),"516200 Тимашевская - 188км, 521603 Крымская - 84км",522930
 4596.,Красная Стрела (перев.),,51 С-Кав (Р),,522907
 4597.,Красне,"П 1,3",35 Льв (У),ТП,379809
 4598.,Красноармейка-Казахская,Б,68 Кзх,"696102 Павлодар - 21км, 697509 Куркамыс (эксп.) - 96км",696719
 4599.,Красноармейск,О 3,17 Моск (Р),"195406 Лосиноостровская - 51км, 236324 Пут. пост 81 км - 51км",236108
 4600.,Красноармейский (рзд),Б,96 Д-Вост (Р),"982206 Угловая - 108км, 984502 Находка - 56км",983726
 4601.,Красновка,П,10 Клг (Р),"100800 Черняховск - 7км, 101108 Железнодорожный (эксп.) - 41км",101536
 4602.,Красногвардеец,О 3,80 Ю-Ур (Р),"657305 Кинель - 144км, 810705 Красногвардеец II - 4км",810902
 4603.,Красногвардеец II,О 3,80 Ю-Ур (Р),ТП,810705
 4604.,Красногоровка,"О 1,3",48 Дон (У),482004 Покровск - 64км,480808
 4605.,Красногоровка,"О 1,3",89 89-я дорога,"898006 Покровск - 64км, 897304 Рутченково - 16км",897501
 4606.,Красноград,"П 1,3",43 Южн (У),ТП,441606
 4607.,Краснодар I,П 3,51 С-Кав (Р),ТП,524404
 4608.,Краснодар II,О 3,51 С-Кав (Р),"516200 Тимашевская - 67км, 524404 Краснодар I - 6км",520808
 4609.,Краснодар-Сортировочный,"О 1,2,3,5,8,10",51 С-Кав (Р),"520009 Кавказская - 131км, 524404 Краснодар I - 5км",525407
 4610.,Краснодон,"Б 1,3",48 Дон (У),508505 Семейкино-Новое - 8км,505009
 4611.,Краснодон,П 3,84 84-я дорога,849705 Семейкино-Новое - 8км,848100
 4612.,Красное,О,17 Моск (Р),"170108 Смоленск - 68км, 171401 Красное (эксп.) - 3км",171346
 4613.,Красное (эксп.),,17 Моск (Р),ТП,171401
 4614.,Красное Село,"Б 1,3",01 Окт (Р),"034007 Гатчина-Товарная-Балтийская - 23км, 034505 Лигово - 12км",034308
 4615.,Красное-Знамя,"Б 1,3",13 Бел,"140009 Минск-Сортировочный - 53км, 166403 Орша-Центральная - 163км",141209
 4616.,Краснозаринский,О,24 Горьк (Р),"249004 Свияжск - 16км, 250001 Юдино - 32км",251428
 4617.,Краснозерское,"Б 1,3",83 З-Сиб (Р),"835558 Осолодино (обп) - 88км, 840804 Среднесибирская - 302км",836000
 4618.,Краснокаменск,"П 1,3,5,8,8н,10,",94 Заб (Р),944702 Борзя - 182км,946208
,,"10н,11н,12н",,,
 4619.,Краснокамск,Б 3,76 Сверд (Р),"275901 Пибаньшур - 208км, 760008 Пермь-Сортировочная - 30км",760309
 4620.,Краснокубанская,Б,51 С-Кав (Р),"520009 Кавказская - 33км, 537601 Прохладная - 384км",526310
 4621.,Краснолесье,"П 1,3",10 Клг (Р),"100406 Нестеров (эксп.) - 49км, 100800 Черняховск - 88км",100603
 4622.,Красноозеровка,Б ,48 Дон (У),507606 Кондрашевская-Новая - 39км,507803
 4623.,Красноозеровка,Б,84 84-я дорога,849300 Кондрашевская-Новая - 39км,849457
 4624.,Краснооктябрьская,О 3,61 Прив (Р),"610900 Разгуляевка - 20км, 611405 Волгоград II - 12км",610205
 4625.,Краснопавловка,Б 3,43 Южн (У),"441108 Мерефа - 93км, 442806 Лозовая - 30км",443103
 4626.,Краснопартизанская,Б,45 Придн (У),"470007 Джанкой - 37км, 474101 Остряково - 35км",474915
 4627.,Краснопартизанская,Б,85 Крым (Р),"856200 Джанкой - 37км, 856709 Остряково - 35км",856323
 4628.,Красноперекопск,"Б 1,3,8н,10н,",45 Придн (У),"417804 Херсон - 131км, 470007 Джанкой - 60км",472604
,,"11н,12н",,,
 4629.,Красноперекопск,"Б 1,3,8н,10н,",85 Крым (Р),"869906 Армянск (стык) - 27км, 856200 Джанкой - 60км",869501
,,"11н,12н",,,
 4630.,Краснополье,"Б 1,3",43 Южн (У),"433614 Пушкарное - 18км, 445607 Басы - 30км",433703
 4631.,Красноселка,П 3,80 Ю-Ур (Р),"803805 Золотая Сопка (эксп.) - 69км, 804600 Еманжелинск - 23км",804403
 4632.,Красносельский (рзд),О,24 Горьк (Р),"270202 Киров - 8км, 273408 Поздино - 5км",270217
 4633.,Красноуфимск,"1,2,3,4,5",24 Горьк (Р),"257000 Кама - 262км, 782505 Дружинино - 140км",258906
 4634.,Краснофлотская,"Б 1,3",45 Придн (У),"470007 Джанкой - 61км, 479904 Владиславовка - 40км",472106
 4635.,Краснофлотская,"Б 1,3",85 Крым (Р),"856200 Джанкой - 61км, 868301 Владиславовка - 40км",869107
 4636.,Красноярка (обп),Х,83 З-Сиб (Р),"850007 Инская - 261км, 861406 Проектная - 7км",861340
 4637.,Красноярск,"П 3,4,8,10",88 Крас (Р),892705 Уяр - 133км,890004
 4638.,Красноярск-Восточный,3,88 Крас (Р),"880002 Ачинск I - 210км, 892705 Уяр - 107км",890201
 4639.,Красноярск-Северный,"3,8н,10н,11н,",88 Крас (Р),"880002 Ачинск I - 190км, 892705 Уяр - 127км",890108
,,12н,,,
 4640.,Красноярская-Сахалинская,П,96 Д-Вост (Р),"990005 Корсаков - 262км, 993304 Холмск - 43км",994326
 4641.,Красноярские Столбы,О,88 Крас (Р),"880002 Ачинск I - 193км, 892705 Уяр - 130км",891435
 4642.,Красноярский (рзд),О,61 Прив (Р),"584405 Поворино - 90км, 614206 Иловля I - 184км",613311
 4643.,Красные Орлы,О ,76 Сверд (Р),"780800 Аппаратная - 94км, 785908 Егоршино - 13км",785857
 4644.,Красный (рзд),О,28 Сев (Р),"267801 Котельнич I - 198км, 306006 Галич - 171км",307229
 4645.,Красный Берег,Б,13 Бел,"146407 Осиповичи I - 88км, 155004 Жлобин - 19км",148034
 4646.,Красный Берег-стык,Х,13 Бел,"146407 Осиповичи I - 87км, 155004 Жлобин - 20км",147845
 4647.,Красный Боец (рзд),О,83 З-Сиб (Р),"840804 Среднесибирская - 18км, 850007 Инская - 143км",840912
 4648.,Красный Бор,"О 1,3,8н,10н",17 Моск (Р),"170108 Смоленск - 9км, 171401 Красное (эксп.) - 62км",171609
 4649.,Красный Брод,О,13 Бел,"146407 Осиповичи I - 56км, 155004 Жлобин - 79км",147629
 4650.,Красный Гуляй,"Б 1,3,11н",63 Кбш (Р),"635607 Сызрань I - 117км, 644803 Ульяновск-Центральный - 33км",644606
 4651.,Красный Дол,О,83 З-Сиб (Р),"835558 Осолодино (обп) - 83км, 844805 Кулунда (эксп.) - 92км",837214
 4652.,Красный Железняк,"Б 3,8н,10н,11н,",76 Сверд (Р),774706 Серов-Сортировочный - 23км,775107
,,12н,,,
 4653.,Красный Камень,Б 3,83 З-Сиб (Р),"860206 Новокузнецк-Восточный - 73км, 862701 Артышта II - 29км",863505
 4654.,Красный Кордон,О,88 Крас (Р),"887675 Тигей - 159км, 889100 Саянская - 263км",888466
 4655.,Красный Кут,"П 1,3,4",61 Прив (Р),ТП,626504
 4656.,Красный Лиман,"Б 1,3,8,10",89 89-я дорога,ТП,929100
 4657.,Красный Луч,Б 3,48 Дон (У),"500908 Должанская - 74км, 503107 Чернухино - 56км",502602
 4658.,Красный Луч,Б 3,84 84-я дорога,"839703 Должанская - 74км, 848011 Чернухино - 56км",847803
 4659.,Красный Рог,О,17 Моск (Р),"200002 Брянск-Льговский - 54км, 202008 Унеча - 77км",201630
 4660.,Красный Сокол,3,01 Окт (Р),"020004 Выборг - 53км, 021901 Светогорск (эксп.) - 40км, 022404 Хийтола - 40км",022207
 4661.,Красный Строитель,О 3,17 Моск (Р),"190008 Люблино-Сортировочное - 14км, 190609 Столбовая - 39км",191405
 4662.,Красный Узел,"П 1,2,3,4,8н,",24 Горьк (Р),ТП,247009
,,"10н,11н,12н",,,
 4663.,Красный Холм,"Б 1,3",01 Окт (Р),"043203 Кабожа - 167км, 051106 Сонково - 33км",051303
 4664.,Красный Хутор,О,58 Ю-Вост (Р),"434509 Белгород - 38км, 439606 Красный Хутор (эксп.) - 2км",434227
 4665.,Красный Хутор (эксп.),,58 Ю-Вост (Р),ТП,439606
 4666.,Красный Шахтер,3,45 Придн (У),"456809 Пятихатки - 69км, 467606 Моисеевка - 12км",457500
 4667.,Красулино (рзд),О,83 З-Сиб (Р),"860206 Новокузнецк-Восточный - 62км, 862644 Артышта I - 57км, 862701 Артышта II -",862954
,,,,"               59км, 864601 Томусинская - 70км",
 4668.,Крауя,"О 1,3",09 Лат,110107 Даугавпилс-Шкирошанас - 12км,110709
 4669.,Крахаль,Б 3,83 З-Сиб (Р),"850007 Инская - 8км, 861406 Проектная - 260км",853503
 4670.,Краце (пп),О,09 Лат,"110107 Даугавпилс-Шкирошанас - 53км, 112723 Резекне I - 31км",113321
 4671.,Крейда,"Б 3,8н,10н",58 Ю-Вост (Р),"434000 Нежеголь (эксп.) - 34км, 434509 Белгород - 5км",435906
 4672.,Крекшино,"О 1,3",17 Моск (Р),"180010 Бекасово I - 25км, 197907 Москва-Сортировочная-Киевская - 33км",180909
 4673.,Кременец,"П 1,3",35 Льв (У),"350002 Здолбунов - 82км, 379809 Красне - 128км",350500
 4674.,Кременное,"П 1,3",48 Дон (У),"497813 Венгеровка - 53км, 430002 Купянск-Сортировочный - 100км",498801
 4675.,Кременное,"П 1,3",84 84-я дорога,838541 Венгеровка - 53км,839309
 4676.,Кременчуг,"П,Г,М,Т 1,3,4,8",43 Южн (У),ТП,425001
 4677.,Кремидовка,"О 1,3",40 Од (У),"400803 Одесса-Пересыпь - 26км, 401100 Черноморская - 10км",401007
 4678.,Крепежная,Б,28 Сев (Р),"282407 Микунь - 141км, 285801 Сосногорск - 114км",285015
 4679.,Кресты,"1,3,8н,10н,11н,",17 Моск (Р),"180010 Бекасово I - 27км, 190609 Столбовая - 29км, 192605 Михнево - 65км",181403
,,12н,,,
 4680.,Кретовка (обп),О,80 Ю-Ур (Р),"627704 Пугачевск - 248км, 810705 Красногвардеец II - 49км",810940
 4681.,Крива,О 3,39 Млд,,392607
 4682.,Кривандино,Б 3,17 Моск (Р),"231805 Куровская - 48км, 242912 Нечаевская - 61км",232304
 4683.,Кривенковская,"Б 1,3,4",51 С-Кав (Р),"530208 Армавир-Ростовский - 215км, 533403 Туапсе-Сортировочная - 20км",533808
 4684.,Кривецкая,"П 1,3",58 Ю-Вост (Р),"437234 Сараевка - 22км, 438506 Старый Оскол - 71км",437808
 4685.,Кривин,Б 3,32 Ю-Зап (У),"340000 Шепетовка - 35км, 350002 Здолбунов - 38км",341200
 4686.,Кривозерье (обп),О,63 Кбш (Р),"247009 Красный Узел - 10км, 640003 Рузаевка - 46км",641650
 4687.,Кривой Рог,П 3,45 Придн (У),"467004 Кривой Рог-Главный - 6км, 467606 Моисеевка - 17км",467201
 4688.,Кривой Рог-Главный,"П,Г,Т 1,3,8н,",45 Придн (У),ТП,467004
,,10н,,,
 4689.,Кривой Рог-Западный,"Б 1,3,8",45 Придн (У),"467004 Кривой Рог-Главный - 13км, 467606 Моисеевка - 10км",467305
 4690.,Кривой Рог-Сортировочный,П 3,45 Придн (У),ТП,467108
 4691.,Кривой Торец,Б 3,48 Дон (У),491200 Константиновка - 14км,491003
 4692.,Кривой Торец,Б 3,89 89-я дорога,"929902 Константиновка - 8км, 897003 Ясиноватая - 43км",929806
 4693.,Криволучье,Б 3,17 Моск (Р),"210004 Плеханово - 14км, 224308 Узловая II - 39км",211806
 4694.,Кривохатки (рзд),О,43 Южн (У),"427308 Ромодан - 125км, 448709 Полтава-Южная - 6км",448545
 4695.,Кривцово,П,58 Ю-Вост (Р),"434509 Белгород - 100км, 437234 Сараевка - 30км",435130
 4696.,Криеву сала,"3,8н,10н",09 Лат,"096906 Ильгюциемс - 9км, 097006 Болдерая - 7км",099904
 4697.,Криеву сала (эксп.),,09 Лат,"096906 Ильгюциемс - 9км, 097006 Болдерая - 7км",099001
 4698.,Криевупе,О,09 Лат,"095000 Земитаны - 25км, 111307 Иерики - 45км",095405
 4699.,Крикливец (пп),О,40 Од (У),"408307 Рудница - 8км, 408504 Вапнярка - 30км",408422
 4700.,Криничная,Б 3,48 Дон (У),ТП,488104
 4701.,Криничная,"Б 3,11н,12н",89 89-я дорога,ТП,928108
 4702.,Критово,П 1,88 Крас (Р),"875907 Анжерская - 283км, 880002 Ачинск I - 35км",880905
 4703.,Кричев I,"Б 1,3,4,8н,10н,",13 Бел,ТП,158209
,,11н,,,
 4704.,Крол (рзд),О,88 Крас (Р),"887675 Тигей - 280км, 889100 Саянская - 142км",888841
 4705.,Кролевец,"Б 1,3,8н,10н,",32 Ю-Зап (У),"327400 Конотоп - 43км, 328704 Хутор-Михайловский - 72км",327805
,,"11н,12н",,,
 4706.,Кромская,3,17 Моск (Р),"200002 Брянск-Льговский - 126км, 216000 Орел - 7км",216104
 4707.,Кромы,Б 3,17 Моск (Р),"205006 Арбузово - 100км, 216000 Орел - 45км, 217709 Верховье - 131км",205504
 4708.,Кропачево,"П 1,2,3,4",80 Ю-Ур (Р),"654504 Уфа - 161км, 806606 Бердяуш - 108км",808601
 4709.,Кропивницкая,П,40 Од (У),"411901 Помошная - 20км, 414100 Долинская - 113км",414242
 4710.,Кропивницкий,"П Г М Т 1,3,8н,",40 Од (У),"411102 Чернолесская - 39км, 411901 Помошная - 85км",411403
,,10н,,,
 4711.,Кросна,Б,12 Лит,"123003 Моцкава (эксп.) - 30км, 123408 Казлу-Руда - 66км",123709
 4712.,Кротовка,"Б 1,3",63 Кбш (Р),"651506 Чишмы - 397км, 657305 Кинель - 38км",658401
 4713.,Крошня,О 3,32 Ю-Зап (У),"348002 Новоград-Волынский I - 87км, 345606 Житомир - 4км",348200
 4714.,Кругликово,Б 1,96 Д-Вост (Р),"970406 Хабаровск I - 52км, 974801 Сибирцево - 534км",971305
 4715.,Круглое Поле,"О 3,6,8н,10н,",63 Кбш (Р),"254905 Агрыз - 129км, 647523 Акбаш - 172км",648400
,,"11н,12н",,,
 4716.,Круговец,О 3,13 Бел,"150208 Новобелицкая - 56км, 150706 Тереховка - 21км",150903
 4717.,Крулевщизна,"Б 1,3,4",13 Бел,ТП,164003
 4718.,Крупенниково,Б 3,58 Ю-Вост (Р),"438302 Валуйки - 149км, 582005 Лиски - 14км",581905
 4719.,Крупки,"Б 1,3,4",13 Бел,"140009 Минск-Сортировочный - 123км, 166403 Орша-Центральная - 93км",141707
 4720.,Крупская,Б,88 Крас (Р),"887675 Тигей - 68км, 889100 Саянская - 354км",888324
 4721.,Крустпилс,"Б 1,3,8н,10н",09 Лат,ТП,114201
 4722.,Крутая,О,76 Сверд (Р),"770005 Смычка - 64км, 786506 Алапаевск - 89км",772058
 4723.,Крутенский (рзд),О,28 Сев (Р),"267801 Котельнич I - 89км, 306006 Галич - 280км",308236
 4724.,Круторожино,П 3,80 Ю-Ур (Р),"812503 Сакмарская - 277км, 814301 Никель - 13км",814000
 4725.,Крутояр,"П 1,3",88 Крас (Р),"880002 Ачинск I - 114км, 887675 Тигей - 321км",885006
 4726.,Круты,Б,32 Ю-Зап (У),"324008 Нежин - 20км, 326003 Бахмач-Пассажирский - 50км",325706
 4727.,Кручина,Б 3,94 Заб (Р),"935703 Заудинский - 582км, 943108 Карымская - 63км",942603
 4728.,Крушдаласы (рзд),О,68 Кзх,"700505 Жетыген - 269км, 708009 Актогай - 245км, 708507 Достык (эксп.) - 552км",702110
