Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
ТАРИФНЫЕ РАССТОЯНИЯ МЕЖДУ СТАНЦИЯМИ НА УЧАСТКАХ ЖЕЛЕЗНЫХ ДОРОГ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Расстояния между станциями Дальневосточной ж.д. (код дороги 96),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"  1) участок 96-001 ""ХАНИ - ТЫНДА"" (Основной тарифный участок)",,,,,,,,,,,,,,,
 33.,919715 .,Лиан (рзд), 463  км ,  50  км ,,,,,,,,,,,
 34.,919804 .,Хальгасо, 478  км ,  35  км ,,,,,,,,,,,
 35.,960419 .,Силинка (рзд), 488  км ,  25  км ,,,,,,,,,,,
 36.,960423 .,Комсомольск-на-Амуре-II (рзд), 501  км ,  12  км ,,,,,,,,,,,
 37.,960007 .,Комсомольск-Сортировочный, 513  км ,   0  км ,,,,,,,,,,,
,,,,,,,,,,,,,,,
" 10) участок 96-011 ""АРХАРА - ИЗВЕСТКОВАЯ"" (Основной тарифный участок)",,,,,,,,,,,,,,,
№ п/п,Коды,от станции,до ст. Архара,до ст. Известковая,,,,,,,,,,,
  1.,960601 .,Архара,   0  км , 154  км ,,,,,,,,,,,
  2.,960705 .,Татакан,  10  км , 144  км ,,,,,,,,,,,
  3.,960809 .,Богучан,  21  км , 133  км ,,,,,,,,,,,
  4.,960813 .,ОП Рачи,  30  км , 124  км ,,,,,,,,,,,
  5.,960902 .,Урил,  40  км , 114  км ,,,,,,,,,,,
  6.,960917 .,ОП Отроги,  47  км , 107  км ,,,,,,,,,,,
  7.,961002 .,Тарманчукан,  56  км ,  98  км ,,,,,,,,,,,
  8.,961017 .,ОП Касаткин,  66  км ,  88  км ,,,,,,,,,,,
  9.,961106 .,Кундур-Хабаровский,  74  км ,  80  км ,,,,,,,,,,,
 10.,961110 .,Казачий,  83  км ,  71  км ,,,,,,,,,,,
 11.,961303 .,Ядрин, 103  км ,  51  км ,,,,,,,,,,,
 12.,961407 .,Облучье, 110  км ,  44  км ,,,,,,,,,,,
 13.,961411 .,Ударный, 118  км ,  36  км ,,,,,,,,,,,
 14.,961426 .,Лагар-Аул, 127  км ,  27  км ,,,,,,,,,,,
 15.,961430 .,Воробьево, 133  км ,  21  км ,,,,,,,,,,,
